################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.9936446607503414E-02 a         1     0     1     1     1
  7.2654799429746023E-02 a         2     0     1     1     2
  1.5973669462581680E-01 a         3     0     1     1     3
 -4.0527196629411255E-01 a         4     0     1     1     4
  1.4251989994411352E-01 a         5     0     1     1     5
 -6.3511690093905462E-02 a         6     0     1     1     6
  4.3621826418839528E-02 a         7     0     1     1     7
 -1.7224949035825204E-02 a         8     0     1     1     8
  4.1389198620580193E-02 a         9     0     1     1     9
 -1.7956356486514147E-01 a        10     0     1     1    10
  1.1767212656117405E-01 a        11     0     1     1    11
  2.1372404156237301E-01 a        12     0     1     1    12
  1.1920373712025957E-01 a        13     0     1     1    13
  8.8626572030810855E-02 a        14     0     1     1    14
  1.0660630228975411E-01 a        15     0     1     1    15
  1.8672939282073357E-02 a        16     0     1     1    16
  4.8976930038963341E-02 a        17     0     1     1    17
 -4.5509695096760103E-02 a        18     0     1     1    18
  8.0036521618804368E-02 a        19     0     1     1    19
  3.7651776595736342E-01 a        20     0     1     1    20
  1.1772939550042466E-01 a        21     0     1     1    21
  1.1986907034132534E-01 a        22     0     1     1    22
 -2.2571533763805199E-01 a        23     0     1     1    23
  3.6091363887460132E-01 a        24     0     1     1    24
 -2.8153521343458177E-01 a        25     0     1     1    25
 -2.1158672303287424E-01 a        26     0     2     1     1
  1.9031777330717178E-01 a        27     0     2     1     2
 -2.2324814251858152E-01 a        28     0     2     1     3
  2.4700255777927938E-02 a        29     0     2     1     4
  1.2155675262603094E-01 a        30     0     2     1     5
 -1.1365984255665278E-01 a        31     0     2     1     6
  1.1699246934021676E-02 a        32     0     2     1     7
 -8.5443652764320324E-02 a        33     0     2     1     8
  1.4972505928337440E-01 a        34     0     2     1     9
 -7.6937123214026806E-02 a        35     0     2     1    10
 -1.5024633305511978E-01 a        36     0     2     1    11
 -3.6280274383220124E-01 a        37     0     2     1    12
 -5.3891485955138770E-02 a        38     0     2     1    13
  4.9922296421935651E-02 a        39     0     2     1    14
 -1.1091120493965530E-01 a        40     0     2     1    15
