################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.4848658360150116E-01 a         1     0     1     1     1
  3.0248590271430412E-02 a         2     0     1     1     2
  8.7953210940643164E-02 a         3     0     1     1     3
 -2.1102725412125112E-01 a         4     0     1     1     4
  7.7514691478433526E-02 a         5     0     1     1     5
  2.1367707542792901E-02 a         6     0     1     1     6
 -1.3851804058324782E-01 a         7     0     1     1     7
 -4.9062535465819415E-02 a         8     0     1     1     8
 -7.3142548153156642E-02 a         9     0     1     1     9
 -2.3036258489743175E-01 a        10     0     1     1    10
 -7.3891657362969654E-02 a        11     0     1     1    11
 -1.1766808688988606E-01 a        12     0     1     1    12
  2.3938331878195906E-01 a        13     0     1     1    13
  1.3757941206191376E-01 a        14     0     1     1    14
  6.3199857596103026E-02 a        15     0     1     1    15
  2.5573095228291015E-01 a        16     0     1     1    16
 -1.0293681415062110E-01 a        17     0     1     1    17
 -2.0597651045020632E-01 a        18     0     1     1    18
  2.3244434492540739E-01 a        19     0     1     1    19
  9.0897946772539776E-02 a        20     0     1     1    20
 -1.3190153124952528E-01 a        21     0     1     1    21
 -1.5007084623208955E-01 a        22     0     1     1    22
 -5.4505586735922644E-02 a        23     0     1     1    23
  1.4203470365383744E-01 a        24     0     1     1    24
 -3.3298615077628085E-01 a        25     0     1     1    25
  1.2281674695151029E-01 a        26     0     2     1     1
 -8.2796105104152473E-02 a        27     0     2     1     2
  3.1369049955827844E-02 a        28     0     2     1     3
 -8.7146486822349586E-02 a        29     0     2     1     4
 -1.7611388899705116E-01 a        30     0     2     1     5
 -1.6188735547095054E-01 a        31     0     2     1     6
  1.3635585573980977E-01 a        32     0     2     1     7
 -2.6843585081126592E-01 a        33     0     2     1     8
 -1.3241094149547566E-01 a        34     0     2     1     9
 -2.2913177195361586E-01 a        35     0     2     1    10
  6.5337584737367158E-02 a        36     0     2     1    11
 -1.7340218281420150E-01 a        37     0     2     1    12
 -3.0912508655675536E-02 a        38     0     2     1    13
  3.7946650583608466E-02 a        39     0     2     1    14
 -7.6194673955635606E-03 a        40     0     2     1    15
 -7.2064566345367065E-02 a        41     0     2     1    16
  5.2484829482822022E-02 a        42     0     2     1    17
  2.5035293093126787E-01 a        43     0     2     1    18
 -3.7185651065197023E-01 a        44     0     2     1    19
 -1.1208248780932144E-01 a        45     0     2     1    20
  2.3361836982715231E-01 a        46     0     2     1    21
 -3.4075863259029637E-01 a        47     0     2     1    22
 -1.5324608411029800E-01 a        48     0     2     1    23
 -4.9485320005272705E-02 a        49     0     2     1    24
