################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.4648881230898145E-01 a       117     0     5     1    17
 -1.4276723884567896E-02 a       118     0     5     1    18
 -3.6631890821922852E-01 a       119     0     5     1    19
 -3.1542542903964625E-03 a       120     0     5     1    20
 -1.4118011989480320E-01 a       121     0     5     1    21
  1.3637644613187108E-01 a       122     0     5     1    22
 -2.3739699937267811E-01 a       123     0     5     1    23
 -4.2344741581065090E-02 a       124     0     5     1    24
 -1.2632343682251360E-01 a       125     0     5     1    25
 -3.2066298458070241E-01 a       126     0     6     1     1
  1.9016191465856835E-01 a       127     0     6     1     2
  3.3441007729741651E-01 a       128     0     6     1     3
 -7.4536014529531480E-01 a       129     0     6     1     4
 -2.4027748010572458E-01 a       130     0     6     1     5
 -9.5621436234222063E-02 a       131     0     6     1     6
  1.2634545831311161E-01 a       132     0     6     1     7
 -3.7114122265933924E-01 a       133     0     6     1     8
  4.3663814886947483E-01 a       134     0     6     1     9
  4.7833399972445378E-01 a       135     0     6     1    10
 -7.3486193588135063E-01 a       136     0     6     1    11
 -8.2532650936184537E-01 a       137     0     6     1    12
  1.7241062154640749E-01 a       138     0     6     1    13
  2.2325970085982534E-03 a       139     0     6     1    14
  2.4851704956392276E-01 a       140     0     6     1    15
  2.6628229478909987E-01 a       141     0     6     1    16
 -6.3509746370189191E-01 a       142     0     6     1    17
 -2.5172518663288562E-01 a       143     0     6     1    18
  1.8947978556410092E-02 a       144     0     6     1    19
  1.1670235199652159E-02 a       145     0     6     1    20
  2.8132724999333971E-03 a       146     0     6     1    21
  2.3828819213769691E-02 a       147     0     6     1    22
 -1.3290946365875408E-01 a       148     0     6     1    23
  2.6950035428899594E-01 a       149     0     6     1    24
  3.2161646427162710E-02 a       150     0     6     1    25
 -6.7510906997471642E-02 a       151     0     7     1     1
 -9.5919050519315485E-02 a       152     0     7     1     2
 -6.0399394851652001E-02 a       153     0     7     1     3
 -1.1439369045392410E-01 a       154     0     7     1     4
  2.5518718810575902E-01 a       155     0     7     1     5
 -6.9777187908369176E-02 a       156     0     7     1     6
 -3.7766872969710824E-01 a       157     0     7     1     7
 -1.2537560121483735E-01 a       158     0     7     1     8
  1.1139910808212383E-01 a       159     0     7     1     9
  1.0554143793275284E-01 a       160     0     7     1    10
 -3.5630323652010115E-01 a       161     0     7     1    11
  2.8036638213723403E-01 a       162     0     7     1    12
 -4.2847159009234970E-05 a       163     0     7     1    13
 -8.4008226277275777E-02 a       164     0     7     1    14
 -2.7272051290781718E-01 a       165     0     7     1    15
 -4.3885705387071589E-01 a       166     0     7     1    16
  3.1770521387686090E-01 a       167     0     7     1    17
  3.5266835990601125E-01 a       168     0     7     1    18
  5.4700474694474824E-02 a       169     0     7     1    19
 -6.2950162171258942E-02 a       170     0     7     1    20
  1.4928645429975057E-01 a       171     0     7     1    21
 -2.3555048470062875E-01 a       172     0     7     1    22
  5.8073510554788967E-02 a       173     0     7     1    23
  1.1946475894679012E-01 a       174     0     7     1    24
 -1.5413386831444711E-01 a       175     0     7     1    25
 -1.9270482755491089E-01 a       176     0     8     1     1
  1.3540863730249980E-01 a       177     0     8     1     2
  2.6212155086933214E-01 a       178     0     8     1     3
 -1.3431743254006642E-01 a       179     0     8     1     4
 -2.2084919161984384E-01 a       180     0     8     1     5
  2.0104907744108813E-01 a       181     0     8     1     6
 -6.3115831540949963E-02 a       182     0     8     1     7
  3.7946808031719317E-03 a       183     0     8     1     8
  5.5112047928236974E-01 a       184     0     8     1     9
 -2.2958697409729065E-01 a       185     0     8     1    10
  1.4775554557632031E-01 a       186     0     8     1    11
 -6.0127304531345759E-03 a       187     0     8     1    12
  3.6639786049374949E-02 a       188     0     8     1    13
 -4.8588363771551478E-02 a       189     0     8     1    14
 -1.7342418656480954E-01 a       190     0     8     1    15
 -3.5617556222163449E-01 a       191     0     8     1    16
  5.5393919949182489E-02 a       192     0     8     1    17
 -2.2344290644759263E-01 a       193     0     8     1    18
 -4.9605176871678001E-02 a       194     0     8     1    19
  3.3424969935455257E-01 a       195     0     8     1    20
 -1.4637011913738479E-02 a       196     0     8     1    21
  2.2341637839027595E-01 a       197     0     8     1    22
 -1.2712569871729204E-01 a       198     0     8     1    23
 -4.0159344729355950E-01 a       199     0     8     1    24
  2.5934489393352262E-02 a       200     0     8     1    25
 -1.1133339093303320E-01 a       201     0     9     1     1
  8.8532969851452342E-02 a       202     0     9     1     2
 -9.4263616132683314E-03 a       203     0     9     1     3
  4.1939986741986696E-01 a       204     0     9     1     4
 -1.4294217887451247E-01 a       205     0     9     1     5
 -2.0460558140379778E-01 a       206     0     9     1     6
  1.5360516020719542E-01 a       207     0     9     1     7
 -3.4698417205317827E-01 a       208     0     9     1     8
 -2.8326957481573745E-01 a       209     0     9     1     9
  2.7689362772086068E-01 a       210     0     9     1    10
  6.9233349807487535E-02 a       211     0     9     1    11
 -3.0567360040239921E-01 a       212     0     9     1    12
 -4.3336590628342897E-01 a       213     0     9     1    13
 -1.1968808685557902E-01 a       214     0     9     1    14
  8.7783208500148355E-02 a       215     0     9     1    15
  5.8574678339810149E-01 a       216     0     9     1    16
 -7.6236965415556912E-01 a       217     0     9     1    17
 -1.7480352176565039E-01 a       218     0     9     1    18
 -4.2561962032115902E-02 a       219     0     9     1    19
  2.7088487938552959E-02 a       220     0     9     1    20
 -5.1437455168948557E-02 a       221     0     9     1    21
 -2.4566495977580682E-01 a       222     0     9     1    22
 -2.3140213415592448E-01 a       223     0     9     1    23
  8.8463912666780706E-02 a       224     0     9     1    24
  2.2616752566779444E-01 a       225     0     9     1    25
 -2.0036313237118217E-01 a       226     0    10     1     1
  5.1709625581778063E-01 a       227     0    10     1     2
  1.3925881065263868E-01 a       228     0    10     1     3
  2.8192406628835670E-01 a       229     0    10     1     4
 -7.3333333368836531E-02 a       230     0    10     1     5
 -4.0318811498334745E-01 a       231     0    10     1     6
 -4.3905271328158448E-02 a       232     0    10     1     7
 -7.7269617315489247E-01 a       233     0    10     1     8
 -1.5936294123918709E-01 a       234     0    10     1     9
