################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.3256229979937387E-01 a         1     0     1     1     1
 -1.5816449288668336E-01 a         2     0     1     1     2
 -2.7312348464289327E-01 a         3     0     1     1     3
 -1.4290436545650359E-01 a         4     0     1     1     4
 -2.7590947079697431E-01 a         5     0     1     1     5
 -8.9679630402465516E-02 a         6     0     1     1     6
  1.1214442255902461E-01 a         7     0     1     1     7
 -5.4370812831175293E-02 a         8     0     1     1     8
  1.0481361973139416E-01 a         9     0     1     1     9
 -2.6750617917558169E-02 a        10     0     1     1    10
 -1.9754723775325941E-01 a        11     0     1     1    11
 -3.4120530003552377E-02 a        12     0     1     1    12
 -1.2301593487664703E-01 a        13     0     1     1    13
 -2.1538873087951871E-01 a        14     0     1     1    14
 -4.0870519482533019E-01 a        15     0     1     1    15
 -2.1783504070035756E-01 a        16     0     1     1    16
  1.4805106693215833E-01 a        17     0     1     1    17
 -7.2876730585020571E-03 a        18     0     1     1    18
 -1.4876410105967100E-01 a        19     0     1     1    19
 -1.5727396050999357E-01 a        20     0     1     1    20
 -8.6485744605628388E-03 a        21     0     1     1    21
 -1.2615333796746269E-02 a        22     0     1     1    22
  4.3216166761929617E-02 a        23     0     1     1    23
 -5.8026523503184949E-02 a        24     0     1     1    24
  1.6211100832596015E-01 a        25     0     1     1    25
 -1.7084178939811973E-01 a        26     0     2     1     1
  6.9979638691233997E-02 a        27     0     2     1     2
  4.7552650707447894E-02 a        28     0     2     1     3
  6.9893335204233381E-02 a        29     0     2     1     4
  3.1166230219665381E-01 a        30     0     2     1     5
 -9.9215775549616900E-02 a        31     0     2     1     6
 -1.8452040380439513E-01 a        32     0     2     1     7
 -1.7733534821191838E-01 a        33     0     2     1     8
 -9.8493385825148078E-02 a        34     0     2     1     9
 -6.3670448335172870E-03 a        35     0     2     1    10
  6.3089689556497089E-02 a        36     0     2     1    11
  5.4770385599638045E-02 a        37     0     2     1    12
  5.8039794386339683E-01 a        38     0     2     1    13
  3.1387780695654582E-01 a        39     0     2     1    14
 -3.9935707548105458E-03 a        40     0     2     1    15
  1.6559682222961414E-01 a        41     0     2     1    16
  7.5898502666826573E-02 a        42     0     2     1    17
  7.0960589933543802E-02 a        43     0     2     1    18
 -1.7463636976172495E-01 a        44     0     2     1    19
 -8.6959372338552915E-02 a        45     0     2     1    20
 -1.1789888570124382E-01 a        46     0     2     1    21
  1.3030133232969196E-01 a        47     0     2     1    22
 -1.7884280895001377E-02 a        48     0     2     1    23
 -1.1637705765119195E-01 a        49     0     2     1    24
 -8.5255029685388520E-02 a        50     0     2     1    25
 -1.0561074692357639E-03 a        51     0     3     1     1
  4.1428363888241899E-02 a        52     0     3     1     2
  8.3128414064209774E-02 a        53     0     3     1     3
  1.8519446043811943E-01 a        54     0     3     1     4
  2.3916293415487072E-01 a        55     0     3     1     5
  5.9467808210081775E-02 a        56     0     3     1     6
  6.0457148873555321E-02 a        57     0     3     1     7
  9.1189783669137520E-02 a        58     0     3     1     8
 -2.1047140449863083E-01 a        59     0     3     1     9
 -4.6434338064378720E-03 a        60     0     3     1    10
  3.9458081896007996E-01 a        61     0     3     1    11
  7.8165232379722061E-02 a        62     0     3     1    12
  4.0712794433247079E-01 a        63     0     3     1    13
 -1.6415050449651505E-01 a        64     0     3     1    14
  1.8501319038330097E-01 a        65     0     3     1    15
  2.3740329184923428E-01 a        66     0     3     1    16
 -8.1799031766102481E-02 a        67     0     3     1    17
  1.0766052683358421E-01 a        68     0     3     1    18
 -8.9681714288315801E-03 a        69     0     3     1    19
  6.2003737017281325E-02 a        70     0     3     1    20
 -1.3997049276664400E-01 a        71     0     3     1    21
  8.8928270814904786E-02 a        72     0     3     1    22
 -1.1693993004872978E-01 a        73     0     3     1    23
  1.3129072446106890E-01 a        74     0     3     1    24
 -2.3924402826966490E-01 a        75     0     3     1    25
 -4.7069421156476152E-02 a        76     0     4     1     1
  5.7366507443969393E-03 a        77     0     4     1     2
 -1.1678766927316310E-01 a        78     0     4     1     3
  1.5250289932598601E-01 a        79     0     4     1     4
  8.5827845946039344E-02 a        80     0     4     1     5
 -1.6355497637514207E-01 a        81     0     4     1     6
  6.6743883353108990E-02 a        82     0     4     1     7
  5.3626996266594652E-02 a        83     0     4     1     8
 -7.4293416153119435E-02 a        84     0     4     1     9
 -2.2051090296005665E-01 a        85     0     4     1    10
 -6.3817161524334531E-02 a        86     0     4     1    11
 -9.7777492446325651E-02 a        87     0     4     1    12
 -5.7171103438000116E-02 a        88     0     4     1    13
