################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.8379836557739679E-01 a         1     0     1     1     1
  1.7752551088537988E-02 a         2     0     1     1     2
  1.0426851749281135E-01 a         3     0     1     1     3
 -2.2982572538384129E-02 a         4     0     1     1     4
 -2.8220403639411151E-02 a         5     0     1     1     5
 -7.8893627219411983E-02 a         6     0     1     1     6
  1.2311272260279101E-01 a         7     0     1     1     7
 -2.1015668311415081E-01 a         8     0     1     1     8
 -5.1457097999850909E-01 a         9     0     1     1     9
 -1.0692440630956930E-01 a        10     0     1     1    10
 -9.4765562800015662E-02 a        11     0     1     1    11
 -1.5258362767099870E-01 a        12     0     1     1    12
 -2.5340235906769520E-01 a        13     0     1     1    13
  1.0170861528206853E-02 a        14     0     1     1    14
  8.5254354730448359E-02 a        15     0     1     1    15
  1.0635970069334834E-01 a        16     0     1     1    16
 -1.4869250142163037E-01 a        17     0     1     1    17
  1.3996910716036724E-02 a        18     0     1     1    18
 -6.7601090997762125E-02 a        19     0     1     1    19
  2.7002683740033412E-01 a        20     0     1     1    20
  1.9726675654548520E-01 a        21     0     1     1    21
 -3.9565499626847661E-02 a        22     0     1     1    22
  8.2315744553899936E-02 a        23     0     1     1    23
  3.7345076313691961E-01 a        24     0     1     1    24
  1.4488622831273459E-01 a        25     0     1     1    25
 -2.5008872170883423E-01 a        26     0     2     1     1
  1.0112552865957608E-01 a        27     0     2     1     2
 -2.7837392051443510E-01 a        28     0     2     1     3
 -1.9796369409093872E-01 a        29     0     2     1     4
 -1.5228133983958092E-01 a        30     0     2     1     5
 -7.8099067948590867E-02 a        31     0     2     1     6
  3.4795006205193955E-02 a        32     0     2     1     7
 -4.8531092686095828E-01 a        33     0     2     1     8
  3.0336631190424256E-02 a        34     0     2     1     9
  2.9858781434305087E-01 a        35     0     2     1    10
 -9.1971769077183019E-02 a        36     0     2     1    11
  5.0078899776485150E-02 a        37     0     2     1    12
  9.8067566328378583E-05 a        38     0     2     1    13
 -8.2388809517060929E-02 a        39     0     2     1    14
  4.1096789415038269E-02 a        40     0     2     1    15
  9.0074148592600767E-02 a        41     0     2     1    16
 -1.3302170080917006E-01 a        42     0     2     1    17
 -1.5725698789171921E-01 a        43     0     2     1    18
 -1.6111472942589705E-01 a        44     0     2     1    19
  1.7741789596803517E-01 a        45     0     2     1    20
 -1.6429024588831614E-01 a        46     0     2     1    21
 -3.3286418194249157E-02 a        47     0     2     1    22
 -1.4292243425261061E-01 a        48     0     2     1    23
  9.8235192466769428E-02 a        49     0     2     1    24
 -6.5896524056004768E-02 a        50     0     2     1    25
  1.1599189000936867E-01 a        51     0     3     1     1
 -1.5104496825555228E-01 a        52     0     3     1     2
 -1.4293682750714620E-01 a        53     0     3     1     3
  6.9020977110811593E-02 a        54     0     3     1     4
 -1.7235663846284036E-01 a        55     0     3     1     5
  1.0772472827959560E-01 a        56     0     3     1     6
 -1.9784924294093909E-01 a        57     0     3     1     7
 -4.3838563975005247E-02 a        58     0     3     1     8
  2.4245090655287332E-01 a        59     0     3     1     9
 -3.3915667710567858E-02 a        60     0     3     1    10
 -6.0154183636183703E-02 a        61     0     3     1    11
 -5.1159425736629210E-02 a        62     0     3     1    12
  1.5549777545513743E-01 a        63     0     3     1    13
 -8.8318700046093226E-02 a        64     0     3     1    14
 -1.0482034384295887E-01 a        65     0     3     1    15
  3.5818258508475059E-02 a        66     0     3     1    16
  1.8290044091628116E-01 a        67     0     3     1    17
 -1.6670207381922936E-01 a        68     0     3     1    18
  8.7159472408736186E-02 a        69     0     3     1    19
  5.8532807478712624E-02 a        70     0     3     1    20
 -1.2879598946187482E-01 a        71     0     3     1    21
 -7.4703626209594504E-02 a        72     0     3     1    22
  1.1306129726682948E-01 a        73     0     3     1    23
 -3.5108761956983192E-01 a        74     0     3     1    24
  2.3735567401806542E-02 a        75     0     3     1    25
  1.2585963829802813E-01 a        76     0     4     1     1
 -4.7565661636237482E-02 a        77     0     4     1     2
 -1.2223063640485807E-01 a        78     0     4     1     3
 -3.5014891839350443E-02 a        79     0     4     1     4
  8.0324132116924470E-03 a        80     0     4     1     5
  1.5755189730014751E-01 a        81     0     4     1     6
  9.6522843943973577E-02 a        82     0     4     1     7
  1.2158525347263842E-01 a        83     0     4     1     8
  1.2436911950892364E-01 a        84     0     4     1     9
  1.1940425442311928E-01 a        85     0     4     1    10
 -7.7992547155335101E-02 a        86     0     4     1    11
 -1.3001048559873410E-01 a        87     0     4     1    12
  1.1848074463820493E-01 a        88     0     4     1    13
  1.8683942844717008E-01 a        89     0     4     1    14
 -2.1478338477722490E-02 a        90     0     4     1    15
  1.0243469385499086E-01 a        91     0     4     1    16
 -8.9557739518091789E-02 a        92     0     4     1    17
 -1.1727380030161035E-01 a        93     0     4     1    18
  3.7762641056108763E-02 a        94     0     4     1    19
  5.5214004635461111E-02 a        95     0     4     1    20
 -5.7276989434302233E-02 a        96     0     4     1    21
  5.7311416087011367E-02 a        97     0     4     1    22
  7.8177650252782574E-02 a        98     0     4     1    23
  1.1059662021934762E-01 a        99     0     4     1    24
 -1.1709646423679511E-01 a       100     0     4     1    25
  1.2472780796250606E-01 a       101     0     5     1     1
 -7.0610379885737318E-02 a       102     0     5     1     2
 -1.7901753557038005E-01 a       103     0     5     1     3
  8.3989491257327548E-02 a       104     0     5     1     4
  8.2484299644976999E-02 a       105     0     5     1     5
 -1.2970343667727444E-01 a       106     0     5     1     6
  4.4069100180943170E-02 a       107     0     5     1     7
 -2.4569982661933134E-02 a       108     0     5     1     8
 -7.8971001731654444E-02 a       109     0     5     1     9
  1.7531674794965355E-02 a       110     0     5     1    10
  1.0303410778824504E-01 a       111     0     5     1    11
 -8.1820548051362713E-02 a       112     0     5     1    12
  1.5860249810113675E-01 a       113     0     5     1    13
 -1.0852934435270430E-01 a       114     0     5     1    14
  4.3240338096859801E-02 a       115     0     5     1    15
  2.9659734892857031E-02 a       116     0     5     1    16
  7.5167579382221239E-02 a       117     0     5     1    17
  1.4671159944006340E-01 a       118     0     5     1    18
 -1.1916751782319226E-01 a       119     0     5     1    19
  1.1728556795847817E-01 a       120     0     5     1    20
 -3.8383556501213223E-02 a       121     0     5     1    21
 -1.6021316751511505E-01 a       122     0     5     1    22
 -8.1921167083705990E-02 a       123     0     5     1    23
  4.6539589791025501E-02 a       124     0     5     1    24
 -5.3165670218970694E-02 a       125     0     5     1    25
  8.6083534958796934E-02 a       126     0     6     1     1
  1.1388769241257893E-01 a       127     0     6     1     2
  3.1564792083142862E-02 a       128     0     6     1     3
 -1.2482921921221347E-01 a       129     0     6     1     4
  4.8454833273670526E-02 a       130     0     6     1     5
 -1.4132631394187753E-01 a       131     0     6     1     6
  1.2352501848131844E-01 a       132     0     6     1     7
 -1.7142764915460143E-01 a       133     0     6     1     8
 -1.9135365335054455E-01 a       134     0     6     1     9
 -2.9897742257793146E-02 a       135     0     6     1    10
 -1.6738376763728702E-01 a       136     0     6     1    11
 -5.0926729373493809E-02 a       137     0     6     1    12
 -1.4458470257176642E-01 a       138     0     6     1    13
  8.0528898121339509E-02 a       139     0     6     1    14
  2.5390270782935646E-02 a       140     0     6     1    15
