################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.0174223083618861E-02 a         1     0     1     1     1
 -4.5825935168052383E-02 a         2     0     1     1     2
  3.8030212573743581E-02 a         3     0     1     1     3
  5.6448868101515663E-02 a         4     0     1     1     4
  8.5899544859449166E-03 a         5     0     1     1     5
  1.0699691258347069E-01 a         6     0     1     1     6
  6.8446175407029075E-02 a         7     0     1     1     7
 -1.7053098561857612E-02 a         8     0     1     1     8
 -1.4081528075230235E-04 a         9     0     1     1     9
  1.4104786040464157E-02 a        10     0     1     1    10
  2.1594643006173680E-02 a        11     0     1     1    11
 -3.1877992252043505E-02 a        12     0     1     1    12
 -8.4406545974331226E-02 a        13     0     1     1    13
 -1.6371481837234791E-01 a        14     0     1     1    14
 -9.9384317534265895E-02 a        15     0     1     1    15
 -1.0747659347264486E-02 a        16     0     1     1    16
  3.6705656169253503E-02 a        17     0     1     1    17
  4.4184365657192304E-02 a        18     0     1     1    18
  1.4900368689742302E-02 a        19     0     1     1    19
  9.1364329188643401E-02 a        20     0     1     1    20
 -7.1261525694442537E-02 a        21     0     1     1    21
 -3.8134337701848570E-02 a        22     0     1     1    22
  1.0601814686776276E-01 a        23     0     1     1    23
  3.6302219879349354E-02 a        24     0     1     1    24
 -3.3050113657051600E-02 a        25     0     1     1    25
  7.3225837428167115E-02 a        26     0     2     1     1
 -6.3614883332170830E-02 a        27     0     2     1     2
 -1.0185239699413739E-02 a        28     0     2     1     3
  3.2802340970677591E-03 a        29     0     2     1     4
 -8.2677943320421665E-02 a        30     0     2     1     5
  1.2883992522252327E-02 a        31     0     2     1     6
 -4.6770325759305599E-02 a        32     0     2     1     7
 -1.6981756244578353E-01 a        33     0     2     1     8
  5.8434586211726586E-03 a        34     0     2     1     9
  8.2453298142757328E-02 a        35     0     2     1    10
 -2.6158148826702369E-02 a        36     0     2     1    11
  1.4724266676236064E-01 a        37     0     2     1    12
  5.4847480888731747E-03 a        38     0     2     1    13
 -1.1182714757002848E-01 a        39     0     2     1    14
 -9.1789443905201940E-02 a        40     0     2     1    15
  1.1723871544313091E-02 a        41     0     2     1    16
 -2.1464279573778049E-02 a        42     0     2     1    17
  1.8291459969352461E-01 a        43     0     2     1    18
 -1.4046012537342341E-02 a        44     0     2     1    19
  7.9681962851574931E-02 a        45     0     2     1    20
  8.6692609989868098E-03 a        46     0     2     1    21
 -1.0153080977831737E-01 a        47     0     2     1    22
  1.1047478199185563E-01 a        48     0     2     1    23
  6.4204267570817208E-02 a        49     0     2     1    24
 -9.1348992392293868E-02 a        50     0     2     1    25
  4.8746987866201796E-02 a        51     0     3     1     1
  2.0660601644777017E-02 a        52     0     3     1     2
  1.0193657482809801E-03 a        53     0     3     1     3
 -7.7637244209494194E-02 a        54     0     3     1     4
  5.0346937266980149E-03 a        55     0     3     1     5
  8.2946669646401669E-02 a        56     0     3     1     6
  3.1213234620737794E-02 a        57     0     3     1     7
 -2.9529376417607778E-02 a        58     0     3     1     8
  1.3105241610695076E-01 a        59     0     3     1     9
 -9.6521850048042243E-02 a        60     0     3     1    10
  4.7197354958914688E-02 a        61     0     3     1    11
  2.3023466341485759E-02 a        62     0     3     1    12
 -3.4988068635937912E-03 a        63     0     3     1    13
  2.9363393428840246E-02 a        64     0     3     1    14
  4.8815377766706157E-02 a        65     0     3     1    15
  5.6132096964796568E-02 a        66     0     3     1    16
 -6.8072234121343861E-02 a        67     0     3     1    17
  2.4699934721240244E-02 a        68     0     3     1    18
  4.6776338795448291E-02 a        69     0     3     1    19
  1.1123759049517171E-01 a        70     0     3     1    20
  8.4146557277591919E-02 a        71     0     3     1    21
 -7.5958761896964544E-02 a        72     0     3     1    22
  8.6227992225141464E-02 a        73     0     3     1    23
 -1.0497762816554289E-01 a        74     0     3     1    24
 -1.5306584575215398E-02 a        75     0     3     1    25
  3.8242105132645851E-02 a        76     0     4     1     1
 -8.7386667719430142E-02 a        77     0     4     1     2
 -3.3918899481419820E-03 a        78     0     4     1     3
  1.6235787142806726E-02 a        79     0     4     1     4
 -1.2841328078279154E-01 a        80     0     4     1     5
  1.9196194389926599E-01 a        81     0     4     1     6
  4.4385088559515694E-02 a        82     0     4     1     7
 -1.1188628132047945E-01 a        83     0     4     1     8
  1.1992757922017175E-01 a        84     0     4     1     9
 -1.5611565005141606E-01 a        85     0     4     1    10
 -9.5594097561353522E-02 a        86     0     4     1    11
 -1.1639526159046991E-01 a        87     0     4     1    12
 -1.0953025913020473E-01 a        88     0     4     1    13
 -4.2512288008978806E-02 a        89     0     4     1    14
 -1.7973094983463358E-02 a        90     0     4     1    15
  2.2149637175540096E-02 a        91     0     4     1    16
  1.6452576799523888E-02 a        92     0     4     1    17
