################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.4653565048804329E-01 a         1     0     1     1     1
  5.1142422288109703E-02 a         2     0     1     1     2
  8.4938298711737165E-02 a         3     0     1     1     3
  6.8172603461454359E-02 a         4     0     1     1     4
  6.8992279633039638E-02 a         5     0     1     1     5
  9.5562655889987691E-02 a         6     0     1     1     6
 -7.3436783044778228E-02 a         7     0     1     1     7
  7.5861356894086421E-02 a         8     0     1     1     8
 -3.0356448853222570E-03 a         9     0     1     1     9
 -9.4326209333294109E-02 a        10     0     1     1    10
 -7.9539275610546439E-02 a        11     0     1     1    11
 -6.4073265369251661E-02 a        12     0     1     1    12
  1.0159161233147744E-01 a        13     0     1     1    13
  2.1645909596723720E-02 a        14     0     1     1    14
  7.4587593433169230E-02 a        15     0     1     1    15
 -4.5463749736569969E-02 a        16     0     1     1    16
  3.5185303999935670E-02 a        17     0     1     1    17
 -1.8275401730925056E-01 a        18     0     1     1    18
 -1.1138306365258806E-01 a        19     0     1     1    19
 -7.2286977570646463E-02 a        20     0     1     1    20
 -1.1210727328977257E-01 a        21     0     1     1    21
  5.6702607651599776E-02 a        22     0     1     1    22
  5.5566988393199991E-02 a        23     0     1     1    23
  1.1384166033996818E-01 a        24     0     1     1    24
 -1.4622194452189942E-02 a        25     0     1     1    25
  3.1448220258413389E-03 a        26     0     2     1     1
 -1.8202401153238797E-02 a        27     0     2     1     2
 -7.2189908223450200E-03 a        28     0     2     1     3
 -4.3786991210547549E-02 a        29     0     2     1     4
 -1.0673758020594178E-01 a        30     0     2     1     5
 -4.2561579252510640E-02 a        31     0     2     1     6
  9.9407671402224992E-02 a        32     0     2     1     7
  1.3890326089552044E-01 a        33     0     2     1     8
 -1.8249360563792530E-01 a        34     0     2     1     9
  1.8185382573070639E-02 a        35     0     2     1    10
 -1.7179211544069156E-01 a        36     0     2     1    11
  3.4115630332548129E-02 a        37     0     2     1    12
  6.5072865116218973E-02 a        38     0     2     1    13
  7.6673478719053410E-03 a        39     0     2     1    14
 -1.0533734556046997E-01 a        40     0     2     1    15
  3.4138501226439723E-02 a        41     0     2     1    16
 -2.1377080586131606E-03 a        42     0     2     1    17
 -1.5104741739678379E-01 a        43     0     2     1    18
 -9.6582352297478483E-02 a        44     0     2     1    19
  2.3693397566987517E-02 a        45     0     2     1    20
 -1.9390910819805338E-01 a        46     0     2     1    21
 -3.1904546714607150E-02 a        47     0     2     1    22
 -5.0222972662327087E-02 a        48     0     2     1    23
  7.4070315212474730E-02 a        49     0     2     1    24
  1.2069289797825183E-02 a        50     0     2     1    25
  8.3813049130624914E-02 a        51     0     3     1     1
  4.0396371603863550E-02 a        52     0     3     1     2
 -7.6558600930360127E-02 a        53     0     3     1     3
 -4.0068651665120959E-04 a        54     0     3     1     4
  7.1384145493782955E-02 a        55     0     3     1     5
 -1.4262567880201422E-02 a        56     0     3     1     6
  1.1279905415147416E-01 a        57     0     3     1     7
 -7.8368421849167508E-02 a        58     0     3     1     8
  8.0965434076628914E-02 a        59     0     3     1     9
  4.3692914367426644E-02 a        60     0     3     1    10
 -1.1507084198497267E-01 a        61     0     3     1    11
  5.8648248549798818E-02 a        62     0     3     1    12
  1.0982348360532862E-02 a        63     0     3     1    13
 -7.6562698311831823E-02 a        64     0     3     1    14
  1.0009743454074628E-01 a        65     0     3     1    15
  1.0696119202328080E-01 a        66     0     3     1    16
 -7.9513502317798232E-02 a        67     0     3     1    17
  4.9214366292911232E-02 a        68     0     3     1    18
  9.3358068324442392E-02 a        69     0     3     1    19
  8.9993639446456844E-02 a        70     0     3     1    20
 -8.3711487829252848E-02 a        71     0     3     1    21
  7.3728415481828388E-02 a        72     0     3     1    22
 -4.4281630130805542E-02 a        73     0     3     1    23
  4.1170929027223788E-02 a        74     0     3     1    24
 -5.2476372314530721E-02 a        75     0     3     1    25
 -1.0327767691363632E-01 a        76     0     4     1     1
 -1.6341807459916102E-02 a        77     0     4     1     2
  8.1021923253350780E-02 a        78     0     4     1     3
  9.0506014583568689E-02 a        79     0     4     1     4
 -3.1391202667302470E-02 a        80     0     4     1     5
  1.3857615615195781E-01 a        81     0     4     1     6
  9.2201018989992181E-02 a        82     0     4     1     7
  4.5293465502045341E-02 a        83     0     4     1     8
  8.0484441287664021E-02 a        84     0     4     1     9
 -3.8752766946471159E-02 a        85     0     4     1    10
  1.1507407182464004E-01 a        86     0     4     1    11
 -9.4533342269916193E-02 a        87     0     4     1    12
  1.1859455887178326E-01 a        88     0     4     1    13
 -4.7988671150444577E-02 a        89     0     4     1    14
  2.6691409707806830E-02 a        90     0     4     1    15
 -5.2967153647371423E-02 a        91     0     4     1    16
 -6.2973579073743570E-03 a        92     0     4     1    17
 -1.9897147207437352E-02 a        93     0     4     1    18
 -9.2777225179134851E-02 a        94     0     4     1    19
  2.4236215717198917E-02 a        95     0     4     1    20
  9.5307248938093420E-02 a        96     0     4     1    21
 -3.4006492866365506E-02 a        97     0     4     1    22
  5.1055185034782694E-02 a        98     0     4     1    23
 -6.5180956320141370E-02 a        99     0     4     1    24
  7.8967912639250848E-02 a       100     0     4     1    25
 -4.0200071638133050E-02 a       101     0     5     1     1
 -8.3058454266915133E-02 a       102     0     5     1     2
  9.4906495541823330E-02 a       103     0     5     1     3
  4.2005787642190234E-02 a       104     0     5     1     4
 -6.6431124023209373E-02 a       105     0     5     1     5
  4.7182173998998024E-02 a       106     0     5     1     6
 -4.4961325920936546E-02 a       107     0     5     1     7
 -4.4337280482641947E-02 a       108     0     5     1     8
 -1.1869918054660987E-01 a       109     0     5     1     9
  4.4456846429172985E-04 a       110     0     5     1    10
  6.2850714560655649E-02 a       111     0     5     1    11
 -9.5241144717869791E-02 a       112     0     5     1    12
 -3.8835031853005228E-02 a       113     0     5     1    13
  3.3949658628557429E-02 a       114     0     5     1    14
 -8.4812973488028659E-02 a       115     0     5     1    15
 -9.8489627818745054E-02 a       116     0     5     1    16
  6.2409354959751029E-02 a       117     0     5     1    17
 -4.4248791267928203E-02 a       118     0     5     1    18
  5.5503750338697193E-02 a       119     0     5     1    19
  6.9892164593328296E-02 a       120     0     5     1    20
 -5.6485446454271837E-02 a       121     0     5     1    21
  7.7352911228027302E-02 a       122     0     5     1    22
 -1.2173392677650578E-02 a       123     0     5     1    23
 -7.3371288889244407E-02 a       124     0     5     1    24
  7.6815493656380393E-02 a       125     0     5     1    25
  2.6155622719660869E-02 a       126     0     6     1     1
  2.2711512883296280E-02 a       127     0     6     1     2
 -3.2323672221187906E-02 a       128     0     6     1     3
 -1.0422148630465933E-01 a       129     0     6     1     4
  1.0683661298845286E-01 a       130     0     6     1     5
 -2.9170467284130183E-02 a       131     0     6     1     6
  2.5062020101164508E-02 a       132     0     6     1     7
 -4.9846754157170138E-02 a       133     0     6     1     8
  6.7670238132351193E-02 a       134     0     6     1     9
 -3.0674448559365815E-03 a       135     0     6     1    10
  8.8458013452589832E-03 a       136     0     6     1    11
 -5.1496060718769089E-02 a       137     0     6     1    12
  6.6982805899130776E-02 a       138     0     6     1    13
 -9.4274761271590554E-02 a       139     0     6     1    14
 -7.3310002182777723E-02 a       140     0     6     1    15
  4.2086817137395864E-02 a       141     0     6     1    16
  2.9438097776810477E-02 a       142     0     6     1    17
 -1.3961059712599591E-01 a       143     0     6     1    18
 -4.4659473629628244E-02 a       144     0     6     1    19
  4.5677581315949588E-02 a       145     0     6     1    20
  1.0875487005179194E-01 a       146     0     6     1    21
  4.9900765877215439E-02 a       147     0     6     1    22
 -5.5441258153943844E-02 a       148     0     6     1    23
