################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.9170572033498531E-02 a         1     0     1     1     1
 -6.5153321369872397E-02 a         2     0     1     1     2
 -1.1913975589606836E-01 a         3     0     1     1     3
 -1.4205673839422700E-01 a         4     0     1     1     4
 -1.7201249347887754E-01 a         5     0     1     1     5
 -2.2941138337678760E-02 a         6     0     1     1     6
 -3.6569397178631345E-03 a         7     0     1     1     7
  4.5961411292662305E-02 a         8     0     1     1     8
 -4.2222345774147609E-02 a         9     0     1     1     9
  3.5169349990758103E-02 a        10     0     1     1    10
  4.9969097609828997E-02 a        11     0     1     1    11
 -5.2358525832662546E-02 a        12     0     1     1    12
  5.9740639770140200E-02 a        13     0     1     1    13
 -2.9242504464736356E-02 a        14     0     1     1    14
 -8.6425870758278303E-02 a        15     0     1     1    15
  2.1868308876325467E-02 a        16     0     1     1    16
  1.2216860496181618E-01 a        17     0     1     1    17
  6.7557685121457267E-02 a        18     0     1     1    18
  7.9589502868553180E-02 a        19     0     1     1    19
  9.4283810430143847E-02 a        20     0     1     1    20
 -2.2449376341901586E-01 a        21     0     1     1    21
 -1.0061646829935777E-02 a        22     0     1     1    22
  3.9930885221184029E-02 a        23     0     1     1    23
  8.6480568383367779E-03 a        24     0     1     1    24
 -7.5324666146720606E-02 a        25     0     1     1    25
  8.3357185771617381E-02 a        26     0     2     1     1
  3.1298925237745974E-02 a        27     0     2     1     2
 -1.9506913997974398E-01 a        28     0     2     1     3
  3.1836134329191336E-02 a        29     0     2     1     4
 -2.8815819095351657E-02 a        30     0     2     1     5
 -1.7901959547973897E-02 a        31     0     2     1     6
 -1.6696102072571439E-03 a        32     0     2     1     7
  7.1582729326231359E-02 a        33     0     2     1     8
 -4.3225559446561007E-02 a        34     0     2     1     9
  2.0489521483358373E-03 a        35     0     2     1    10
  4.7669425670348889E-02 a        36     0     2     1    11
  2.5960598488836795E-01 a        37     0     2     1    12
  7.6785901849862934E-02 a        38     0     2     1    13
 -3.0003100107328335E-02 a        39     0     2     1    14
  4.6897449663496169E-02 a        40     0     2     1    15
 -9.1339471249567955E-02 a        41     0     2     1    16
  3.6851939862910091E-02 a        42     0     2     1    17
 -2.2645876713864804E-01 a        43     0     2     1    18
  4.4748973453090250E-02 a        44     0     2     1    19
 -1.2741286640970842E-01 a        45     0     2     1    20
  1.2332437982202661E-01 a        46     0     2     1    21
  2.9488352272620626E-02 a        47     0     2     1    22
  1.2737325332108973E-02 a        48     0     2     1    23
 -4.2164582055963670E-02 a        49     0     2     1    24
 -1.4922784739458425E-01 a        50     0     2     1    25
 -1.6303541660836138E-01 a        51     0     3     1     1
 -4.5380934323469790E-02 a        52     0     3     1     2
  5.4921272665651243E-02 a        53     0     3     1     3
 -1.8655437329258442E-01 a        54     0     3     1     4
 -2.4407055401645406E-01 a        55     0     3     1     5
 -7.2643295437356176E-02 a        56     0     3     1     6
 -9.1563648164183581E-02 a        57     0     3     1     7
 -1.1519402307370681E-02 a        58     0     3     1     8
  3.8672163673663926E-02 a        59     0     3     1     9
 -9.2364712485922661E-03 a        60     0     3     1    10
  3.8565863989758274E-02 a        61     0     3     1    11
  2.5933173698754662E-02 a        62     0     3     1    12
 -1.0111410552165399E-01 a        63     0     3     1    13
  5.8251020993127414E-02 a        64     0     3     1    14
  3.6845820396633262E-02 a        65     0     3     1    15
 -3.0669734048528716E-02 a        66     0     3     1    16
 -5.6604347821461058E-02 a        67     0     3     1    17
 -1.5211493947288109E-02 a        68     0     3     1    18
  1.1026238593531702E-01 a        69     0     3     1    19
  1.6402956423914977E-01 a        70     0     3     1    20
 -7.4452320820936557E-02 a        71     0     3     1    21
  8.9140509030405435E-02 a        72     0     3     1    22
  1.3657043581923867E-01 a        73     0     3     1    23
  7.5752788687706199E-02 a        74     0     3     1    24
  2.3615460196147289E-01 a        75     0     3     1    25
  2.2021333737733129E-02 a        76     0     4     1     1
 -1.0453058468601541E-01 a        77     0     4     1     2
 -3.9005194868422535E-02 a        78     0     4     1     3
 -2.2722774804661047E-02 a        79     0     4     1     4
  9.5316106933349506E-02 a        80     0     4     1     5
 -5.0644507876420643E-02 a        81     0     4     1     6
 -1.9924263616255468E-02 a        82     0     4     1     7
  7.4410456525159166E-02 a        83     0     4     1     8
 -1.0755912466152211E-01 a        84     0     4     1     9
 -3.8104159434791215E-02 a        85     0     4     1    10
  1.0326661938962815E-01 a        86     0     4     1    11
 -1.2421256969812576E-02 a        87     0     4     1    12
 -9.3378928761039329E-02 a        88     0     4     1    13
 -1.1282136339927286E-01 a        89     0     4     1    14
  5.6255072218899761E-04 a        90     0     4     1    15
  5.1769475584715362E-02 a        91     0     4     1    16
  5.9267136991850509E-02 a        92     0     4     1    17
 -3.3246064723931150E-02 a        93     0     4     1    18
  2.9624331583442798E-02 a        94     0     4     1    19
 -1.3853866902843993E-02 a        95     0     4     1    20
 -6.5327022048754901E-02 a        96     0     4     1    21
  1.3421597141479386E-02 a        97     0     4     1    22
  2.9267814914392423E-02 a        98     0     4     1    23
 -3.8729500753498514E-02 a        99     0     4     1    24
 -7.9856481585862504E-02 a       100     0     4     1    25
  1.0271746013695740E-01 a       101     0     5     1     1
 -8.3251602273495137E-02 a       102     0     5     1     2
  3.3214250677990866E-02 a       103     0     5     1     3
 -4.3879271820062252E-02 a       104     0     5     1     4
  8.2532426032901646E-02 a       105     0     5     1     5
 -4.7886494043898435E-02 a       106     0     5     1     6
 -1.8605598838932036E-02 a       107     0     5     1     7
 -9.3727552138757081E-02 a       108     0     5     1     8
  4.6515678447769160E-02 a       109     0     5     1     9
 -1.2839889759970293E-02 a       110     0     5     1    10
  3.7282091649464250E-02 a       111     0     5     1    11
  8.7210736684234361E-02 a       112     0     5     1    12
 -5.1777843120670422E-02 a       113     0     5     1    13
 -1.0573370307767371E-02 a       114     0     5     1    14
  1.0811397986871726E-01 a       115     0     5     1    15
 -5.6956675333581716E-02 a       116     0     5     1    16
 -4.5750950799318305E-02 a       117     0     5     1    17
  6.6668086224703035E-02 a       118     0     5     1    18
 -5.7890642981963954E-02 a       119     0     5     1    19
 -4.6386103113982086E-02 a       120     0     5     1    20
 -5.0054700979243652E-02 a       121     0     5     1    21
 -3.6606327862662276E-02 a       122     0     5     1    22
 -6.4241413883540363E-02 a       123     0     5     1    23
 -4.7512923810071973E-02 a       124     0     5     1    24
 -8.4438546156226452E-02 a       125     0     5     1    25
  8.7012867974217104E-02 a       126     0     6     1     1
  1.9094238839668581E-01 a       127     0     6     1     2
  4.6034006420950943E-02 a       128     0     6     1     3
