id,spacegroup,density,energy,minimization_step,trial_number,minimization_time,metadata
ttbi-QR-15-10888-3,15,1.0259,-155.982,3,10888,16.820903539657593,
ttbi-QR-15-19323-3,15,1.0249,-155.9578,3,19323,16.84298825263977,
ttbi-QR-148-9122-3,148,1.1215,-155.9535,3,9122,28.831207990646362,
ttbi-QR-14-918-3,14,0.8558,-155.9485,3,918,12.275598526000977,
ttbi-QR-15-15456-3,15,0.9408,-155.9451,3,15456,32.17851543426514,
ttbi-QR-2-9157-3,2,0.8567,-155.9424,3,9157,8.568320989608765,
ttbi-QR-86-22349-3,86,1.0811,-155.9358,3,22349,29.969863414764404,
ttbi-QR-15-18808-3,15,1.2807,-155.9187,3,18808,19.22101879119873,
ttbi-QR-88-1475-3,88,1.1744,-155.9109,3,1475,44.303869009017944,
ttbi-QR-60-10701-3,60,1.155,-155.8976,3,10701,34.99555706977844,
ttbi-QR-18-6384-3,18,1.3418,-155.8764,3,6384,16.116597414016724,
ttbi-QR-60-1512-3,60,1.2691,-155.8733,3,1512,38.13430738449097,
ttbi-QR-96-9967-3,96,1.3061,-155.866,3,9967,32.416828632354736,
ttbi-QR-13-14627-3,13,0.9742,-155.865,3,14627,24.537182092666626,
ttbi-QR-15-18000-3,15,1.2006,-155.8643,3,18000,15.69762396812439,
ttbi-QR-13-23048-3,13,1.2825,-155.8536,3,23048,17.44003176689148,
ttbi-QR-14-5540-3,14,1.0897,-155.8486,3,5540,15.541464567184448,
ttbi-QR-15-1421-3,15,0.7652,-155.8418,3,1421,32.39069581031799,
ttbi-QR-15-17924-3,15,0.8083,-155.8308,3,17924,18.79678511619568,
ttbi-QR-33-1893-3,33,0.9777,-155.8302,3,1893,14.645255327224731,
ttbi-QR-15-13877-3,15,0.8769,-155.812,3,13877,17.614116668701172,
ttbi-QR-60-20670-3,60,1.1356,-155.7963,3,20670,35.281891107559204,
ttbi-QR-2-6297-3,2,0.8118,-155.7903,3,6297,10.221846103668213,
ttbi-QR-60-14867-3,60,1.15,-155.7595,3,14867,33.829981327056885,
ttbi-QR-2-12811-3,2,0.9328,-155.7584,3,12811,95.0957236289978,
ttbi-QR-15-1417-3,15,1.1648,-155.6747,3,1417,66.11024594306946,
ttbi-QR-33-1696-3,33,1.0536,-155.6618,3,1696,15.596145629882812,
ttbi-QR-15-8463-3,15,0.7279,-155.6402,3,8463,10.657057285308838,
ttbi-QR-15-11742-3,15,1.214,-155.6346,3,11742,19.65893292427063,
ttbi-QR-61-13633-3,61,1.1738,-155.6321,3,13633,39.94402265548706,
