################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.2209719952339231E+00 a         1     0     1     1     1
 -8.8090539949247559E-01 a         2     0     1     1     2
  1.1623278509865889E+00 a         3     0     1     1     3
  1.6958577006374280E+00 a         4     0     1     1     4
  2.1886451656868595E+00 a         5     0     1     1     5
  1.3782605592887620E+00 a         6     0     1     1     6
  2.7418673125214674E+00 a         7     0     1     1     7
  3.4153015243242977E+00 a         8     0     1     1     8
 -2.4315376758462497E+00 a         9     0     1     1     9
  1.9972340240720969E+00 a        10     0     1     1    10
  1.1258944637144392E+00 a        11     0     1     1    11
  4.5915432561824723E+00 a        12     0     1     1    12
 -9.2521129504389765E-01 a        13     0     1     1    13
  1.0985438269352243E+00 a        14     0     1     1    14
  5.2671317096336989E-01 a        15     0     1     1    15
  1.3571277195935096E-02 a        16     0     1     1    16
 -1.6183295159024238E+00 a        17     0     1     1    17
 -1.2678774491048559E+00 a        18     0     1     1    18
  2.3338556652859364E+00 a        19     0     1     1    19
 -1.5684317710116531E+00 a        20     0     1     1    20
 -3.1844466662862576E+00 a        21     0     1     1    21
 -5.6795392132781286E+00 a        22     0     1     1    22
  1.5898735098763588E+00 a        23     0     1     1    23
 -5.9549998452288189E-01 a        24     0     1     1    24
  4.7163628115081763E-01 a        25     0     1     1    25
  2.2939193357840888E+00 a        26     0     2     1     1
 -4.4457973885128133E-01 a        27     0     2     1     2
 -1.2330674765805452E+00 a        28     0     2     1     3
  1.2897626524514603E+00 a        29     0     2     1     4
  1.0996960041697992E+00 a        30     0     2     1     5
 -3.9448573393214241E+00 a        31     0     2     1     6
  1.8917932275701697E+00 a        32     0     2     1     7
  2.7330323473024811E+00 a        33     0     2     1     8
  3.2630149058355480E+00 a        34     0     2     1     9
 -7.1677421695308263E-01 a        35     0     2     1    10
  2.4270971569397637E+00 a        36     0     2     1    11
  4.5229697327867830E+00 a        37     0     2     1    12
 -7.2584776766720815E-01 a        38     0     2     1    13
  1.9692324218829318E-01 a        39     0     2     1    14
  7.2379500082650794E-01 a        40     0     2     1    15
  1.4385183770899430E+00 a        41     0     2     1    16
 -1.5799995626194441E-01 a        42     0     2     1    17
 -1.2994594291458879E+00 a        43     0     2     1    18
  3.9334352647450106E+00 a        44     0     2     1    19
 -1.9129472564402701E+00 a        45     0     2     1    20
 -3.5333385870412219E+00 a        46     0     2     1    21
 -3.2560002319612842E+00 a        47     0     2     1    22
 -2.8349531953693830E-01 a        48     0     2     1    23
