################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.1556498364349125E-01 a         1     0     1     1     1
  2.2082028381132110E-01 a         2     0     1     1     2
 -6.8041639348656890E-01 a         3     0     1     1     3
 -1.5509952142506914E-01 a         4     0     1     1     4
  1.9717908173740903E-02 a         5     0     1     1     5
 -1.6253058685148924E-01 a         6     0     1     1     6
  1.5877573142160673E-01 a         7     0     1     1     7
  1.6569775889250987E-01 a         8     0     1     1     8
 -1.5729085666614567E-03 a         9     0     1     1     9
  2.5801386623988604E-01 a        10     0     1     1    10
 -6.6690684959123114E-03 a        11     0     1     1    11
 -2.1860010573450966E-01 a        12     0     1     1    12
  9.5701427268290257E-02 a        13     0     1     1    13
 -1.4190253687733913E-02 a        14     0     1     1    14
  5.9818821478573411E-02 a        15     0     1     1    15
 -2.2900482176044498E-02 a        16     0     1     1    16
  3.3422329788362615E-01 a        17     0     1     1    17
 -3.9488920204544836E-01 a        18     0     1     1    18
  1.4806909551474942E-01 a        19     0     1     1    19
 -1.6258991148350269E-01 a        20     0     1     1    20
  3.3750698810382612E-01 a        21     0     1     1    21
  2.9633278426506354E-01 a        22     0     1     1    22
  4.4982782940901321E-02 a        23     0     1     1    23
 -3.5509803572320997E-01 a        24     0     1     1    24
 -2.8335191788547945E-02 a        25     0     1     1    25
  9.8638264717768043E-04 a        26     0     2     1     1
  3.5302649425893701E-02 a        27     0     2     1     2
  3.0514506535205849E-01 a        28     0     2     1     3
  1.3678423018368405E-01 a        29     0     2     1     4
 -9.4120182494872029E-02 a        30     0     2     1     5
 -5.9558706058337414E-02 a        31     0     2     1     6
 -1.6901512594065901E-01 a        32     0     2     1     7
  1.1121029078441083E-01 a        33     0     2     1     8
  4.0039503737932924E-03 a        34     0     2     1     9
 -2.4633748365800709E-01 a        35     0     2     1    10
  1.7363685662235256E-01 a        36     0     2     1    11
  9.1320205519816164E-02 a        37     0     2     1    12
 -8.1668163501805308E-02 a        38     0     2     1    13
  3.2156341900101670E-01 a        39     0     2     1    14
 -1.2400419317546998E-01 a        40     0     2     1    15
 -7.3262486173096303E-02 a        41     0     2     1    16
 -6.8409173984688779E-02 a        42     0     2     1    17
 -4.8064403133922046E-01 a        43     0     2     1    18
  2.2132934837686194E-01 a        44     0     2     1    19
  1.5164096448881056E-01 a        45     0     2     1    20
 -2.7003766085293357E-01 a        46     0     2     1    21
  1.3477575481194398E-01 a        47     0     2     1    22
 -1.1203453710298721E-01 a        48     0     2     1    23
 -1.1910586335690350E-01 a        49     0     2     1    24
 -1.5001484179478125E-01 a        50     0     2     1    25
 -1.4438340329681143E-01 a        51     0     3     1     1
  1.9076278872113217E-01 a        52     0     3     1     2
 -2.4296633570984061E-01 a        53     0     3     1     3
  8.3080202286835103E-02 a        54     0     3     1     4
  1.7820081982200062E-02 a        55     0     3     1     5
 -1.0357059359576132E-01 a        56     0     3     1     6
  5.3321296503039628E-01 a        57     0     3     1     7
 -5.7137362216243937E-02 a        58     0     3     1     8
 -2.1973932177653105E-01 a        59     0     3     1     9
  3.2151923915500502E-01 a        60     0     3     1    10
  3.4806716679074789E-01 a        61     0     3     1    11
  3.4216116141134495E-01 a        62     0     3     1    12
 -2.5491042984012202E-01 a        63     0     3     1    13
 -1.7802495910931554E-01 a        64     0     3     1    14
  3.4799612031613512E-03 a        65     0     3     1    15
 -2.8637942969584211E-02 a        66     0     3     1    16
 -3.4661231627535705E-01 a        67     0     3     1    17
 -9.7777346379873153E-01 a        68     0     3     1    18
  1.2714454005223655E-01 a        69     0     3     1    19
  8.2439277045468232E-02 a        70     0     3     1    20
 -5.3701511960699486E-02 a        71     0     3     1    21
  8.0324496764247466E-03 a        72     0     3     1    22
  8.9008135874863559E-02 a        73     0     3     1    23
 -6.9078054012040174E-02 a        74     0     3     1    24
 -1.9228189140517937E-01 a        75     0     3     1    25
 -6.5661405505453097E-01 a        76     0     4     1     1
 -2.6978291124439330E-01 a        77     0     4     1     2
 -5.7186653407067467E-01 a        78     0     4     1     3
  2.1896343946212884E-02 a        79     0     4     1     4
 -2.6207274397281405E-01 a        80     0     4     1     5
 -1.4509769470669644E-02 a        81     0     4     1     6
  1.0778442279085655E-01 a        82     0     4     1     7
  3.4825091204496761E-01 a        83     0     4     1     8
  1.4918461549130541E-01 a        84     0     4     1     9
  3.2817109565898328E-01 a        85     0     4     1    10
 -2.6831843194488997E-01 a        86     0     4     1    11
 -4.2030546068457783E-02 a        87     0     4     1    12
 -1.5815655496042669E-01 a        88     0     4     1    13
 -2.4448775501566805E-01 a        89     0     4     1    14
  1.5250660462087304E-01 a        90     0     4     1    15
 -1.2439136169050781E-01 a        91     0     4     1    16
 -2.0638326058056133E-01 a        92     0     4     1    17
 -2.2048211677748777E-01 a        93     0     4     1    18
  1.7009651699145337E-01 a        94     0     4     1    19
 -5.7158912953514468E-02 a        95     0     4     1    20
 -1.2995674324399029E-01 a        96     0     4     1    21
  2.6524010425510841E-01 a        97     0     4     1    22
  3.3209132460639618E-01 a        98     0     4     1    23
 -5.0042657022352433E-01 a        99     0     4     1    24
 -3.9020272273770951E-01 a       100     0     4     1    25
  8.4693105798525431E-02 a       101     0     5     1     1
  1.2816924845937600E-01 a       102     0     5     1     2
  1.5482427936709783E-01 a       103     0     5     1     3
  6.3293356669639686E-04 a       104     0     5     1     4
  5.2285999425315741E-02 a       105     0     5     1     5
  1.4192238684080269E-01 a       106     0     5     1     6
 -6.4965553263653816E-02 a       107     0     5     1     7
  1.4896397033507142E-01 a       108     0     5     1     8
  3.3037867862286380E-02 a       109     0     5     1     9
  1.2000941295004434E-01 a       110     0     5     1    10
  5.2576637004868754E-02 a       111     0     5     1    11
  2.9460900715737526E-01 a       112     0     5     1    12
  1.2104821572439006E-01 a       113     0     5     1    13
  1.2069278982672261E-02 a       114     0     5     1    14
  8.6699181882829990E-02 a       115     0     5     1    15
  1.1622279394600932E-01 a       116     0     5     1    16
  4.3008480942138154E-02 a       117     0     5     1    17
  2.2399489542749371E-02 a       118     0     5     1    18
  1.9233800621053326E-01 a       119     0     5     1    19
 -5.1753086759753677E-03 a       120     0     5     1    20
 -1.1471066000355683E-01 a       121     0     5     1    21
  4.6725708848490172E-02 a       122     0     5     1    22
 -1.2908521891210725E-01 a       123     0     5     1    23
  7.4625959593829921E-02 a       124     0     5     1    24
 -1.4249066051790590E-01 a       125     0     5     1    25
 -1.0058809301513420E-02 a       126     0     6     1     1
  2.4287566982813547E-01 a       127     0     6     1     2
  4.4717677255331684E-02 a       128     0     6     1     3
 -1.6527102891550591E-01 a       129     0     6     1     4
 -1.2152263245762010E-01 a       130     0     6     1     5
  2.2576835422981231E-01 a       131     0     6     1     6
  6.2323348149428179E-02 a       132     0     6     1     7
 -3.4877092589282524E-02 a       133     0     6     1     8
  1.8965818600141715E-01 a       134     0     6     1     9
  5.3321802537884787E-02 a       135     0     6     1    10
  4.0630404879435478E-02 a       136     0     6     1    11
  6.7873050281520589E-02 a       137     0     6     1    12
 -4.3550085928182485E-02 a       138     0     6     1    13
  9.5870621066837552E-02 a       139     0     6     1    14
  2.9244402409063255E-02 a       140     0     6     1    15
  1.2094367197309507E-01 a       141     0     6     1    16
 -4.1670244426588690E-02 a       142     0     6     1    17
 -2.3557503568919788E-01 a       143     0     6     1    18
  1.9228958009116209E-01 a       144     0     6     1    19
 -4.4681773325548650E-03 a       145     0     6     1    20
  9.3417208942346994E-02 a       146     0     6     1    21
  1.2616513718028630E-01 a       147     0     6     1    22
 -1.6750536191621776E-01 a       148     0     6     1    23
  1.3071351275649931E-01 a       149     0     6     1    24
 -4.0996638752945169E-01 a       150     0     6     1    25
 -6.8744070985004594E-03 a       151     0     7     1     1
  1.8225296457399504E-01 a       152     0     7     1     2
