id,spacegroup,density,energy,PBE_lattice_energy_kjmol,rel_energy,rel_PBE_energy,diff,rel_diff
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-3421,1,1.7824,-84.2598,-95.16846927,2.9463,6.226736728,-10.90866927,3.280436728
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-3537,1,1.7285,-83.711,-95.09925577,3.4951,6.295950222,-11.38825577,2.800850222
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-3636,1,1.7951,-84.3787,-97.10586506,2.8274,4.28934094,-12.72716506,1.46194094
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-3657,1,1.7334,-84.3042,-96.37061759,2.9019,5.024588412,-12.06641759,2.122688412
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-3662,1,1.733,-84.1366,-96.23947717,3.0695,5.155728829,-12.10287717,2.086228829
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-3750,1,1.7375,-83.9356,-93.16380851,3.2705,8.231397489,-9.228208507,4.960897489
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-3760,1,1.7375,-84.0289,-94.34630446,3.1772,7.048901541,-10.31740446,3.871701541
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-3882,1,1.7218,-83.6151,-93.51933274,3.591,7.875873253,-9.904232744,4.284873253
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-3965,1,1.7813,-83.846,-95.10781933,3.3601,6.287386669,-11.26181933,2.927286669
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-4012,1,1.7683,-84.3327,-96.27388769,2.8734,5.121318309,-11.94118769,2.247918309
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-4014,1,1.7683,-83.237,-95.70745959,3.9691,5.687746403,-12.47045959,1.718646403
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-4019,1,1.7681,-83.3644,-95.52423472,3.8417,5.870971278,-12.15983472,2.029271278
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-4076,1,1.8069,-83.4624,-94.83326773,3.7437,6.561938265,-11.37086773,2.818238265
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-4104,1,1.7882,-83.744,-95.27567916,3.4621,6.119526838,-11.53167916,2.657426838
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-4194,1,1.7913,-83.1512,-93.25465425,4.0549,8.140551748,-10.10345425,4.085651748
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-4216,1,1.7913,-83.1781,-92.72755284,4.028,8.667653154,-9.549452843,4.639653154
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-4536,1,1.7661,-83.3242,-93.31268968,3.8819,8.082516318,-9.988489679,4.200616318
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-4544,1,1.7661,-82.6397,-93.078879,4.5664,8.316326993,-10.439179,3.749926993
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-4545,1,1.7665,-83.3924,-94.16971198,3.8137,7.225494017,-10.77731198,3.411794017
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-4596,1,1.7758,-82.6915,-94.85342641,4.5146,6.541779589,-12.16192641,2.027179589
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-4598,1,1.776,-82.5979,-94.69598723,4.6082,6.699218766,-12.09808723,2.091018766
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-4665,1,1.7806,-82.9881,-93.61908625,4.218,7.776119746,-10.63098625,3.558119746
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-4687,1,1.7826,-83.4252,-94.3306145,3.7809,7.0645915,-10.9054145,3.2836915
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-4692,1,1.7826,-82.7997,-94.38145188,4.4064,7.013754115,-11.58175188,2.607354115
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-4711,1,1.7616,-82.6454,-93.64019796,4.5607,7.755008038,-10.99479796,3.194308038
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-4712,1,1.7616,-83.1099,-93.39743465,4.0962,7.997771343,-10.28753465,3.901571343
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-4815,1,1.7605,-83.6555,-93.51452126,3.5506,7.880684734,-9.859021263,4.330084734
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-4895,1,1.7989,-82.888,-93.7184502,4.3181,7.6767558,-10.8304502,3.3586558
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-4960,1,1.7209,-82.6673,-91.93060881,4.5388,9.46459719,-9.263308807,4.92579719
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-4975,1,1.7209,-82.7843,-92.70779241,4.4218,8.687413586,-9.923492411,4.265613586
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5016,1,1.7566,-82.8671,-91.74424237,4.339,9.650963627,-8.87714237,5.311963627
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5051,1,1.7289,-82.2044,-89.48724358,5.0017,11.90796241,-7.282843584,6.906262413
