################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.9801871876641011E-02 a         1     0     1     1     1
  2.1135903389415345E-02 a         2     0     1     1     2
  6.6241514942981972E-02 a         3     0     1     1     3
  2.5375916721104202E-01 a         4     0     1     1     4
 -1.6756442695625201E-03 a         5     0     1     1     5
  1.6265561558855179E-01 a         6     0     1     1     6
 -4.9930809689984312E-02 a         7     0     1     1     7
 -4.8554840249485441E-02 a         8     0     1     1     8
 -8.4601183295810664E-02 a         9     0     1     1     9
  1.3914817185227212E-02 a        10     0     1     1    10
  1.0548399884360535E-01 a        11     0     1     1    11
 -2.8938879295083365E-02 a        12     0     1     1    12
 -5.3835432989754642E-02 a        13     0     1     1    13
 -3.7462869846163260E-02 a        14     0     1     1    14
  1.1620240521973847E-01 a        15     0     1     1    15
  2.6622544352880320E-02 a        16     0     1     1    16
 -3.8489400513362096E-02 a        17     0     1     1    17
  4.8967833809006607E-02 a        18     0     1     1    18
 -6.8809913722814642E-02 a        19     0     1     1    19
  3.1834277291167161E-02 a        20     0     1     1    20
  5.7718014168916996E-02 a        21     0     1     1    21
  4.6631848289161865E-02 a        22     0     1     1    22
  2.6865014853775262E-02 a        23     0     1     1    23
  4.7118091981712754E-02 a        24     0     1     1    24
  3.6031017861851741E-02 a        25     0     1     1    25
  1.3283372809282086E-02 a        26     0     2     1     1
  1.1368396177269632E-01 a        27     0     2     1     2
  8.3285832253329556E-02 a        28     0     2     1     3
  2.1051853464959999E-01 a        29     0     2     1     4
  3.6405254079348984E-02 a        30     0     2     1     5
 -6.2663809422655925E-02 a        31     0     2     1     6
 -2.7007681460065176E-02 a        32     0     2     1     7
  1.7082471809405306E-01 a        33     0     2     1     8
  1.9068365473530573E-03 a        34     0     2     1     9
 -1.0144713016264813E-01 a        35     0     2     1    10
 -1.4409150580010088E-01 a        36     0     2     1    11
 -9.5350185679612079E-02 a        37     0     2     1    12
 -1.4863416022557796E-01 a        38     0     2     1    13
  3.9291076923993189E-02 a        39     0     2     1    14
  2.1226143912691006E-01 a        40     0     2     1    15
 -9.9262946745068067E-02 a        41     0     2     1    16
  8.4478009734398354E-02 a        42     0     2     1    17
 -1.0199737047028978E-02 a        43     0     2     1    18
  5.0865731862939120E-02 a        44     0     2     1    19
 -1.0366168825852021E-01 a        45     0     2     1    20
  3.2192633547220309E-02 a        46     0     2     1    21
  1.0242934359836514E-01 a        47     0     2     1    22
  1.6142568483930661E-01 a        48     0     2     1    23
  8.9252791949424121E-02 a        49     0     2     1    24
