################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.4729246610029759E-03 a         1     0     1     1     1
 -5.2422554251883628E-02 a         2     0     1     1     2
  4.0620774388697045E-02 a         3     0     1     1     3
 -1.7246357860377554E-01 a         4     0     1     1     4
 -7.0331505706626607E-02 a         5     0     1     1     5
 -5.9173273614003680E-02 a         6     0     1     1     6
 -7.9140270967286951E-03 a         7     0     1     1     7
 -1.3378369559848474E-01 a         8     0     1     1     8
 -2.6361529408313617E-02 a         9     0     1     1     9
 -2.2983222303108528E-01 a        10     0     1     1    10
  5.4089282701911469E-02 a        11     0     1     1    11
  1.5777660041614353E-02 a        12     0     1     1    12
  4.8374669454612496E-03 a        13     0     1     1    13
  1.0880990021509658E-01 a        14     0     1     1    14
  3.3273083252662844E-02 a        15     0     1     1    15
 -1.0373929340184140E-01 a        16     0     1     1    16
  1.2943755839781776E-01 a        17     0     1     1    17
 -4.7031666285361085E-01 a        18     0     1     1    18
  6.4571515051091002E-02 a        19     0     1     1    19
  5.7719678815508067E-02 a        20     0     1     1    20
  2.9255147527714365E-01 a        21     0     1     1    21
  8.9148637272513834E-02 a        22     0     1     1    22
 -2.5402480767350111E-01 a        23     0     1     1    23
  2.7977452609003944E-01 a        24     0     1     1    24
 -1.4334038976650784E-01 a        25     0     1     1    25
  4.7519030652911930E-02 a        26     0     2     1     1
 -9.8359174429209183E-03 a        27     0     2     1     2
 -3.5779479651800916E-01 a        28     0     2     1     3
  2.9358504887850184E-01 a        29     0     2     1     4
 -2.3275401628506825E-01 a        30     0     2     1     5
 -5.5909942841366994E-02 a        31     0     2     1     6
 -1.2247569486899290E-01 a        32     0     2     1     7
 -1.8918589202477373E-01 a        33     0     2     1     8
  3.8090754862333970E-01 a        34     0     2     1     9
 -2.3200201736741265E-02 a        35     0     2     1    10
 -1.5109841170103627E-01 a        36     0     2     1    11
  2.9063900266478150E-03 a        37     0     2     1    12
 -1.1498120150738106E-01 a        38     0     2     1    13
  1.3597773827942899E-01 a        39     0     2     1    14
 -8.0298993473352093E-02 a        40     0     2     1    15
  1.7204607588121687E-01 a        41     0     2     1    16
  2.5205203417298511E-03 a        42     0     2     1    17
  1.1604083952001107E-01 a        43     0     2     1    18
 -9.3177761186847341E-02 a        44     0     2     1    19
  1.5237118649109277E-01 a        45     0     2     1    20
  8.8615102891629285E-02 a        46     0     2     1    21
  1.3583624305481160E-01 a        47     0     2     1    22
 -6.6057361186402958E-02 a        48     0     2     1    23
 -3.9265346521052347E-02 a        49     0     2     1    24
 -2.8943702847386177E-02 a        50     0     2     1    25
  9.0212422090982618E-03 a        51     0     3     1     1
  3.6710029997343498E-02 a        52     0     3     1     2
  1.2297035960563879E-01 a        53     0     3     1     3
  2.0916905596487934E-01 a        54     0     3     1     4
 -4.4150448037501094E-02 a        55     0     3     1     5
 -2.4214417901525942E-01 a        56     0     3     1     6
 -1.7404107084604309E-01 a        57     0     3     1     7
 -3.2358254235300303E-02 a        58     0     3     1     8
  1.7403108329348974E-01 a        59     0     3     1     9
  3.5209495945426536E-02 a        60     0     3     1    10
 -8.0861914218454303E-02 a        61     0     3     1    11
 -1.9431402580700127E-01 a        62     0     3     1    12
 -1.2108044503657846E-01 a        63     0     3     1    13
  1.0846879904053218E-02 a        64     0     3     1    14
  2.1222021291773618E-01 a        65     0     3     1    15
 -1.3566601415285526E-01 a        66     0     3     1    16
  1.8617418615967699E-01 a        67     0     3     1    17
 -5.5373588551126091E-02 a        68     0     3     1    18
 -2.5451843888919214E-02 a        69     0     3     1    19
 -3.0807044801644129E-01 a        70     0     3     1    20
 -1.2684121325366823E-01 a        71     0     3     1    21
 -7.1873978231984784E-02 a        72     0     3     1    22
  1.7860354614892046E-01 a        73     0     3     1    23
 -9.9992148766982231E-02 a        74     0     3     1    24
  9.7616642095166045E-02 a        75     0     3     1    25
  8.5632271758494513E-02 a        76     0     4     1     1
 -1.1452698985333348E-01 a        77     0     4     1     2
 -2.4273819510891383E-02 a        78     0     4     1     3
 -4.2147519228826993E-02 a        79     0     4     1     4
  2.4079197100371357E-02 a        80     0     4     1     5
 -1.4693788149786213E-01 a        81     0     4     1     6
  1.7027473422805600E-01 a        82     0     4     1     7
 -3.0768230887041038E-02 a        83     0     4     1     8
 -9.0490631849360306E-02 a        84     0     4     1     9
 -1.4084055424730015E-02 a        85     0     4     1    10
  1.4400206414467581E-01 a        86     0     4     1    11
  2.0735333265074471E-02 a        87     0     4     1    12
  8.3991079858492815E-02 a        88     0     4     1    13
  5.1057659430845961E-02 a        89     0     4     1    14
 -1.2178640556586620E-01 a        90     0     4     1    15
  2.5269947974906926E-01 a        91     0     4     1    16
 -1.4580087002359035E-01 a        92     0     4     1    17
  1.3857437040567358E-01 a        93     0     4     1    18
  7.7221243443968742E-03 a        94     0     4     1    19
 -1.4260940222044005E-01 a        95     0     4     1    20
 -1.1613683189034001E-01 a        96     0     4     1    21
  1.4252741074875516E-01 a        97     0     4     1    22
 -1.2731582873407057E-01 a        98     0     4     1    23
  1.4569833948122220E-02 a        99     0     4     1    24
 -2.7352475854533133E-02 a       100     0     4     1    25
  4.8458025682899336E-02 a       101     0     5     1     1
 -3.0093093187486458E-02 a       102     0     5     1     2
 -3.7157714484361073E-02 a       103     0     5     1     3
 -1.5222919045166362E-02 a       104     0     5     1     4
 -9.6894580085534213E-02 a       105     0     5     1     5
  1.0593320683432175E-01 a       106     0     5     1     6
 -6.3361728373279164E-02 a       107     0     5     1     7
 -1.5635700349677856E-01 a       108     0     5     1     8
 -1.4737598836226416E-02 a       109     0     5     1     9
  1.7506359490657689E-01 a       110     0     5     1    10
 -2.5828361753733368E-02 a       111     0     5     1    11
 -2.2623957072104550E-01 a       112     0     5     1    12
  6.1160592626959597E-03 a       113     0     5     1    13
  7.0732914870981795E-02 a       114     0     5     1    14
 -1.1935321729004801E-01 a       115     0     5     1    15
  9.2107941460935761E-03 a       116     0     5     1    16
 -1.8691906308063302E-02 a       117     0     5     1    17
  6.3831539554412522E-02 a       118     0     5     1    18
  1.1017874564772297E-02 a       119     0     5     1    19
 -7.1793172950535819E-02 a       120     0     5     1    20
  9.2516416855062442E-02 a       121     0     5     1    21
  1.2904397017410801E-01 a       122     0     5     1    22
  1.2166867225087562E-01 a       123     0     5     1    23
  1.3455288172921237E-01 a       124     0     5     1    24
  7.0389756423213615E-02 a       125     0     5     1    25
  6.2347651526467596E-02 a       126     0     6     1     1
 -1.6522246418819289E-02 a       127     0     6     1     2
 -2.7914715489677777E-02 a       128     0     6     1     3
 -1.0674124241109688E-01 a       129     0     6     1     4
 -2.1251540475601868E-01 a       130     0     6     1     5
 -1.7679340415447753E-01 a       131     0     6     1     6
  9.2272594677628036E-02 a       132     0     6     1     7
  1.1695268734356097E-01 a       133     0     6     1     8
  7.4261595421142149E-02 a       134     0     6     1     9
  5.1062099153778975E-02 a       135     0     6     1    10
 -6.0203044763338549E-03 a       136     0     6     1    11
  1.1635839306921600E-01 a       137     0     6     1    12
  5.4048573429276325E-02 a       138     0     6     1    13
 -3.8988922343244692E-02 a       139     0     6     1    14
  2.9739402261380530E-02 a       140     0     6     1    15
  2.5401667301496841E-02 a       141     0     6     1    16
  1.4555282440549655E-01 a       142     0     6     1    17
 -5.4497259116748631E-02 a       143     0     6     1    18
  8.4260674910087846E-02 a       144     0     6     1    19
 -3.4867753903719829E-02 a       145     0     6     1    20
  1.6233034001251562E-01 a       146     0     6     1    21
  6.3062452142729375E-02 a       147     0     6     1    22
 -1.1078796666217418E-01 a       148     0     6     1    23
 -5.6318025812841101E-02 a       149     0     6     1    24
 -1.8236255120432809E-01 a       150     0     6     1    25
  1.8926780953790329E-01 a       151     0     7     1     1
  9.2944246619718979E-02 a       152     0     7     1     2
  4.6629989397633534E-02 a       153     0     7     1     3
 -4.1902609360303031E-02 a       154     0     7     1     4
  9.9322361371338985E-02 a       155     0     7     1     5
 -2.8114924199271807E-01 a       156     0     7     1     6
  4.6796902830800957E-02 a       157     0     7     1     7
 -6.4740730856087225E-02 a       158     0     7     1     8
  2.7200900427263201E-02 a       159     0     7     1     9
 -1.9967463565013260E-01 a       160     0     7     1    10
 -1.3379369186219434E-01 a       161     0     7     1    11
  2.8527058718977655E-01 a       162     0     7     1    12
 -6.3146186680592825E-02 a       163     0     7     1    13
 -1.5100965738366864E-01 a       164     0     7     1    14
 -1.3881008358969932E-02 a       165     0     7     1    15
  9.1437378809020545E-02 a       166     0     7     1    16
 -1.4995834486839277E-01 a       167     0     7     1    17
 -8.1882468303298261E-02 a       168     0     7     1    18
  2.5577096060040671E-02 a       169     0     7     1    19
 -2.2808792397616857E-02 a       170     0     7     1    20
 -2.6063839143165030E-01 a       171     0     7     1    21
 -1.3269631170797418E-02 a       172     0     7     1    22
 -3.1094466151340962E-02 a       173     0     7     1    23
  1.6130601486287421E-01 a       174     0     7     1    24
  2.5785350238418930E-01 a       175     0     7     1    25
 -6.9939432098491169E-02 a       176     0     8     1     1
 -2.3305667509028663E-01 a       177     0     8     1     2
  1.4071598164652785E-01 a       178     0     8     1     3
  1.2499051759464478E-02 a       179     0     8     1     4
 -1.0644080584015168E-01 a       180     0     8     1     5
 -5.2401767910089450E-02 a       181     0     8     1     6
 -5.5894237826182025E-02 a       182     0     8     1     7
  3.0294998582485039E-02 a       183     0     8     1     8
 -3.9312743707217927E-02 a       184     0     8     1     9
 -4.1076770264320106E-02 a       185     0     8     1    10
  8.3743141763799350E-02 a       186     0     8     1    11
  2.5193118525160735E-01 a       187     0     8     1    12
 -4.6573250876189222E-02 a       188     0     8     1    13
 -2.7740085169768336E-01 a       189     0     8     1    14
 -6.4203911870426525E-02 a       190     0     8     1    15
 -6.7605117198537124E-02 a       191     0     8     1    16
 -1.4990891226759115E-01 a       192     0     8     1    17
 -8.7127005503729524E-02 a       193     0     8     1    18
  5.5423428681920101E-02 a       194     0     8     1    19
  6.5603647488826716E-02 a       195     0     8     1    20
 -1.9608130241016614E-01 a       196     0     8     1    21
 -4.6200342698717915E-02 a       197     0     8     1    22
 -2.1643464378086241E-01 a       198     0     8     1    23
  8.7036747221925278E-03 a       199     0     8     1    24
 -1.7766043855164346E-01 a       200     0     8     1    25
 -1.4269527027995926E-01 a       201     0     9     1     1
  4.9467711898495813E-03 a       202     0     9     1     2
  8.0265273322885466E-02 a       203     0     9     1     3
 -6.4543489728921155E-02 a       204     0     9     1     4
  8.2757199755190650E-02 a       205     0     9     1     5
 -4.7741979074513406E-02 a       206     0     9     1     6
  1.2038083497932486E-01 a       207     0     9     1     7
  1.6892172305138084E-01 a       208     0     9     1     8
  5.0112913471721178E-02 a       209     0     9     1     9
 -1.0016830716939211E-01 a       210     0     9     1    10
  2.8947217877898952E-02 a       211     0     9     1    11
  3.6463880380773250E-02 a       212     0     9     1    12
  5.8422791344330656E-02 a       213     0     9     1    13
 -8.5504368977956866E-02 a       214     0     9     1    14
 -3.3879411676055605E-02 a       215     0     9     1    15
 -2.4420315917714297E-01 a       216     0     9     1    16
 -1.1883361830072392E-01 a       217     0     9     1    17
 -2.6501309983724710E-02 a       218     0     9     1    18
 -9.5746959311866081E-02 a       219     0     9     1    19
 -8.2257135744728940E-02 a       220     0     9     1    20
  1.9776113553156144E-02 a       221     0     9     1    21
 -1.2762414718854995E-01 a       222     0     9     1    22
  1.2029556578974671E-01 a       223     0     9     1    23
 -3.1936509601481672E-02 a       224     0     9     1    24
  2.5870188268948630E-01 a       225     0     9     1    25
  2.4770939547733066E-02 a       226     0    10     1     1
  2.0430295021435979E-01 a       227     0    10     1     2
 -4.2115233990965631E-02 a       228     0    10     1     3
 -1.3777056232725837E-01 a       229     0    10     1     4
  1.5999732274583434E-01 a       230     0    10     1     5
  1.8789879421733077E-01 a       231     0    10     1     6
  1.4849551636773204E-02 a       232     0    10     1     7
  1.5992205350082628E-01 a       233     0    10     1     8
 -1.2741684660573183E-01 a       234     0    10     1     9
 -1.8986297190032764E-01 a       235     0    10     1    10
 -1.1328656903408064E-01 a       236     0    10     1    11
 -8.2546661916901923E-02 a       237     0    10     1    12
  3.4350820080256118E-03 a       238     0    10     1    13
  9.2493493939184560E-02 a       239     0    10     1    14
  1.0545244659806025E-01 a       240     0    10     1    15
 -3.8221076418949884E-01 a       241     0    10     1    16
