################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.3094051428051076E-03 a         1     0     1     1     1
  1.8620449429193586E-01 a         2     0     1     1     2
  2.2586205264206904E-01 a         3     0     1     1     3
 -1.7109242447566678E-02 a         4     0     1     1     4
 -5.9385199701116317E-02 a         5     0     1     1     5
  6.4716991861762663E-03 a         6     0     1     1     6
 -2.9763650017451188E-01 a         7     0     1     1     7
 -1.3573986330068724E-01 a         8     0     1     1     8
  1.2651560656463844E-02 a         9     0     1     1     9
  8.0276100948133464E-02 a        10     0     1     1    10
  2.2049929271620708E-01 a        11     0     1     1    11
  1.0752292497489094E-01 a        12     0     1     1    12
 -1.9899359610403378E-01 a        13     0     1     1    13
 -1.5692014941012097E-01 a        14     0     1     1    14
 -2.0828408554845418E-01 a        15     0     1     1    15
 -2.5248724741671665E-03 a        16     0     1     1    16
 -1.2029535083703197E-01 a        17     0     1     1    17
  5.5048345162478272E-02 a        18     0     1     1    18
  8.6209456821373570E-02 a        19     0     1     1    19
 -4.3000021175910806E-02 a        20     0     1     1    20
  2.9835209767191125E-02 a        21     0     1     1    21
  2.5894059833339123E-01 a        22     0     1     1    22
 -2.9642847627448631E-02 a        23     0     1     1    23
  7.9412834394897810E-02 a        24     0     1     1    24
  5.2539609251821294E-02 a        25     0     1     1    25
 -1.0331122209465252E-01 a        26     0     2     1     1
  1.5266086246467739E-01 a        27     0     2     1     2
  1.5546342168544319E-01 a        28     0     2     1     3
  3.5036753998530089E-02 a        29     0     2     1     4
 -3.1059741998250329E-01 a        30     0     2     1     5
 -7.1012555572682823E-02 a        31     0     2     1     6
  2.2204235567136954E-01 a        32     0     2     1     7
 -1.3318541801593328E-01 a        33     0     2     1     8
 -2.0151420626758698E-01 a        34     0     2     1     9
  1.2741048870720001E-01 a        35     0     2     1    10
 -2.7997267687363248E-03 a        36     0     2     1    11
  8.9628490700832758E-02 a        37     0     2     1    12
  2.8197440433274051E-01 a        38     0     2     1    13
  1.5144182870213360E-01 a        39     0     2     1    14
  3.3680874699697633E-02 a        40     0     2     1    15
 -1.4493969110790131E-01 a        41     0     2     1    16
 -1.7295484575762729E-01 a        42     0     2     1    17
  3.1550491033827260E-02 a        43     0     2     1    18
 -2.1460882526954567E-02 a        44     0     2     1    19
  1.0105465348475333E-02 a        45     0     2     1    20
  4.5597895595118190E-02 a        46     0     2     1    21
  1.2757452133795685E-01 a        47     0     2     1    22
  1.1338749698055758E-01 a        48     0     2     1    23
 -8.0918833934292084E-02 a        49     0     2     1    24
 -7.2617595871614909E-03 a        50     0     2     1    25
 -1.4164626068826243E-02 a        51     0     3     1     1
  6.3773469639275729E-02 a        52     0     3     1     2
 -2.4310590478815169E-01 a        53     0     3     1     3
 -5.2598136472858249E-02 a        54     0     3     1     4
 -1.2756475847823712E-01 a        55     0     3     1     5
 -1.4295909558181605E-01 a        56     0     3     1     6
 -3.0792939652318062E-02 a        57     0     3     1     7
 -1.9604144869936913E-01 a        58     0     3     1     8
  5.2517774158477110E-02 a        59     0     3     1     9
  7.6757739591751129E-03 a        60     0     3     1    10
 -6.8615199733665810E-02 a        61     0     3     1    11
 -1.6605542041462135E-01 a        62     0     3     1    12
  1.4038807669646305E-01 a        63     0     3     1    13
 -6.4461542833804120E-02 a        64     0     3     1    14
  1.1417635190371929E-01 a        65     0     3     1    15
 -9.7247394581925911E-02 a        66     0     3     1    16
 -3.0545468477504105E-02 a        67     0     3     1    17
  1.1092959020791647E-01 a        68     0     3     1    18
  1.3655401490057995E-01 a        69     0     3     1    19
 -6.6924723826706320E-02 a        70     0     3     1    20
 -9.3463482412333959E-02 a        71     0     3     1    21
  1.2635647250343451E-01 a        72     0     3     1    22
  6.3969464121109529E-02 a        73     0     3     1    23
  1.0724671162800210E-01 a        74     0     3     1    24
 -5.8701393470210798E-02 a        75     0     3     1    25
  2.2289054488036003E-01 a        76     0     4     1     1
  3.6950976796455072E-02 a        77     0     4     1     2
  1.1339982206741324E-01 a        78     0     4     1     3
 -1.6559335370003031E-01 a        79     0     4     1     4
 -1.0143627901776457E-01 a        80     0     4     1     5
 -1.3979868313739843E-01 a        81     0     4     1     6
 -8.2364981298728338E-02 a        82     0     4     1     7
 -4.0380207850391543E-02 a        83     0     4     1     8
 -5.2931110158549989E-02 a        84     0     4     1     9
  8.0010865007431702E-03 a        85     0     4     1    10
  6.6935121842184447E-02 a        86     0     4     1    11
 -1.3002411405073566E-01 a        87     0     4     1    12
 -1.9882119879726753E-01 a        88     0     4     1    13
  1.3204277034625064E-01 a        89     0     4     1    14
 -9.0085269307332669E-02 a        90     0     4     1    15
  3.0147614298837097E-02 a        91     0     4     1    16
 -3.6711206368507970E-02 a        92     0     4     1    17
  2.5398567042848173E-02 a        93     0     4     1    18
  8.8867693957556657E-02 a        94     0     4     1    19
  2.3497633149016102E-02 a        95     0     4     1    20
  3.4207479407451176E-02 a        96     0     4     1    21
  9.0657784757146267E-02 a        97     0     4     1    22
 -9.8174055409795596E-02 a        98     0     4     1    23
  9.8917624959422058E-03 a        99     0     4     1    24
 -1.8524525673991332E-02 a       100     0     4     1    25
