################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.0403875428152175E-01 a         1     0     1     1     1
  4.2035399020504960E-02 a         2     0     1     1     2
 -7.4755583338243614E-02 a         3     0     1     1     3
 -2.7318027173597513E-02 a         4     0     1     1     4
  4.3539403867004528E-02 a         5     0     1     1     5
  1.2185111320277237E-01 a         6     0     1     1     6
 -8.3123407809324007E-02 a         7     0     1     1     7
 -3.5942794588743159E-02 a         8     0     1     1     8
 -7.9158199731781134E-02 a         9     0     1     1     9
  7.1555197763306294E-02 a        10     0     1     1    10
  1.5505547656670553E-02 a        11     0     1     1    11
  3.1100998284094857E-02 a        12     0     1     1    12
 -8.9239445778348872E-02 a        13     0     1     1    13
 -8.5750772351049553E-02 a        14     0     1     1    14
 -1.3764465572295864E-01 a        15     0     1     1    15
  8.3806266625809533E-02 a        16     0     1     1    16
 -4.4345693789413339E-02 a        17     0     1     1    17
 -6.3031317976269069E-02 a        18     0     1     1    18
  5.1632341245921379E-02 a        19     0     1     1    19
  1.9590768196624014E-01 a        20     0     1     1    20
  1.8168055395042987E-02 a        21     0     1     1    21
 -7.8600180504151781E-02 a        22     0     1     1    22
 -1.4189258115485390E-01 a        23     0     1     1    23
 -1.1234211391147488E-01 a        24     0     1     1    24
 -5.2034503325321606E-02 a        25     0     1     1    25
 -1.0907744752569259E-01 a        26     0     2     1     1
  6.8341826160634930E-02 a        27     0     2     1     2
 -1.2436160395797879E-01 a        28     0     2     1     3
  3.8482437935764856E-02 a        29     0     2     1     4
 -3.1642569099026296E-02 a        30     0     2     1     5
 -1.5717518915164891E-01 a        31     0     2     1     6
 -1.8445852070899274E-01 a        32     0     2     1     7
  3.2403273519585524E-01 a        33     0     2     1     8
 -5.7124359674487323E-03 a        34     0     2     1     9
  1.2391191615971286E-01 a        35     0     2     1    10
  1.4673459596318914E-01 a        36     0     2     1    11
 -1.9442499529382613E-02 a        37     0     2     1    12
 -8.3454785719260974E-02 a        38     0     2     1    13
  8.2312356421683011E-02 a        39     0     2     1    14
  1.5544557964938831E-02 a        40     0     2     1    15
  3.4104738347089186E-02 a        41     0     2     1    16
 -2.5985257385819412E-02 a        42     0     2     1    17
  3.7882584216382929E-02 a        43     0     2     1    18
  6.4535074007044210E-02 a        44     0     2     1    19
 -3.1379210398543099E-02 a        45     0     2     1    20
 -8.7959677124792510E-03 a        46     0     2     1    21
  1.1826817890913977E-01 a        47     0     2     1    22
 -1.0456925048333392E-01 a        48     0     2     1    23
  2.5369258389153191E-02 a        49     0     2     1    24
 -1.3851979594036892E-01 a        50     0     2     1    25
  1.7558541833720939E-01 a        51     0     3     1     1
  1.0238550544803646E-01 a        52     0     3     1     2
 -4.1776267438522044E-02 a        53     0     3     1     3
  1.2328149331049088E-01 a        54     0     3     1     4
 -1.1176702875295545E-01 a        55     0     3     1     5
  3.2800743745815951E-02 a        56     0     3     1     6
  1.3534115919839071E-01 a        57     0     3     1     7
 -1.0915308600459518E-01 a        58     0     3     1     8
  1.4596260576056778E-02 a        59     0     3     1     9
 -6.2044439691637095E-02 a        60     0     3     1    10
  5.8663223452043119E-02 a        61     0     3     1    11
  7.9515746225003126E-02 a        62     0     3     1    12
  1.3035899362872128E-01 a        63     0     3     1    13
 -2.0198239935570374E-02 a        64     0     3     1    14
 -6.7767745848734739E-02 a        65     0     3     1    15
 -1.7603619918047461E-01 a        66     0     3     1    16
 -3.7974994285582958E-02 a        67     0     3     1    17
  1.8287247698290274E-01 a        68     0     3     1    18
  2.2258985981182443E-02 a        69     0     3     1    19
  2.6154122826591031E-01 a        70     0     3     1    20
  8.7100396163980659E-02 a        71     0     3     1    21
