################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.8472026997534183E-01 a         1     0     1     1     1
  1.8430634554383529E-01 a         2     0     1     1     2
 -3.0007100692987182E-01 a         3     0     1     1     3
 -1.3205927167455198E-01 a         4     0     1     1     4
 -9.0481741929647863E-02 a         5     0     1     1     5
 -8.3580073069836891E-02 a         6     0     1     1     6
 -7.3500141357849533E-02 a         7     0     1     1     7
 -3.1111617996181312E-01 a         8     0     1     1     8
 -6.6209307273435852E-02 a         9     0     1     1     9
 -8.9062647593096150E-02 a        10     0     1     1    10
  3.6756474913285761E-03 a        11     0     1     1    11
  4.6597092605623537E-02 a        12     0     1     1    12
  1.6086076420188855E-01 a        13     0     1     1    13
  2.1185132682732746E-01 a        14     0     1     1    14
 -4.1797634853641637E-02 a        15     0     1     1    15
 -3.8799659905322824E-02 a        16     0     1     1    16
 -2.5005205556157423E-01 a        17     0     1     1    17
 -3.5087800081077779E-02 a        18     0     1     1    18
  5.1426276829030275E-02 a        19     0     1     1    19
 -3.9411438032184920E-01 a        20     0     1     1    20
  1.7313295992403330E-01 a        21     0     1     1    21
  3.9334154552664063E-01 a        22     0     1     1    22
  7.0346543994179125E-02 a        23     0     1     1    23
  2.7461585109157483E-01 a        24     0     1     1    24
 -1.0218297401538348E-01 a        25     0     1     1    25
  9.3407515737007771E-02 a        26     0     2     1     1
  1.0756609459251193E-01 a        27     0     2     1     2
 -1.0137157006715292E-01 a        28     0     2     1     3
 -1.9339485051378080E-01 a        29     0     2     1     4
 -1.9848159575870589E-01 a        30     0     2     1     5
 -2.4328088608138590E-01 a        31     0     2     1     6
  1.3385532505308936E-01 a        32     0     2     1     7
 -6.6777403572416700E-03 a        33     0     2     1     8
 -1.1934989439418008E-01 a        34     0     2     1     9
  7.4190189409504503E-02 a        35     0     2     1    10
  8.8863158433673244E-03 a        36     0     2     1    11
  4.7137904167448036E-02 a        37     0     2     1    12
  1.6943200666703070E-01 a        38     0     2     1    13
  2.1741538911410488E-01 a        39     0     2     1    14
  2.1068786091600294E-01 a        40     0     2     1    15
 -1.3756666429514150E-01 a        41     0     2     1    16
 -5.1857135789329205E-02 a        42     0     2     1    17
  3.0224497590395898E-02 a        43     0     2     1    18
  9.6128017709527599E-02 a        44     0     2     1    19
 -9.8622968894620661E-03 a        45     0     2     1    20
  2.1385670307625401E-01 a        46     0     2     1    21
  2.8941466948164363E-01 a        47     0     2     1    22
 -8.6863404709146608E-02 a        48     0     2     1    23
 -8.2255430728261414E-02 a        49     0     2     1    24
 -4.4221367430715260E-02 a        50     0     2     1    25
  1.3886683800634684E-02 a        51     0     3     1     1
 -1.3738843738790191E-01 a        52     0     3     1     2
 -3.1211442725538836E-02 a        53     0     3     1     3
 -6.2686004642093701E-02 a        54     0     3     1     4
 -6.3870634033573431E-02 a        55     0     3     1     5
 -2.6817807417433170E-01 a        56     0     3     1     6
 -3.9033561811655342E-02 a        57     0     3     1     7
 -6.6578091967864558E-02 a        58     0     3     1     8
 -4.7955279846667496E-02 a        59     0     3     1     9
 -2.4367148554210644E-01 a        60     0     3     1    10
  2.0738430246285876E-02 a        61     0     3     1    11
  5.6137668867717351E-02 a        62     0     3     1    12
 -1.9340681733067805E-01 a        63     0     3     1    13
 -2.5946846919755233E-02 a        64     0     3     1    14
  1.7795059077307673E-01 a        65     0     3     1    15
 -1.0216224133894332E-01 a        66     0     3     1    16
  5.0887141699601880E-02 a        67     0     3     1    17
  5.0892298122011292E-02 a        68     0     3     1    18
  1.2305033178589993E-01 a        69     0     3     1    19
  1.4165273411612892E-02 a        70     0     3     1    20
 -8.8714372365169859E-03 a        71     0     3     1    21
 -1.4832686338886281E-01 a        72     0     3     1    22
 -1.0279787454008318E-01 a        73     0     3     1    23
  1.8305691917114325E-01 a        74     0     3     1    24
 -3.4983651713392427E-01 a        75     0     3     1    25
  8.2520739113757319E-02 a        76     0     4     1     1
  5.3981719829812496E-03 a        77     0     4     1     2
  5.9409254996965713E-02 a        78     0     4     1     3
 -1.3430275415016923E-01 a        79     0     4     1     4
 -1.9220959916742678E-01 a        80     0     4     1     5
 -3.0213138370597076E-01 a        81     0     4     1     6
 -1.2102554935489249E-01 a        82     0     4     1     7
 -1.4098103963070363E-01 a        83     0     4     1     8
 -1.8811718494950839E-02 a        84     0     4     1     9
 -1.7115936103021079E-01 a        85     0     4     1    10
  2.1870408384680466E-03 a        86     0     4     1    11
 -3.8988013495087750E-02 a        87     0     4     1    12
 -2.7841265954316258E-01 a        88     0     4     1    13
  1.7409229770489248E-01 a        89     0     4     1    14
 -4.8405696595331234E-02 a        90     0     4     1    15
  5.8980450662475030E-02 a        91     0     4     1    16
  1.6197035315389352E-01 a        92     0     4     1    17
 -6.4477779312312453E-02 a        93     0     4     1    18
  2.3958412920320574E-01 a        94     0     4     1    19
 -1.2911194972173677E-02 a        95     0     4     1    20
 -1.0546065999212724E-01 a        96     0     4     1    21
  3.8599666611490319E-01 a        97     0     4     1    22
 -1.7061433304485082E-01 a        98     0     4     1    23
  1.5173015834909528E-01 a        99     0     4     1    24
 -1.4142654294735696E-01 a       100     0     4     1    25
 -1.7223158479696024E-01 a       101     0     5     1     1
  2.1162650899507290E-02 a       102     0     5     1     2
 -5.3582831302181895E-02 a       103     0     5     1     3
  2.5093845275815822E-02 a       104     0     5     1     4
 -4.0808757104763276E-02 a       105     0     5     1     5
 -1.6084272049474438E-01 a       106     0     5     1     6
  2.0931248763557606E-01 a       107     0     5     1     7
  2.1958291293630203E-01 a       108     0     5     1     8
  6.6747317981421014E-02 a       109     0     5     1     9
  2.5302107349697367E-01 a       110     0     5     1    10
 -1.6830815441598856E-01 a       111     0     5     1    11
  1.0262038613447079E-01 a       112     0     5     1    12
  3.4154214217349030E-02 a       113     0     5     1    13
  3.1214530178967727E-02 a       114     0     5     1    14
 -1.4229766178587031E-01 a       115     0     5     1    15
  7.9285213035536067E-02 a       116     0     5     1    16
  2.0290487815722549E-01 a       117     0     5     1    17
  1.9916450809466003E-03 a       118     0     5     1    18
 -2.5667653612436120E-01 a       119     0     5     1    19
  1.5546859427105050E-01 a       120     0     5     1    20
  8.6225381552969604E-02 a       121     0     5     1    21
  5.4803786356675051E-02 a       122     0     5     1    22
  3.5834093096075964E-02 a       123     0     5     1    23
  1.8221309187393089E-02 a       124     0     5     1    24
  1.8851426825849407E-01 a       125     0     5     1    25
 -2.3491410344397531E-01 a       126     0     6     1     1
  8.9211950235753665E-02 a       127     0     6     1     2
  6.8410380913063770E-02 a       128     0     6     1     3
  1.7718022084934185E-01 a       129     0     6     1     4
  3.8283952898069920E-02 a       130     0     6     1     5
  9.4326271402227144E-02 a       131     0     6     1     6
  1.0989065858596345E-01 a       132     0     6     1     7
  3.0806568131099182E-01 a       133     0     6     1     8
  5.7520813921440282E-02 a       134     0     6     1     9
  1.7664033446037947E-01 a       135     0     6     1    10
  1.4053671651926600E-01 a       136     0     6     1    11
