id,spacegroup,density,energy,PBE_lattice_energy_kjmol,rel_energy,rel_PBE_energy,diff,rel_diff
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-2412,1,1.9172,-92.7755,-98.86077673,1.9802,-0.755002355,-6.085276735,-2.735202355
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-2437,1,1.9151,-92.6799,-97.64306027,2.0758,0.462714107,-4.963160273,-1.613085893
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-2498,1,1.8795,-92.911,-100.9500652,1.8447,-2.844290862,-8.039065241,-4.688990862
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-2510,1,1.9419,-92.3832,-95.02344654,2.3725,3.082327835,-2.640246545,0.709827835
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-2533,1,1.9287,-92.3166,-98.68582668,2.4391,-0.580052301,-6.369226681,-3.019152301
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-2565,1,1.9296,-93.2704,-99.18003263,1.4853,-1.074258248,-5.909632627,-2.559558248
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-2816,1,1.8823,-92.2681,-99.18160196,2.4876,-1.075827581,-6.91350196,-3.563427581
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-2872,1,1.8453,-92.1962,-94.19114402,2.5595,3.914630359,-1.99494402,1.355130359
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-2960,1,1.9255,-92.8913,-99.35761577,1.8644,-1.251841386,-6.466315765,-3.116241386
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3021,1,1.9987,-91.9915,-97.07885424,2.7642,1.026920144,-5.087354236,-1.737279856
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3050,1,1.9618,-91.9527,-97.8538633,2.803,0.251911077,-5.901163302,-2.551088923
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3178,1,1.9814,-91.9698,-98.39051844,2.7859,-0.284744063,-6.420718442,-3.070644063
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3239,1,1.967,-92.4966,-97.91530466,2.2591,0.190469716,-5.418704663,-2.068630284
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3240,1,1.967,-92.7027,-98.77571432,2.053,-0.669939944,-6.073014323,-2.722939944
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3280,1,1.9342,-91.7803,-98.12829743,2.9754,-0.022523048,-6.347997427,-2.997923048
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3374,1,1.8603,-92.4994,-99.98017226,2.2563,-1.874397877,-7.480772256,-4.130697877
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3376,1,1.852,-92.002,-100.7138321,2.7537,-2.608057683,-8.711832062,-5.361757683
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3488,1,1.852,-91.7579,-99.52632081,2.9978,-1.420546428,-7.768420808,-4.418346428
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3498,1,1.852,-92.3523,-100.42615,2.4034,-2.320375642,-8.073850022,-4.723775642
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3516,1,1.8852,-92.1102,-99.16546238,2.6455,-1.059688001,-7.055262381,-3.705188001
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3546,1,1.8224,-91.2853,-98.02895712,3.4704,0.07681726,-6.743657119,-3.39358274
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3591,1,1.838,-91.4443,-95.25311728,3.3114,2.852657103,-3.808817276,-0.458742897
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3605,1,1.8253,-91.7536,-96.35944,3.0021,1.746334376,-4.605840003,-1.255765624
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3625,1,1.8316,-92.1686,-98.83097869,2.5871,-0.725204316,-6.662378695,-3.312304316
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3654,1,1.8322,-91.5532,-96.46497853,3.2025,1.640795852,-4.911778527,-1.561704148
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3886,1,1.8879,-91.229,-95.73639723,3.5267,2.369377153,-4.507397226,-1.157322847
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3940,1,1.8699,-92.0367,-99.44502711,2.719,-1.339252733,-7.408327112,-4.058252733
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-3954,1,1.8435,-91.4226,-95.59525514,3.3331,2.510519238,-4.172655141,-0.822580762
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4004,1,1.8542,-91.4392,-95.10118958,3.3165,3.004584798,-3.661989581,-0.311915202
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4016,1,1.855,-90.7444,-95.94136724,4.0113,2.164407143,-5.196967236,-1.846892857
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4143,1,1.8446,-92.052,-95.16992571,2.7037,2.935848665,-3.117925714,0.232148665
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4151,1,1.8327,-91.5982,-94.55171926,3.1575,3.554055116,-2.953519263,0.396555116
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4176,1,1.8205,-91.6521,-99.18259528,3.1036,-1.076820897,-7.530495277,-4.180420897
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4198,1,1.8309,-91.9846,-97.29103218,2.7711,0.814742198,-5.306432181,-1.956357802
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4290,1,1.9631,-90.9529,-92.22008523,3.8028,5.885689147,-1.267185232,2.082889147
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4317,1,1.8725,-91.7389,-98.1553548,3.0168,-0.049580423,-6.416454802,-3.066380423
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4331,1,1.9102,-91.5324,-101.1520944,3.2233,-3.04632,-9.61969438,-6.26962
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4386,1,1.7985,-91.353,-97.84368796,3.4027,0.262086418,-6.490687962,-3.140613582
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4399,1,1.8041,-91.6153,-97.23138786,3.1404,0.874386521,-5.616087858,-2.266013479
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4432,1,1.8915,-90.8735,-94.00898314,3.8822,4.096791243,-3.135483137,0.214591243
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4480,1,1.8169,-91.0523,-100.802572,3.7034,-2.696797632,-9.750272011,-6.400197632
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4527,1,1.8738,-90.3451,-96.48365422,4.4106,1.622120156,-6.138554224,-2.788479844
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4544,1,1.9113,-90.4557,-96.53139419,4.3,1.57438019,-6.075694189,-2.72561981
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4570,1,1.8794,-90.5277,-100.761134,4.228,-2.655359605,-10.23343398,-6.883359605
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4643,1,1.89,-90.5822,-97.02386871,4.1735,1.081905673,-6.441668706,-3.091594327
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4690,1,1.9092,-90.3217,-93.45666747,4.434,4.649106913,-3.134967467,0.215106913
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4722,1,1.907,-90.4378,-90.67357627,4.3179,7.432198109,-0.23577627,3.114298109
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4733,1,1.8855,-90.5439,-91.67958226,4.2118,6.426192121,-1.135682259,2.214392121
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4753,1,1.8849,-91.8674,-93.69251471,2.8883,4.413259674,-1.825114705,1.524959674
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4760,1,1.8895,-90.8176,-95.46567055,3.9381,2.64010383,-4.648070549,-1.29799617
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4802,1,1.8509,-92.1923,-100.0032057,2.5634,-1.897431332,-7.810905711,-4.460831332
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4814,1,1.7905,-90.4417,-98.65685407,4.314,-0.551079693,-8.215154072,-4.865079693
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4870,1,1.8298,-90.6977,-94.95089635,4.058,3.154878032,-4.253196347,-0.903121968
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4871,1,1.797,-90.667,-96.63765876,4.0887,1.468115615,-5.970658765,-2.620584385
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4887,1,1.7949,-90.714,-94.79194211,4.0417,3.313832269,-4.07794211,-0.727867731
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-4996,1,1.833,-90.2709,-98.66558937,4.4848,-0.559814991,-8.39468937,-5.044614991
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5075,1,1.8615,-90.2869,-95.66091725,4.4688,2.444857127,-5.374017252,-2.023942873
