################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.5302066121787494E+00 a         1     0     1     1     1
 -3.5537567174075407E-01 a         2     0     1     1     2
 -9.3474040838678463E-01 a         3     0     1     1     3
 -1.2785057095169383E+00 a         4     0     1     1     4
  5.7934943592481847E-01 a         5     0     1     1     5
  1.7955603191774470E+00 a         6     0     1     1     6
 -3.3289612509258464E+00 a         7     0     1     1     7
  3.0960126498420886E+00 a         8     0     1     1     8
 -5.5788367233809399E-01 a         9     0     1     1     9
 -3.1192549808693024E+00 a        10     0     1     1    10
 -1.3718235859764185E+00 a        11     0     1     1    11
  1.9633476018037153E+00 a        12     0     1     1    12
 -3.4102433591907451E+00 a        13     0     1     1    13
 -2.7257293092202470E+00 a        14     0     1     1    14
 -3.5849968553389369E+00 a        15     0     1     1    15
 -3.4323242774698359E+00 a        16     0     1     1    16
 -1.2302186882941244E+00 a        17     0     1     1    17
 -2.6542043020033952E+00 a        18     0     1     1    18
  1.4602311313340273E+00 a        19     0     1     1    19
  3.6868128379176640E-01 a        20     0     1     1    20
 -7.2769461361610621E-01 a        21     0     1     1    21
  1.1913583833013877E+00 a        22     0     1     1    22
 -1.1035626611194056E+00 a        23     0     1     1    23
 -2.5258678265099856E+00 a        24     0     1     1    24
 -2.4894488222573532E+00 a        25     0     1     1    25
  4.1649064661718453E+00 a        26     0     2     1     1
  1.3391736030695149E+00 a        27     0     2     1     2
 -3.4710482574947549E-01 a        28     0     2     1     3
  3.9939974300595869E+00 a        29     0     2     1     4
  1.0147323193941558E+00 a        30     0     2     1     5
 -3.2416732379920372E+00 a        31     0     2     1     6
  4.9322299954240839E-01 a        32     0     2     1     7
 -2.3584357007517170E-01 a        33     0     2     1     8
  2.9043252355651230E+00 a        34     0     2     1     9
  1.6791632404126076E+00 a        35     0     2     1    10
  2.9364336312061967E+00 a        36     0     2     1    11
  4.1115519637461215E+00 a        37     0     2     1    12
  3.1208427726180359E+00 a        38     0     2     1    13
 -4.6908607452828360E-01 a        39     0     2     1    14
  1.2907771504094894E+00 a        40     0     2     1    15
  1.2715578859204762E-01 a        41     0     2     1    16
  5.8734145348502997E-01 a        42     0     2     1    17
 -1.8304393454090619E+00 a        43     0     2     1    18
 -2.4108870704983900E+00 a        44     0     2     1    19
 -4.0976477815731762E+00 a        45     0     2     1    20
  7.9835398892422049E-01 a        46     0     2     1    21
 -2.5574924382059296E+00 a        47     0     2     1    22
  1.8007381991296643E+00 a        48     0     2     1    23
 -1.9971495371870782E+00 a        49     0     2     1    24
 -2.5784631412151580E+00 a        50     0     2     1    25
  1.1468107409260573E+00 a        51     0     3     1     1
 -7.7362039227520789E+00 a        52     0     3     1     2
 -7.3369409789802944E+00 a        53     0     3     1     3
 -3.4798004555590052E+00 a        54     0     3     1     4
 -2.3299752647502974E+00 a        55     0     3     1     5
 -1.9129671534229857E+00 a        56     0     3     1     6
  5.0951759509738919E+00 a        57     0     3     1     7
 -5.4049883695576755E+00 a        58     0     3     1     8
  4.0238597736376458E-01 a        59     0     3     1     9
  4.0003927475175942E+00 a        60     0     3     1    10
 -8.5962568677796181E-01 a        61     0     3     1    11
 -2.3190393984851738E+00 a        62     0     3     1    12
  4.3195564149317471E+00 a        63     0     3     1    13
  6.4493046512280756E+00 a        64     0     3     1    14
  3.1249513826302397E+00 a        65     0     3     1    15
 -5.0021346514465623E+00 a        66     0     3     1    16
 -1.2521816796942553E+00 a        67     0     3     1    17
 -2.3434119272662275E+00 a        68     0     3     1    18
  6.5712583317652018E-01 a        69     0     3     1    19
  7.2813358027338735E+00 a        70     0     3     1    20
 -3.2570909734400280E+00 a        71     0     3     1    21
 -4.6268319682190695E+00 a        72     0     3     1    22
  4.0525204567356052E+00 a        73     0     3     1    23
  2.2378278110945375E+00 a        74     0     3     1    24
 -1.2036805361061736E+01 a        75     0     3     1    25
  1.7388954318810579E+00 a        76     0     4     1     1
 -5.1438017519796189E+00 a        77     0     4     1     2
 -6.1299370085110461E+00 a        78     0     4     1     3
  1.1860429082184598E+00 a        79     0     4     1     4
 -6.8501992409125925E-02 a        80     0     4     1     5
  9.1500138274928056E-01 a        81     0     4     1     6
  4.1338578650300217E+00 a        82     0     4     1     7
 -6.7719203067945335E+00 a        83     0     4     1     8
  1.7256658845672408E+00 a        84     0     4     1     9
  3.0501176547023148E+00 a        85     0     4     1    10
 -8.4226723613132526E-01 a        86     0     4     1    11
 -2.2089072925173201E+00 a        87     0     4     1    12
  1.7241491288213437E+00 a        88     0     4     1    13
  3.9711540872974553E+00 a        89     0     4     1    14
 -1.2424369687162069E-01 a        90     0     4     1    15
 -2.0578457280300779E+00 a        91     0     4     1    16
 -4.9911976308293238E-01 a        92     0     4     1    17
  2.4818307406830113E+00 a        93     0     4     1    18
