################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   2.3465009709913689E+00   7.8801587249826195E+00   4.7172902826202323E+00   9.2112023718468572E-01
         1          2   4.6655240201244137E+00   1.3761437922320990E+01   8.1315084738587711E+00   1.5690027978404435E+00
         1          3   5.5824666023198857E+00   1.4204051694778599E+01   1.0039234177493121E+01   1.5234603195125982E+00
         1          4   6.7569533903089676E+00   7.0488384990208832E+00   6.9402720466162391E+00   1.4013002849287078E-02
         1          5   1.9923537267652780E-16   2.4606284923601915E-15   8.8408539497190262E-16   1.1125946879278437E-16
         1          6   3.1477315777500131E+01   5.3036477878542676E+01   4.3751830030461640E+01   4.2303294879594056E+00
         1          7   1.0029035043689230E+01   2.5922493743317133E+01   1.9667755719298327E+01   2.9131078564786166E+00
         1          8   1.6565346370407639E+01   4.6568095589020949E+01   3.4362115218794834E+01   5.7910638542784012E+00
         1          9   5.1553278309021318E+00   1.2585094388128573E+01   9.4982299090998659E+00   1.6457001032058247E+00
         1         10   2.0324841916359681E+01   5.3071533976476019E+01   4.2267314479190901E+01   5.7462462623865571E+00
         1         11   3.8194413612755213E+01   9.1434526164410798E+01   7.3186096516747497E+01   9.9005044018593704E+00
         1         12   4.3599702648939136E+01   1.0907154193141503E+02   8.4112781510308409E+01   1.2089830043938992E+01
         1         13   3.4519246782477602E+01   9.0595520220390952E+01   6.7786567361467746E+01   1.1918206525001573E+01
         1         14   8.0670563076199944E+00   2.1003216541265950E+01   1.5306743376266645E+01   1.8053639293723047E+00
         1         15   2.7693980096466362E+00   7.0359349035641188E+00   4.3337445123446958E+00   1.1210414442551639E+00
         1         16   3.3581561511163707E+00   3.7916844640305345E+00   3.5022442084347949E+00   4.1113385476860172E-02
         1         17   7.6927883861779236E+00   7.8340962378319539E+00   7.7641266496288681E+00   6.5774798094190888E-03
         1         18   7.8931942952792538E+00   1.7622528529454659E+01   1.2445413973597841E+01   1.5243304758732270E+00
         1         19   3.6782423401000550E+01   4.9245080019871907E+01   4.1083529831329017E+01   2.1131782715912188E+00
         1         20   1.2265928179566770E-02   5.8314519725445138E+00   2.5191649600443813E+00   1.5290231162198513E+00
         1         21   1.3708279500034957E+01   1.9253441446464894E+01   1.5892469774422917E+01   1.0091843599805268E+00
         1         22   6.2470991650508199E-05   5.6698872146828183E+00   1.9806230699238274E+00   1.7126301919599072E+00
         1         23   5.7533809439569739E+00   9.3339054786851268E+00   7.3498791927733569E+00   6.5650690952125679E-01
         1         24   3.4896939850339783E+00   6.5026425548762665E+00   4.8868828143439567E+00   5.0075929023449739E-01
         1         25   1.7940652054459786E+01   2.1773126634580802E+01   1.9188072747554465E+01   6.2982589126199229E-01
         1         26   1.2701797030728470E+00   1.6693371125040002E+00   1.4399309246293051E+00   8.6136140815309847E-02
         1         27   6.7290798612086145E-01   8.8727758317402328E-01   7.6309484991124976E-01   4.1369589925771312E-02
         1         28   3.8752277483509401E+00   4.2945120942150155E+00   3.9987472721733739E+00   4.7343923618359540E-02
         1         29   1.3871880830742056E+00   1.5792159707973144E+00   1.4578520103635579E+00   2.8134377163999538E-02
         1         30   1.3378816190396272E-08   1.7185679323338043E-02   3.9024757655173655E-03   4.2318139754063495E-03
         1         31   7.8864693360369075E-05   5.8535183472810577E-04   1.9892026277626993E-04   1.0217482275063440E-04
         1         32   1.5088754583005615E-02   1.7363430916204639E-02   1.6318424457007721E-02   1.4206982342378197E-04
         1         33   3.4076948307689747E-06   5.5133104694441425E-06   3.7937140971112955E-06   3.6809788102778211E-07
         1         34   1.3322260907135331E-11   4.2065068849098518E-10   5.1434423218728382E-11   5.7213012570176426E-11
         1         35   1.8321163790828896E-21   7.6108966154127217E-16   3.6187525541636703E-17   7.9714836537499491E-17
         1         36   2.8369298308801016E-26   1.1301614954384659E-24   5.5926599983472818E-26   8.5915190207233046E-26
         1         37   1.3229473195516449E-33   1.5080299118325900E-33   1.4279590371284009E-33   1.5144368894096842E-35
         1         38   6.6507059261005281E+02   2.2189485330665902E+03   1.5028685732272243E+03   3.2021163647473327E+02
         1         39   1.7311067014785806E+03   5.3157453735892796E+03   3.6390173950603930E+03   7.5144373923613443E+02
         1         40   1.3697286700222486E+02   4.8488713904687791E+02   3.5596464928460011E+02   6.1596834785791820E+01
         1         41   7.8822808949496903E+02   1.8697171862292805E+03   1.3556505523746480E+03   2.2458626798542855E+02
         1         42   1.5198066972215150E+01   1.5904167699140996E+02   9.7013721344339785E+01   3.0602484041023807E+01
         1         43   5.0871601761539466E+02   1.0753264432929539E+03   8.0786479590487454E+02   1.1418005176860784E+02
         1         44   3.0784933831013173E+01   1.9168032179397483E+02   1.3592536747233979E+02   2.6291547802819952E+01
         1         45   5.7790960213072935E+01   2.3729397973973940E+02   1.7798145834884315E+02   2.9689202671246594E+01
         1         46   5.1419827719860471E+00   9.3734706197257211E+01   5.4649366230758062E+01   2.1115220176596736E+01
         1         47   1.5250139350481626E+02   2.7631171456898454E+02   2.2014149472966736E+02   2.4820123811417727E+01
         1         48   9.0509188001264391E+01   2.4928421991777995E+02   1.6878769687347031E+02   2.9980328583229682E+01
         1         49   1.6217328594498184E+02   3.1743227695825470E+02   2.4120673737003847E+02   3.0405208025402768E+01
         1         50   2.0605528997663440E+00   4.5714567504907862E+01   2.9401871903417092E+01   9.0084016823494846E+00
         1         51   1.0194495170246174E+02   2.0200210796610287E+02   1.5024541214768556E+02   1.7292567919206363E+01
