################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   2.1181986172671938E+00   7.1583831471780233E+00   4.7362492859913283E+00   9.5352120774066651E-01
         1          2   4.5365544569102694E+00   1.3761437922321003E+01   8.1702779500070406E+00   1.5347080282238996E+00
         1          3   5.5824666023198883E+00   1.4171339906377671E+01   1.0073642481346900E+01   1.5701667218884348E+00
         1          4   6.8954414136855293E+00   7.0488384990208797E+00   6.9407691087096319E+00   9.1490372566316105E-03
         1          5   5.9637859076843522E-16   2.4606284923600862E-15   8.8610363191408084E-16   1.1604368414084070E-16
         1          6   3.1477315777500131E+01   5.3036477878542669E+01   4.4003463402756026E+01   4.3313391418624567E+00
         1          7   1.0029035043689223E+01   2.5831012981196437E+01   1.9841042389150761E+01   2.9195713341458078E+00
         1          8   1.6565346370407635E+01   4.6568095589020935E+01   3.4775651031624939E+01   6.1066242262391111E+00
         1          9   5.1558805853546268E+00   1.2585094388128585E+01   9.4623020953208208E+00   1.6479325918127690E+00
         1         10   2.0324841916359695E+01   5.2908266764805468E+01   4.2514224219193082E+01   6.0953365888228781E+00
         1         11   3.8194413612755199E+01   9.1195693458283401E+01   7.3684038452539326E+01   1.0179154584800690E+01
         1         12   4.3599702648939150E+01   1.0907513121525058E+02   8.4865136205298114E+01   1.2219745207143280E+01
         1         13   3.4519246782477623E+01   9.1160004255447419E+01   6.8661249142539347E+01   1.2825274251046617E+01
         1         14   8.0670563076199837E+00   2.1003216541265928E+01   1.5302372671020786E+01   1.8198694445707120E+00
         1         15   2.7697702610481221E+00   7.0359349035641285E+00   4.3140386318297246E+00   1.1410120310174239E+00
         1         16   3.3581561511163751E+00   3.6704450085005074E+00   3.5019009602723221E+00   4.0004985165832084E-02
         1         17   7.6927883861779272E+00   7.7862291060039350E+00   7.7639491995410266E+00   5.6371955470007557E-03
         1         18   7.8931942952792520E+00   1.7622528529454691E+01   1.2440036934069619E+01   1.5064552665389674E+00
         1         19   3.6619420657927272E+01   4.9245080019871928E+01   4.1086278294483641E+01   2.0830622626903641E+00
         1         20   1.2265928179566881E-02   5.8314519725445200E+00   2.4825322526054956E+00   1.5441133902380439E+00
         1         21   1.3527154636341113E+01   1.9253441446464905E+01   1.5893532785812400E+01   9.9158462149678728E-01
         1         22   6.2470991650509310E-05   5.6698872146828183E+00   1.9317813814342384E+00   1.7362677148088264E+00
         1         23   5.6600660910337615E+00   9.3339054786851463E+00   7.3490191162965894E+00   6.4722480162789253E-01
         1         24   3.4896939850339752E+00   6.5026425548762834E+00   4.8849671288413852E+00   4.9979874910039990E-01
         1         25   1.7889390348030151E+01   2.1773126634580862E+01   1.9187921065239102E+01   6.3175783444501410E-01
         1         26   1.2705132582987528E+00   1.6693371125040044E+00   1.4398799424003423E+00   8.7136817520554924E-02
         1         27   6.7158900100096497E-01   8.8727758317402505E-01   7.6299066346170574E-01   4.2078584277329328E-02
         1         28   3.7632786429287437E+00   4.2945120942150377E+00   3.9982492121754434E+00   4.9965098106247927E-02
         1         29   1.3871880830742089E+00   1.5742437790267265E+00   1.4577367971482140E+00   2.8607186842380131E-02
         1         30   1.3378816190396376E-08   1.7185679323338057E-02   3.8517397998516882E-03   4.3808317456985255E-03
         1         31   7.8820950902411724E-05   5.8535183472810588E-04   1.9963671192899563E-04   1.0658228220368169E-04
         1         32   1.4779258791985914E-02   1.7363430916204677E-02   1.6314501049006704E-02   1.6792007738431893E-04
         1         33   3.4076948307689620E-06   5.5133104694441383E-06   3.7991822358959559E-06   3.8846309593596561E-07
         1         34   1.3414720858047369E-11   4.2065068849098156E-10   5.3223691641183982E-11   6.2745066592133285E-11
         1         35   1.8505719138215621E-21   7.6108966154125402E-16   3.9903454250313452E-17   9.3666076751479807E-17
         1         36   2.8369298308800901E-26   1.1301614954384409E-24   6.1089987386549983E-26   1.0765066972339549E-25
         1         37   6.5660726909669345E-34   1.6769151333463381E-33   1.4244243014615290E-33   5.8097600150113634E-35
         1         38   6.6507059261005315E+02   2.2189485330665912E+03   1.5240722237263683E+03   3.3119335967878408E+02
         1         39   1.7311067014785817E+03   5.3157453735892814E+03   3.6999855642337384E+03   7.8238176445392821E+02
         1         40   1.4805818649795111E+02   4.8488713904687791E+02   3.5839397939779366E+02   6.2547356065930224E+01
         1         41   7.8822808949496937E+02   1.8697171862292819E+03   1.3743125346703243E+03   2.3321355375698349E+02
         1         42   1.6003622583519007E+01   1.5466751082404301E+02   9.6844483714952190E+01   3.1267245202425052E+01
         1         43   5.0871601761539466E+02   1.0692343665663539E+03   8.1663621720931712E+02   1.1825021514400174E+02
         1         44   3.4284850642031259E+01   1.8649295541848591E+02   1.3605908612337581E+02   2.7086145394836826E+01
         1         45   6.1801025803014987E+01   2.3495738947638986E+02   1.7881244384930065E+02   2.9949701528656639E+01
         1         46   5.3698491322990742E+00   9.2415546499188594E+01   5.4248625594518828E+01   2.1534048112169963E+01
         1         47   1.5250139350481609E+02   2.7593843490876066E+02   2.2179097797171102E+02   2.5068551424796112E+01
         1         48   9.1202179025126952E+01   2.4928421991778006E+02   1.7027402542432887E+02   2.9881923290638603E+01
         1         49   1.6217328594498190E+02   3.1743227695825470E+02   2.4325166288226987E+02   3.0656556047319555E+01
         1         50   2.0605528997663511E+00   4.5777386282912410E+01   2.9209148318172094E+01   9.2179732995817467E+00
         1         51   1.0194495170246182E+02   2.0200210796610267E+02   1.5107140203261110E+02   1.6938510751360059E+01
         1         52   2.9573299286143149E+00   2.7572379704565495E+01   1.9442948160297405E+01   4.3865921094876485E+00
         1         53   4.8730756965768904E+01   7.5354584734701291E+01   6.2341915895869221E+01   5.1291234933116510E+00
         1         54   6.7301730585673680E-02   1.9646565151633098E+01   8.6162061018070197E+00   5.7948493542154207E+00
         1         55   2.8180258082847160E+01   4.4294801048528662E+01   3.7221324263348784E+01   2.9623732580744369E+00
         1         56   1.0468316347845509E+01   2.5697014580908633E+01   1.8012166993941992E+01   2.3677130809552760E+00
         1         57   2.5813933013126100E+01   3.6355417036202034E+01   3.0822019293406580E+01   1.8434539858632000E+00
         1         58   8.1724067724919909E+00   1.2886871713355889E+01   1.0832073038518487E+01   7.7324815859462015E-01
         1         59   1.3356976922111359E+01   1.6729854762048387E+01   1.4545427763940127E+01   5.4222679611851732E-01
         1         60   1.2001099154260606E+00   1.3809771931642854E+00   1.2710113594500037E+00   3.0388844148365887E-02
         1         61   5.4579085960444612E-02   6.3174300955820009E-02   5.8514981708907669E-02   9.3277086130792925E-04
         1         62   4.6079834077939613E-03   5.3341369722380112E-03   5.2030891612191753E-03   4.6203631758823760E-05
         1         63   3.7537978320740297E-15   1.7840490335571280E-08   1.9753809487881363E-09   3.1574639342001927E-09
         1         64   4.1556040387621050E-05   5.4041311777098462E-05   4.9807014355475067E-05   7.4228798629582193E-07
         2          1   1.6905462016612702E+00   4.5723905111334133E+00   3.0673715595392554E+00   5.6587060338932216E-01
         2          2   5.7948650448272438E+00   6.1901493436493027E+00   5.8777910917591649E+00   5.0955405234842925E-02
         2          3   1.4094462194224002E+01   1.4396574472914750E+01   1.4239905349976356E+01   1.6509076758014250E-02
         2          4   1.1487391988600199E-07   5.1796606488013784E-07   2.1119183222336344E-07   2.3637647788669320E-08
         2          5   1.8667408431289582E-58   4.1653171271225281E-55   6.1447460351610794E-57   2.9127348301220915E-56
         2          6   1.0461911284254045E+01   2.6861688612830005E+01   1.9712998637258909E+01   3.3114707453977164E+00
         2          7   1.5726722664705635E+01   4.5327762565138151E+01   3.1590086949645681E+01   5.9050186807148526E+00
         2          8   1.0849602932446595E+01   2.0486943182263389E+01   1.5368931766037484E+01   1.9345434690640479E+00
         2          9   9.7446722201455245E+00   1.0114182931037440E+01   9.9473851822339778E+00   2.2351940724793531E-02
         2         10   1.2922020859289962E+00   1.7503146339806805E+00   1.4681273478671435E+00   2.5598701204805618E-02
         2         11   4.8173920255140572E-17   7.7335197100063660E-16   1.4901412803050243E-16   4.5573251047920220E-17
         2         12   2.4205871064070475E+01   5.5138162198941821E+01   4.4672214227662799E+01   6.1943139546470904E+00
         2         13   4.2136270632646699E+01   9.8051651138737427E+01   7.8555293014306329E+01   1.1585513867188714E+01
         2         14   4.6030231972935447E+01   1.1319918547633911E+02   8.4749701909836944E+01   1.3761711835154937E+01
         2         15   2.5958474876657601E+01   8.6278064935861508E+01   5.9273468516867467E+01   1.1584598265860235E+01
         2         16   1.2736247156745433E+01   3.9140487749392584E+01   2.7003153230569165E+01   4.9632473984891741E+00
         2         17   1.4576267224877393E+01   1.8472093099062544E+01   1.5872571046081317E+01   7.8180169479823614E-01
         2         18   9.4963861426587712E+00   9.6234829278015201E+00   9.5169889111449795E+00   1.4351914292487807E-02
         2         19   1.5946669500150765E+01   1.6341040690168779E+01   1.6224527920361634E+01   2.3538774556286880E-02
         2         20   3.2422936741549620E+01   3.4937436485203825E+01   3.3532290448590857E+01   2.2151010249578568E-01
         2         21   3.4878300459402936E+01   3.7583170243681565E+01   3.6052278266186860E+01   3.7560404500308481E-01
         2         22   1.9087293426555739E+01   2.0496961432606877E+01   1.9593072595909174E+01   1.8578230052200892E-01
         2         23   1.4059767341284886E+01   1.5232703603183463E+01   1.4497048409890160E+01   1.2264403875070162E-01
         2         24   8.4480345200292213E+00   9.2673499493002254E+00   8.7671162355449521E+00   7.7869060981084828E-02
         2         25   1.3912119716065259E+01   1.5198890400471090E+01   1.4445477250771905E+01   8.2923810719298538E-02
         2         26   6.2001269144397710E+00   6.7777276250025063E+00   6.4060920755298065E+00   4.8168112460761428E-02
         2         27   2.8652886662317295E-01   3.0819260895240530E-01   2.9777618577848852E-01   1.2050573549489934E-03
         2         28   3.7366952476518636E+00   4.1377518532376421E+00   3.8844996209066931E+00   3.0474450543766216E-02
         2         29   6.7708750574870278E+00   7.4419930576332094E+00   7.0414030174141162E+00   4.6898984042896615E-02
         2         30   1.2708852684315399E+00   1.4126656727443478E+00   1.3266077726519667E+00   9.1231045572680407E-03
         2         31   5.8272312139595872E-01   6.5785712935052743E-01   6.0813047597047321E-01   4.7007582195708287E-03
         2         32   7.5731587505313246E-03   8.8089598841626319E-03   8.1050945702240314E-03   7.3242131037618799E-05
         2         33   1.3702693241262429E-03   1.6817953850300567E-03   1.5837161745210408E-03   1.8012918937417787E-05
         2         34   2.7719769907323763E-07   4.7706292871306266E-07   3.5846151057594002E-07   1.1982846602567299E-08
         2         35   1.1190159332374011E-25   2.9735126510683103E-25   2.5381514420257614E-25   1.1129985592901240E-26
         2         36   9.4771889298230053E+02   2.6584589360840328E+03   1.8140580564975835E+03   3.7967922557374027E+02
         2         37   1.1565950528357476E+02   1.8789257324200420E+02   1.5309728847796288E+02   1.4282570415601230E+01
         2         38   4.3059833277737155E+01   8.1864325463100087E+01   6.4623950326079779E+01   7.4158099478456716E+00
         2         39   3.7317125695413864E+02   9.2934566532950430E+02   6.6635419935617278E+02   1.1962094284626365E+02
         2         40   5.9520004167472564E+02   1.4356741337967023E+03   1.0647174367553766E+03   1.8048727286134141E+02
         2         41   1.9213628946397182E+02   3.2482031744981992E+02   2.6541519335692942E+02   2.6780640275099795E+01
         2         42   6.8417997282903286E+01   9.7026596902798047E+01   8.2080526119964787E+01   5.4790683891270957E+00
         2         43   2.6955397576772702E+02   5.1314775209708739E+02   4.0916623228925107E+02   5.1634925197402666E+01
         2         44   4.3148235601694250E+02   1.0575798857651014E+03   7.6097520077344132E+02   1.3365605010326416E+02
         2         45   1.6755175482887847E+02   3.6299099121826532E+02   2.6612342984565106E+02   4.2081634131188423E+01
         2         46   9.8910037949473065E+01   2.0545310391415023E+02   1.5562219685151064E+02   2.2788441846712963E+01
         2         47   5.9081767157056817E+01   7.1068714282058380E+01   6.6050658075496315E+01   2.3884806054415142E+00
         2         48   2.5964268233469117E+01   3.0130714199543064E+01   2.7766138715294392E+01   7.4016704743916428E-01
         2         49   7.8222981321492320E+00   9.8211213530159327E+00   8.8273030560083203E+00   3.8763676560299909E-01
         2         50   8.1189961173164860E+01   1.0586550159343810E+02   9.4124801935868291E+01   4.7829970533829655E+00
         2         51   5.0671617989056621E+01   7.8200751130837432E+01   6.5128871186897570E+01   5.4079226557129108E+00
         2         52   1.2774130210480564E+01   1.3683716685267999E+01   1.3188608805733619E+01   1.4906704001621615E-01
         2         53   3.2877018088597039E+00   3.6322461538160908E+00   3.4512282843823678E+00   7.1391271689889332E-02
         2         54   2.2534155597548299E+01   3.0915085651492955E+01   2.6294319649504011E+01   1.7560512193799789E+00
         2         55   3.4518484364387987E+01   3.8668241160139388E+01   3.6415438715324790E+01   7.6184272112287132E-01
         2         56   3.7187371139477776E+01   4.5560230302353020E+01   4.1619207350889255E+01   1.5553481454055749E+00
         2         57   1.3504963107425290E+01   1.4423738766461815E+01   1.3865892770990866E+01   9.6672049844397992E-02
         2         58   5.0650172285023736E+00   5.3942219274879859E+00   5.2123080204552865E+00   2.4173431988876184E-02
         2         59   1.4851977466379770E+01   1.7141808557702696E+01   1.5820312697287159E+01   3.9868976186081678E-01
         2         60   1.0188730311043992E+00   1.0942048317855138E+00   1.0560630716866402E+00   7.5854604732098268E-03
         2         61   8.9834111756830506E+00   1.0312541179289779E+01   9.5414399720364376E+00   2.3651201337223640E-01
         2         62   6.1458693670737246E+00   6.6692487910064981E+00   6.3331424935022023E+00   6.3601091456253631E-02
         2         63   2.7561984950662888E+00   3.0605576402709866E+00   2.8756419682631233E+00   2.6874012986999561E-02
         2         64   2.1321353843066957E-03   2.5483460582380450E-03   2.3487936998357380E-03   2.3199308798236472E-05
         3          1   2.4950352469466890E+00   2.6865374227669006E+00   2.5765343927542701E+00   2.8781714335824899E-02
         3          2   3.1563809768162532E+00   8.5736036414055903E+00   5.9473288496980858E+00   1.0186694089070363E+00
         3          3   6.1012559566299922E+00   1.1711459294750322E+01   8.6008676692354893E+00   9.5748307004670707E-01
         3          4   4.9533993630795354E+00   7.3051205748463683E+00   5.7059968613652625E+00   3.3144928516432243E-01
         3          5   8.7031807468615063E-01   1.1884811494399286E+00   9.8892141159837099E-01   1.2694401060094410E-02
         3          6   1.0100625760290433E-16   7.5292242997241311E-08   2.1401532323482596E-08   2.1475535699422481E-08
         3          7   2.3212436096665505E-32   3.0757856154501078E-16   5.5381476994630071E-17   5.6327475570468270E-17
         3          8   1.4000556323467187E-58   5.6452727453095438E-31   4.9411660431714334E-32   5.4682006917902560E-32
         3          9   7.9173156386114183E+00   2.3493465043651145E+01   1.8006717273591061E+01   3.0056735054404524E+00
         3         10   1.4669724349062221E+01   4.3602935652588251E+01   3.2959135924015825E+01   5.8292552626702827E+00
         3         11   2.1543236685924794E-01   2.5052241994200553E-01   2.2705906582366317E-01   3.4233000101842846E-03
         3         12   2.1476614281449766E+00   4.1411445757564840E+00   3.0673273177466993E+00   4.8854678852963257E-01
         3         13   1.2741303879609109E+01   2.0241980911514382E+01   1.6920346032558204E+01   1.4046472795235445E+00
         3         14   2.1987676609943726E+01   5.5755591002463909E+01   4.4215233340916782E+01   6.2251599332355738E+00
         3         15   3.7963201534063096E+01   9.3253419516032579E+01   7.4159475849898968E+01   1.0404491565603340E+01
         3         16   3.6703836449098425E+01   9.9468367427671708E+01   7.8205481956790990E+01   1.2458188357852059E+01
         3         17   3.1814659139206974E+01   9.1101766675012698E+01   6.8574499224702762E+01   1.2397659069505080E+01
         3         18   1.7026308186259048E+01   3.0037036027957729E+01   2.2298209454597671E+01   2.0661342353749035E+00
         3         19   4.7519660595232223E+00   7.3230245963455918E+00   5.7793160117480502E+00   3.8458235614833441E-01
         3         20   2.6574692901085553E+00   6.0064502797119479E+00   4.1434525255859596E+00   1.0680932348943204E+00
         3         21   2.5270225921558197E+01   2.9619314597814007E+01   2.6657813228936707E+01   5.3543533969626522E-01
         3         22   2.3866486652583354E-04   1.8576976989766877E-01   9.4176627265170329E-02   4.5736320511418745E-02
         3         23   1.3736558587684398E+01   1.5786584283405842E+01   1.4728206624089943E+01   3.1306520607638916E-01
         3         24   8.1902939016145968E+00   9.6587174170032188E+00   8.7876300241183127E+00   2.2382080859605183E-01
