################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.6144537421211130E-01 a         1     0     1     1     1
  3.0416287602219708E-02 a         2     0     1     1     2
  2.1912187105564127E-01 a         3     0     1     1     3
 -7.5699805794030642E-02 a         4     0     1     1     4
 -1.8081843733241072E-02 a         5     0     1     1     5
  2.2749531127786723E-01 a         6     0     1     1     6
 -1.6129332647727207E-01 a         7     0     1     1     7
 -1.7969985587111315E-01 a         8     0     1     1     8
  6.8650764572251555E-02 a         9     0     1     1     9
  1.9768284178556514E-02 a        10     0     1     1    10
  1.2159193687260901E-01 a        11     0     1     1    11
 -9.9447045428042877E-02 a        12     0     1     1    12
  1.2240921551354686E-01 a        13     0     1     1    13
 -1.5333889102941595E-01 a        14     0     1     1    14
  8.4345510351854447E-02 a        15     0     1     1    15
 -8.6323639873130117E-02 a        16     0     1     1    16
 -2.0460216515976276E-01 a        17     0     1     1    17
  2.4514023759765113E-01 a        18     0     1     1    18
 -2.4786512855110208E-02 a        19     0     1     1    19
  1.9567963612103526E-01 a        20     0     1     1    20
  2.8112962813638526E-01 a        21     0     1     1    21
 -3.0850390201730506E-02 a        22     0     1     1    22
  8.3335876786086935E-03 a        23     0     1     1    23
 -2.7987652903634676E-02 a        24     0     1     1    24
 -2.9987408832041020E-02 a        25     0     1     1    25
 -1.8295697630309377E-01 a        26     0     2     1     1
 -2.9508881401401499E-01 a        27     0     2     1     2
  2.9356589844823749E-01 a        28     0     2     1     3
  3.4179459634936171E-01 a        29     0     2     1     4
  1.2725847901372500E-01 a        30     0     2     1     5
  1.0750687683596551E+00 a        31     0     2     1     6
  2.0901061025396914E-01 a        32     0     2     1     7
  4.7360731658944680E-02 a        33     0     2     1     8
  4.8827080879463047E-01 a        34     0     2     1     9
 -8.8000085326510658E-02 a        35     0     2     1    10
  1.6334946783549156E-01 a        36     0     2     1    11
 -1.7771067355555598E-01 a        37     0     2     1    12
 -2.8739045132193908E-01 a        38     0     2     1    13
  2.3290603651953717E-01 a        39     0     2     1    14
  2.3129259103250507E-01 a        40     0     2     1    15
  2.8730992342335532E-03 a        41     0     2     1    16
  6.3005048314058798E-01 a        42     0     2     1    17
  2.6413436518835071E-01 a        43     0     2     1    18
 -1.8406705189410677E-02 a        44     0     2     1    19
 -2.6195204001760686E-01 a        45     0     2     1    20
  2.1348055998319970E-01 a        46     0     2     1    21
 -2.8605610247126784E-01 a        47     0     2     1    22
 -1.1683118604513175E-01 a        48     0     2     1    23
 -4.4876021402132732E-01 a        49     0     2     1    24
  1.5922649650871606E-01 a        50     0     2     1    25
 -3.6260264835551803E-01 a        51     0     3     1     1
 -7.2311692901325900E-02 a        52     0     3     1     2
  1.6922463116357722E-01 a        53     0     3     1     3
  5.2076443087717095E-01 a        54     0     3     1     4
  5.2113679674053559E-01 a        55     0     3     1     5
  7.3682671614224649E-01 a        56     0     3     1     6
  2.2675502239078874E-01 a        57     0     3     1     7
 -2.6701900924902833E-01 a        58     0     3     1     8
 -2.6802100811838266E-02 a        59     0     3     1     9
  5.9820873639659738E-02 a        60     0     3     1    10
 -1.2735823997281884E-01 a        61     0     3     1    11
  2.6053906887417777E-01 a        62     0     3     1    12
 -1.5335312551086216E-01 a        63     0     3     1    13
  1.0467839803391525E+00 a        64     0     3     1    14
  2.1567866735799340E-01 a        65     0     3     1    15
 -3.2333778651894546E-01 a        66     0     3     1    16
  2.0648565778767561E-01 a        67     0     3     1    17
  2.3160997792813459E-01 a        68     0     3     1    18
  2.0723922783898921E-01 a        69     0     3     1    19
 -5.6920422634701109E-02 a        70     0     3     1    20
 -1.1494416527791551E-01 a        71     0     3     1    21
  2.8671095089735293E-01 a        72     0     3     1    22
 -5.9358150186804182E-01 a        73     0     3     1    23
 -4.9029134147212244E-01 a        74     0     3     1    24
  2.1908457835049321E-02 a        75     0     3     1    25
 -2.6940122252868973E-02 a        76     0     4     1     1
  1.8936176184413539E-01 a        77     0     4     1     2
 -1.6085482510411583E-01 a        78     0     4     1     3
 -1.0163797661782953E-01 a        79     0     4     1     4
  2.9486922490951678E-01 a        80     0     4     1     5
  3.0390188357686387E-01 a        81     0     4     1     6
 -6.8168182532823182E-02 a        82     0     4     1     7
 -2.2895860948612101E-01 a        83     0     4     1     8
 -3.6949335988004928E-02 a        84     0     4     1     9
 -3.5299669904358655E-01 a        85     0     4     1    10
  9.1477003652437466E-02 a        86     0     4     1    11
 -4.2867784756160981E-01 a        87     0     4     1    12
  1.6977293648562941E-01 a        88     0     4     1    13
  1.1208642584249678E-01 a        89     0     4     1    14
  4.6704116089756254E-01 a        90     0     4     1    15
  9.3988200010799827E-01 a        91     0     4     1    16
  3.8119867645513450E-01 a        92     0     4     1    17
 -3.2697247992529199E-01 a        93     0     4     1    18
 -4.3208755883593741E-01 a        94     0     4     1    19
 -4.1454357785917752E-02 a        95     0     4     1    20
 -1.1230759624455013E-01 a        96     0     4     1    21
  3.5951596231343003E-01 a        97     0     4     1    22
  4.1776516842328547E-02 a        98     0     4     1    23
  2.2284050203503930E-01 a        99     0     4     1    24
  4.3755366391712985E-02 a       100     0     4     1    25
 -2.2834797132892493E-01 a       101     0     5     1     1
  2.7809438127045255E-01 a       102     0     5     1     2
 -5.5746185706104345E-02 a       103     0     5     1     3
 -9.1025162567650281E-02 a       104     0     5     1     4
 -2.4578357634281423E-01 a       105     0     5     1     5
 -1.7612152530091058E-01 a       106     0     5     1     6
 -1.3496242313113918E-01 a       107     0     5     1     7
 -2.1152701537495278E-01 a       108     0     5     1     8
  2.3786546693363317E-01 a       109     0     5     1     9
  1.4440838641429385E-01 a       110     0     5     1    10
 -1.7327833315597505E-01 a       111     0     5     1    11
  9.9311062861398874E-02 a       112     0     5     1    12
 -2.3852899472650888E-02 a       113     0     5     1    13
 -1.2043700641457085E-02 a       114     0     5     1    14
  3.4083041347433791E-02 a       115     0     5     1    15
  2.5389194183008851E-01 a       116     0     5     1    16
  3.1276632961051309E-01 a       117     0     5     1    17
 -5.4850086023327457E-02 a       118     0     5     1    18
  5.0205292557545335E-02 a       119     0     5     1    19
  2.9525819662787656E-02 a       120     0     5     1    20
 -7.1114154480985759E-03 a       121     0     5     1    21
  8.5775480622059738E-03 a       122     0     5     1    22
  6.7158526921218861E-02 a       123     0     5     1    23
 -4.8238071176560933E-02 a       124     0     5     1    24
  8.2090149053173259E-02 a       125     0     5     1    25
  3.8037761164589068E-02 a       126     0     6     1     1
  2.8649491576974168E-01 a       127     0     6     1     2
  2.7683037397226951E-01 a       128     0     6     1     3
  1.6596205676728443E-01 a       129     0     6     1     4
  2.7901428495533015E-01 a       130     0     6     1     5
 -2.4305426720896536E-01 a       131     0     6     1     6
  4.2835517649130218E-02 a       132     0     6     1     7
 -2.0508374945570179E-01 a       133     0     6     1     8
 -3.5906045260319874E-01 a       134     0     6     1     9
 -7.8414753087785394E-02 a       135     0     6     1    10
 -3.8309245935659852E-01 a       136     0     6     1    11
 -2.0278642851579289E-02 a       137     0     6     1    12
  1.6256637226510523E-01 a       138     0     6     1    13
  5.1472340592140475E-01 a       139     0     6     1    14
 -1.1154325821786465E-01 a       140     0     6     1    15
 -2.3446446122963588E-01 a       141     0     6     1    16
  2.5280115948888843E-01 a       142     0     6     1    17
  7.3133174645616056E-02 a       143     0     6     1    18
 -2.6011181565253760E-01 a       144     0     6     1    19
 -8.0098975128962260E-02 a       145     0     6     1    20
