################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.5234042994655253E-02 a         1     0     1     1     1
  5.9629016553944016E-02 a         2     0     1     1     2
  1.1977927896438843E-01 a         3     0     1     1     3
  1.1420600056373409E-02 a         4     0     1     1     4
  5.5665086577529561E-02 a         5     0     1     1     5
 -1.6115807744111227E-01 a         6     0     1     1     6
  5.1396439066031446E-02 a         7     0     1     1     7
 -2.5243423196530679E-01 a         8     0     1     1     8
  2.1531711349557375E-01 a         9     0     1     1     9
 -2.1902196699927681E-02 a        10     0     1     1    10
  5.5654772890721869E-02 a        11     0     1     1    11
  1.5533464154022766E-01 a        12     0     1     1    12
  2.9385141274003844E-02 a        13     0     1     1    13
  5.7533304971502414E-02 a        14     0     1     1    14
 -8.8066757405456997E-02 a        15     0     1     1    15
 -7.9358218624125731E-02 a        16     0     1     1    16
 -2.7451824918903744E-02 a        17     0     1     1    17
 -2.9728353826111959E-02 a        18     0     1     1    18
  8.2522157790223621E-02 a        19     0     1     1    19
  7.2993571352874806E-02 a        20     0     1     1    20
  6.6419515655220418E-02 a        21     0     1     1    21
 -2.4097630252914729E-02 a        22     0     1     1    22
 -4.0939089554736435E-02 a        23     0     1     1    23
 -1.4746799309590860E-02 a        24     0     1     1    24
  9.6935928284581137E-03 a        25     0     1     1    25
 -1.6201593628827207E-01 a        26     0     2     1     1
  1.0664646516016944E-01 a        27     0     2     1     2
  6.4794252449611373E-02 a        28     0     2     1     3
 -4.9204492948115427E-03 a        29     0     2     1     4
  1.9099663807020983E-01 a        30     0     2     1     5
 -4.6341447347194475E-02 a        31     0     2     1     6
 -1.0530041749376656E-01 a        32     0     2     1     7
 -1.6259276298187683E-01 a        33     0     2     1     8
  1.7705761495741884E-01 a        34     0     2     1     9
  9.2203984776471543E-02 a        35     0     2     1    10
  1.5072769054587193E-01 a        36     0     2     1    11
 -2.1468067142376496E-02 a        37     0     2     1    12
  1.5669329982905787E-03 a        38     0     2     1    13
 -1.6709724262833153E-01 a        39     0     2     1    14
 -2.3531621191793436E-01 a        40     0     2     1    15
 -3.7790021759200945E-02 a        41     0     2     1    16
 -2.5253181879890989E-02 a        42     0     2     1    17
  8.2405001292136529E-02 a        43     0     2     1    18
  4.7363854879491747E-02 a        44     0     2     1    19
  3.5919170193202225E-02 a        45     0     2     1    20
  6.3478018910871237E-02 a        46     0     2     1    21
  1.6226992072129531E-01 a        47     0     2     1    22
 -1.2707299231623406E-01 a        48     0     2     1    23
 -5.5259159557750882E-02 a        49     0     2     1    24
  1.5897208655569281E-01 a        50     0     2     1    25
  2.1127533493777795E-01 a        51     0     3     1     1
  9.7286233355616092E-02 a        52     0     3     1     2
 -6.4140841859521347E-02 a        53     0     3     1     3
  2.0112735761659433E-02 a        54     0     3     1     4
 -1.4915485628640418E-01 a        55     0     3     1     5
  1.2166694662352047E-01 a        56     0     3     1     6
 -1.9342777766580273E-02 a        57     0     3     1     7
 -7.7561477841068899E-02 a        58     0     3     1     8
  1.2933448570994588E-01 a        59     0     3     1     9
 -2.6966566757966121E-02 a        60     0     3     1    10
  1.0656789307833445E-01 a        61     0     3     1    11
  1.1338746444219312E-01 a        62     0     3     1    12
  2.0641600664156190E-01 a        63     0     3     1    13
  1.4662924896398027E-01 a        64     0     3     1    14
 -1.3401762493494498E-01 a        65     0     3     1    15
  3.7993100428926577E-02 a        66     0     3     1    16
  1.1048825851702709E-03 a        67     0     3     1    17
  6.5274223534239922E-02 a        68     0     3     1    18
  4.0105027016486945E-02 a        69     0     3     1    19
 -7.6091634319948476E-02 a        70     0     3     1    20
  4.3817510166999571E-02 a        71     0     3     1    21
  1.6666170995257129E-01 a        72     0     3     1    22
 -2.4251782564467050E-01 a        73     0     3     1    23
  1.0915656007595748E-01 a        74     0     3     1    24
  1.3591331794038847E-01 a        75     0     3     1    25
  5.6402252856331651E-02 a        76     0     4     1     1
 -8.8585108761517248E-02 a        77     0     4     1     2
 -7.4936937725277694E-02 a        78     0     4     1     3
  4.6605324311396246E-02 a        79     0     4     1     4
  5.6088009683294367E-02 a        80     0     4     1     5
  2.0946042623701873E-02 a        81     0     4     1     6
  6.3126347374191120E-03 a        82     0     4     1     7
  2.0793769707274791E-02 a        83     0     4     1     8
 -6.6884531024048482E-02 a        84     0     4     1     9
  8.9775725157527408E-02 a        85     0     4     1    10
 -7.6627510210775185E-02 a        86     0     4     1    11
  3.4761858511681828E-02 a        87     0     4     1    12
 -8.4660951020761308E-02 a        88     0     4     1    13
 -2.3394433640149186E-02 a        89     0     4     1    14
 -8.7531755351978449E-02 a        90     0     4     1    15
 -1.7809575165568588E-02 a        91     0     4     1    16
 -2.6908639894796835E-02 a        92     0     4     1    17
  4.5688898162593090E-02 a        93     0     4     1    18
  6.0609393247838032E-02 a        94     0     4     1    19
  8.6363575557365388E-02 a        95     0     4     1    20
 -8.3980955836778837E-02 a        96     0     4     1    21
  3.6048392445369414E-02 a        97     0     4     1    22
  5.9533033785461070E-02 a        98     0     4     1    23
 -6.1131179818547120E-02 a        99     0     4     1    24
 -9.6506835296908497E-02 a       100     0     4     1    25
 -7.7562392187872267E-02 a       101     0     5     1     1
 -7.4377951766771908E-02 a       102     0     5     1     2
  1.0832179951054750E-01 a       103     0     5     1     3
 -8.8273979577071088E-02 a       104     0     5     1     4
 -7.7076887981460659E-02 a       105     0     5     1     5
  8.7896181294926573E-02 a       106     0     5     1     6
 -1.9405158483860492E-02 a       107     0     5     1     7
 -5.0436344012349442E-02 a       108     0     5     1     8
 -8.3226321264800604E-02 a       109     0     5     1     9
 -8.8735777555425333E-02 a       110     0     5     1    10
 -5.0857968935466159E-02 a       111     0     5     1    11
  6.4026875162824570E-02 a       112     0     5     1    12
 -9.5317857367269970E-02 a       113     0     5     1    13
  6.1436591001086151E-02 a       114     0     5     1    14
 -8.5740922933760910E-03 a       115     0     5     1    15
 -2.3397067610374911E-02 a       116     0     5     1    16
 -7.3064773335122180E-02 a       117     0     5     1    17
 -1.1820299211031461E-01 a       118     0     5     1    18
  6.9515018997241884E-02 a       119     0     5     1    19
 -4.9427307426504145E-03 a       120     0     5     1    20
