################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.5387722412963332E-01 a         1     0     1     1     1
  4.2110137112552071E-01 a         2     0     1     1     2
 -1.1980792171666038E-01 a         3     0     1     1     3
  5.4178877889127973E-02 a         4     0     1     1     4
 -1.4719259863938825E-02 a         5     0     1     1     5
  3.0319722125587356E-01 a         6     0     1     1     6
  2.4223026725351871E-01 a         7     0     1     1     7
  6.6062184739184307E-02 a         8     0     1     1     8
 -1.1180479027723299E-01 a         9     0     1     1     9
 -9.2494914950206952E-02 a        10     0     1     1    10
 -2.2545785199830672E-02 a        11     0     1     1    11
 -9.2779086418695450E-02 a        12     0     1     1    12
 -1.4892532640863354E-01 a        13     0     1     1    13
 -7.0324444162209995E-02 a        14     0     1     1    14
 -8.7213638932145204E-02 a        15     0     1     1    15
 -5.3499204491767229E-03 a        16     0     1     1    16
  1.2883779188419106E-01 a        17     0     1     1    17
 -1.3243376985315242E-01 a        18     0     1     1    18
 -4.1201424842736062E-02 a        19     0     1     1    19
 -1.3667957743422290E-01 a        20     0     1     1    20
  2.2309314842557333E-02 a        21     0     1     1    21
  1.3599526973792372E-01 a        22     0     1     1    22
  1.2635838661281198E-01 a        23     0     1     1    23
  1.5437050879626801E-01 a        24     0     1     1    24
  6.9854562841786788E-02 a        25     0     1     1    25
  3.3768836425523564E-02 a        26     0     2     1     1
  1.6367722508867774E-01 a        27     0     2     1     2
  2.0273632751500426E-01 a        28     0     2     1     3
 -2.3400793094748823E-02 a        29     0     2     1     4
  1.9495418387603357E-03 a        30     0     2     1     5
  3.1108440129101184E-01 a        31     0     2     1     6
 -3.0392789611010562E-01 a        32     0     2     1     7
  3.1562522537219878E-01 a        33     0     2     1     8
  1.7625202780439653E-01 a        34     0     2     1     9
  2.2308442302697774E-02 a        35     0     2     1    10
 -3.2076956961858777E-01 a        36     0     2     1    11
 -4.2244594250705086E-01 a        37     0     2     1    12
 -4.1870305998074187E-01 a        38     0     2     1    13
  5.4068549628877319E-02 a        39     0     2     1    14
  4.5772850381025854E-01 a        40     0     2     1    15
  2.1732445904381531E-01 a        41     0     2     1    16
 -1.6547122921746671E-01 a        42     0     2     1    17
 -1.7372131700533747E-01 a        43     0     2     1    18
  4.6358475951428257E-01 a        44     0     2     1    19
 -4.8619983901581609E-01 a        45     0     2     1    20
  3.2762361905908710E-01 a        46     0     2     1    21
 -4.2150916955474566E-01 a        47     0     2     1    22
 -1.3002591237136821E-01 a        48     0     2     1    23
 -9.8384037239818062E-02 a        49     0     2     1    24
 -3.0839738488644147E-01 a        50     0     2     1    25
 -3.4316708429667886E-01 a        51     0     3     1     1
  2.6535952491591308E-01 a        52     0     3     1     2
 -5.0248519466445296E-01 a        53     0     3     1     3
 -2.5949689626826417E-01 a        54     0     3     1     4
 -3.2815758605324510E-03 a        55     0     3     1     5
  2.6491769555261974E-01 a        56     0     3     1     6
  3.4507783580677903E-01 a        57     0     3     1     7
 -4.4583802298969838E-01 a        58     0     3     1     8
  1.7425581269497170E-01 a        59     0     3     1     9
  1.2719912867055144E-01 a        60     0     3     1    10
 -4.0802285041326863E-01 a        61     0     3     1    11
 -8.4154584452864223E-01 a        62     0     3     1    12
  3.7863834114689332E-01 a        63     0     3     1    13
  2.9639289947806535E-01 a        64     0     3     1    14
  2.2991302613228937E-01 a        65     0     3     1    15
 -7.8555478779367985E-02 a        66     0     3     1    16
 -1.1998293195757004E-01 a        67     0     3     1    17
 -4.5457128272330494E-01 a        68     0     3     1    18
  4.4339732176370006E-01 a        69     0     3     1    19
  6.4908752428630562E-03 a        70     0     3     1    20
  7.0599745313954590E-03 a        71     0     3     1    21
  2.5260707324558723E-01 a        72     0     3     1    22
 -4.9408951792414238E-02 a        73     0     3     1    23
  1.4093110808686307E-01 a        74     0     3     1    24
 -9.8259591754994796E-02 a        75     0     3     1    25
 -3.0544627687677334E-01 a        76     0     4     1     1
  2.3164361112672041E-01 a        77     0     4     1     2
  1.0578958429435242E-01 a        78     0     4     1     3
 -1.8276137916181290E-01 a        79     0     4     1     4
  3.0136926833841454E-01 a        80     0     4     1     5
  2.2111200404731933E-02 a        81     0     4     1     6
 -5.4848934189368781E-01 a        82     0     4     1     7
 -7.2624470877617808E-02 a        83     0     4     1     8
 -1.2879674322639511E-02 a        84     0     4     1     9
  1.4508645212368138E-01 a        85     0     4     1    10
 -1.6572231487204545E-01 a        86     0     4     1    11
 -4.2236029674682279E-01 a        87     0     4     1    12
  4.6551629987668647E-01 a        88     0     4     1    13
 -1.9689345959082970E-02 a        89     0     4     1    14
  1.6213146923677491E-01 a        90     0     4     1    15
 -2.5870301456455347E-01 a        91     0     4     1    16
 -3.1199253166536794E-01 a        92     0     4     1    17
 -1.8029762822609099E-01 a        93     0     4     1    18
 -8.7288112675730153E-03 a        94     0     4     1    19
  2.1753879602524759E-01 a        95     0     4     1    20
 -1.8854898407734927E-01 a        96     0     4     1    21
 -1.7589078588569329E-01 a        97     0     4     1    22
 -2.4031880194765010E-01 a        98     0     4     1    23
  1.0805592529339879E-01 a        99     0     4     1    24
 -2.2024548212210923E-01 a       100     0     4     1    25
  1.0305801796418547E-01 a       101     0     5     1     1
 -1.4912061015674818E-01 a       102     0     5     1     2
  8.8213645780504946E-02 a       103     0     5     1     3
 -3.2209664612021689E-03 a       104     0     5     1     4
 -1.0842687570372170E-01 a       105     0     5     1     5
  3.9422846982234283E-01 a       106     0     5     1     6
  1.4023211709019079E-02 a       107     0     5     1     7
  1.6555207632272270E-01 a       108     0     5     1     8
  1.3636320780483810E-01 a       109     0     5     1     9
 -1.1039453374097101E-01 a       110     0     5     1    10
  1.8641759753173748E-01 a       111     0     5     1    11
 -1.4364567549063686E-01 a       112     0     5     1    12
  1.0670069786380437E-01 a       113     0     5     1    13
 -1.1130255874651850E-02 a       114     0     5     1    14
