################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.1656697833581229E-01 a       117     0     5     1    17
  1.6807217684212747E-01 a       118     0     5     1    18
 -2.5276163672686959E-02 a       119     0     5     1    19
 -1.1668211732044530E-01 a       120     0     5     1    20
  9.2980156139198925E-02 a       121     0     5     1    21
  1.5401228196538883E-01 a       122     0     5     1    22
  1.2561013281190833E-01 a       123     0     5     1    23
  3.6560061603352172E-02 a       124     0     5     1    24
  1.0831315775481279E-01 a       125     0     5     1    25
  7.8904528171418048E-03 a       126     0     6     1     1
  5.0701241590566409E-02 a       127     0     6     1     2
  2.3006233501764381E-02 a       128     0     6     1     3
  8.3696233419104718E-02 a       129     0     6     1     4
  5.4680248104515480E-02 a       130     0     6     1     5
 -1.6190033331087492E-01 a       131     0     6     1     6
  2.0105564435184440E-02 a       132     0     6     1     7
 -6.5634570946620716E-04 a       133     0     6     1     8
  6.9541797661958477E-02 a       134     0     6     1     9
 -1.2088376653728380E-02 a       135     0     6     1    10
  1.3450143769530540E-01 a       136     0     6     1    11
 -5.4808307051513787E-02 a       137     0     6     1    12
  2.4094140745567905E-01 a       138     0     6     1    13
  8.9725011671872759E-02 a       139     0     6     1    14
 -2.5110324476660739E-01 a       140     0     6     1    15
  1.0833220066613206E-01 a       141     0     6     1    16
  1.4184155803882126E-01 a       142     0     6     1    17
 -7.6991670713516133E-02 a       143     0     6     1    18
  7.5321923133835483E-02 a       144     0     6     1    19
 -2.8640423895847117E-01 a       145     0     6     1    20
 -2.8427699900588278E-02 a       146     0     6     1    21
