################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.6330644342321726E-02 a         1     0     1     1     1
  4.5735485247778755E-02 a         2     0     1     1     2
 -2.6145842675958158E-03 a         3     0     1     1     3
 -7.0841866336736656E-02 a         4     0     1     1     4
 -8.7195801037217593E-02 a         5     0     1     1     5
  8.7672485413801945E-02 a         6     0     1     1     6
  7.3030190139983825E-02 a         7     0     1     1     7
  1.6447150161929347E-01 a         8     0     1     1     8
  7.1763203808886677E-02 a         9     0     1     1     9
  2.2873686303035285E-02 a        10     0     1     1    10
 -3.7605121375733140E-03 a        11     0     1     1    11
  3.0291501044884202E-02 a        12     0     1     1    12
  1.6224436159702387E-03 a        13     0     1     1    13
  1.6767722429831055E-02 a        14     0     1     1    14
 -4.7130871634963559E-02 a        15     0     1     1    15
 -7.8842599579232855E-02 a        16     0     1     1    16
 -7.6363325017804295E-02 a        17     0     1     1    17
  6.4988754024306039E-02 a        18     0     1     1    18
  1.4933502068720478E-03 a        19     0     1     1    19
 -1.4365035293502176E-01 a        20     0     1     1    20
 -1.1415040316056164E-01 a        21     0     1     1    21
 -1.0903897486613498E-01 a        22     0     1     1    22
 -1.0964425427304901E-02 a        23     0     1     1    23
  8.4392669545791041E-02 a        24     0     1     1    24
 -5.0896596947583056E-02 a        25     0     1     1    25
 -1.7710447760425319E-01 a        26     0     2     1     1
  4.0574589582907737E-02 a        27     0     2     1     2
 -4.9562835472099784E-03 a        28     0     2     1     3
 -1.2057861691727081E-01 a        29     0     2     1     4
  6.1020411324004993E-02 a        30     0     2     1     5
  1.0540876137602344E-01 a        31     0     2     1     6
  2.7496633582518453E-02 a        32     0     2     1     7
  2.2010999865995962E-01 a        33     0     2     1     8
 -9.2428428112630009E-02 a        34     0     2     1     9
  2.4035999301965549E-02 a        35     0     2     1    10
 -3.6821222759397934E-02 a        36     0     2     1    11
  4.5661173432315925E-02 a        37     0     2     1    12
 -6.8021183267244198E-02 a        38     0     2     1    13
  8.4857068101942511E-03 a        39     0     2     1    14
  1.2514727171320465E-02 a        40     0     2     1    15
 -1.0644388909590499E-01 a        41     0     2     1    16
  9.5724746940421365E-02 a        42     0     2     1    17
  3.9215353610067716E-03 a        43     0     2     1    18
  5.4456695913031880E-03 a        44     0     2     1    19
  1.4274029411340115E-02 a        45     0     2     1    20
 -1.0856873557844905E-01 a        46     0     2     1    21
 -5.2274377787367016E-02 a        47     0     2     1    22
  4.9953574883109371E-02 a        48     0     2     1    23
  8.7053566891000883E-02 a        49     0     2     1    24
  8.3863184708794822E-02 a        50     0     2     1    25
  1.5532062762326593E-01 a        51     0     3     1     1
  4.0270454751650765E-03 a        52     0     3     1     2
  1.5597251581331750E-01 a        53     0     3     1     3
 -1.3723009235089628E-01 a        54     0     3     1     4
  4.6070742864722139E-02 a        55     0     3     1     5
 -8.1624932101904690E-02 a        56     0     3     1     6
 -5.8854704304643887E-02 a        57     0     3     1     7
  5.1469731851421417E-02 a        58     0     3     1     8
  1.0936061781760445E-01 a        59     0     3     1     9
  1.1610677517352394E-01 a        60     0     3     1    10
  5.8969595865352213E-02 a        61     0     3     1    11
 -3.4136273634738382E-02 a        62     0     3     1    12
 -1.6115366342671130E-02 a        63     0     3     1    13
 -9.6331864537761949E-02 a        64     0     3     1    14
  5.6560527928510036E-03 a        65     0     3     1    15
 -2.5326255216228274E-02 a        66     0     3     1    16
 -6.0820938895609876E-02 a        67     0     3     1    17
  4.1504725419679409E-02 a        68     0     3     1    18
 -3.2030505180404661E-01 a        69     0     3     1    19
 -1.3607571708272882E-02 a        70     0     3     1    20
  2.3146231872735609E-02 a        71     0     3     1    21
 -1.9205285630209193E-01 a        72     0     3     1    22
 -9.8623093916932358E-02 a        73     0     3     1    23
 -1.5029933962765957E-01 a        74     0     3     1    24
 -4.7488072903694403E-02 a        75     0     3     1    25
  7.8599122009008773E-02 a        76     0     4     1     1
 -9.3214478940496753E-02 a        77     0     4     1     2
 -3.7504623124008679E-02 a        78     0     4     1     3
  5.8041257164305769E-02 a        79     0     4     1     4
 -4.2950889377292058E-03 a        80     0     4     1     5
 -6.9820677487719460E-02 a        81     0     4     1     6
  1.2864275455010857E-01 a        82     0     4     1     7
  6.5504828504884358E-02 a        83     0     4     1     8
  2.0461201357867654E-02 a        84     0     4     1     9
  2.2201603338837039E-02 a        85     0     4     1    10
 -3.8170573887783693E-02 a        86     0     4     1    11
  1.1097202556501341E-01 a        87     0     4     1    12
  3.1174639395426501E-02 a        88     0     4     1    13
 -5.5809754484229278E-02 a        89     0     4     1    14
 -5.3740618946006409E-02 a        90     0     4     1    15
 -6.6198907692459980E-02 a        91     0     4     1    16
 -7.2160996790266177E-02 a        92     0     4     1    17
  3.4289209298760483E-02 a        93     0     4     1    18
 -1.3726060991130035E-01 a        94     0     4     1    19
 -1.3030772652360884E-01 a        95     0     4     1    20
 -3.7258471631810008E-02 a        96     0     4     1    21
  6.3799811553773372E-02 a        97     0     4     1    22
 -1.5711692454272327E-01 a        98     0     4     1    23
 -1.9534495547113957E-02 a        99     0     4     1    24
 -2.5894608434789364E-02 a       100     0     4     1    25
  1.4470863512985760E-01 a       101     0     5     1     1
  4.3886375908009499E-02 a       102     0     5     1     2
 -1.4455651362370184E-01 a       103     0     5     1     3
 -1.0506809796497400E-01 a       104     0     5     1     4
  8.1953207092564512E-05 a       105     0     5     1     5
 -1.0095427051051915E-01 a       106     0     5     1     6
 -4.4325661336553135E-02 a       107     0     5     1     7
 -1.6924388525440201E-01 a       108     0     5     1     8
  1.3884790179091860E-01 a       109     0     5     1     9
 -1.8591023074381253E-02 a       110     0     5     1    10
 -3.9184688478821381E-02 a       111     0     5     1    11
 -1.0113695428924004E-01 a       112     0     5     1    12
  4.7779188935166701E-02 a       113     0     5     1    13
 -1.1611724996214823E-02 a       114     0     5     1    14
  4.7890258524180336E-02 a       115     0     5     1    15
  1.8193874328200127E-01 a       116     0     5     1    16
  1.2152983491169284E-01 a       117     0     5     1    17
  2.7548145238344642E-02 a       118     0     5     1    18
 -1.4041992897759906E-01 a       119     0     5     1    19
 -5.9520994222564960E-02 a       120     0     5     1    20
 -8.4500910979130983E-02 a       121     0     5     1    21
 -7.9201471447562927E-02 a       122     0     5     1    22
  7.1017560818494585E-02 a       123     0     5     1    23
 -1.0726895581376433E-01 a       124     0     5     1    24
 -7.9005042618147725E-02 a       125     0     5     1    25
 -1.0877906603760462E-01 a       126     0     6     1     1
  2.7233233587247288E-02 a       127     0     6     1     2
  2.9279978406877551E-02 a       128     0     6     1     3
  1.2473749969189291E-01 a       129     0     6     1     4
  1.4641968264079538E-01 a       130     0     6     1     5
 -7.9317895709571113E-03 a       131     0     6     1     6
 -6.0679894190678900E-03 a       132     0     6     1     7
  2.5707992553247350E-01 a       133     0     6     1     8
 -6.9791265778181514E-03 a       134     0     6     1     9
 -8.5884179586718217E-03 a       135     0     6     1    10
  1.4315826139315721E-01 a       136     0     6     1    11
 -8.3024015860579642E-02 a       137     0     6     1    12
  1.4460819299966529E-01 a       138     0     6     1    13
 -4.3166605050896915E-02 a       139     0     6     1    14
  1.2405357536170158E-01 a       140     0     6     1    15
 -1.1497452075237941E-01 a       141     0     6     1    16
 -3.9940873716171769E-02 a       142     0     6     1    17
 -3.2424545304689224E-02 a       143     0     6     1    18
  1.0902621834203355E-01 a       144     0     6     1    19
  1.0239534794235760E-02 a       145     0     6     1    20
 -4.9922746464112197E-02 a       146     0     6     1    21
  5.2527330382891813E-02 a       147     0     6     1    22
 -3.6775171976928776E-02 a       148     0     6     1    23
  2.3493207489828714E-02 a       149     0     6     1    24
 -4.9109220881588193E-02 a       150     0     6     1    25
 -6.7082701472368958E-02 a       151     0     7     1     1
 -5.1093647929379517E-02 a       152     0     7     1     2
 -3.8207294609849091E-02 a       153     0     7     1     3
 -7.1744267819191729E-02 a       154     0     7     1     4
  9.9220130040127100E-02 a       155     0     7     1     5
  8.8085235229980519E-02 a       156     0     7     1     6
 -8.9995813349136117E-02 a       157     0     7     1     7
  1.3001557603687099E-02 a       158     0     7     1     8
  3.7147100279409255E-02 a       159     0     7     1     9
  2.0807100954414025E-02 a       160     0     7     1    10
  1.6486365774909688E-02 a       161     0     7     1    11
  5.6206177835283838E-02 a       162     0     7     1    12
  1.6657378436199102E-02 a       163     0     7     1    13
 -1.5110165241218977E-02 a       164     0     7     1    14
 -7.8303571397781921E-02 a       165     0     7     1    15
  4.8194332348805290E-02 a       166     0     7     1    16
  2.8425469455231282E-02 a       167     0     7     1    17
 -5.6192794626050889E-02 a       168     0     7     1    18
 -5.1712778370535589E-02 a       169     0     7     1    19
 -2.3959489896685143E-02 a       170     0     7     1    20
 -8.4258409402613810E-02 a       171     0     7     1    21
  6.7471505622182543E-02 a       172     0     7     1    22
 -4.9385868500272941E-02 a       173     0     7     1    23
  8.9522393122167976E-02 a       174     0     7     1    24
  3.0662433204151261E-02 a       175     0     7     1    25
 -3.4659392587214885E-02 a       176     0     8     1     1
  5.3405148353936858E-02 a       177     0     8     1     2
  1.6435565788063419E-01 a       178     0     8     1     3
  4.0459056543604252E-02 a       179     0     8     1     4
  1.7343052985456942E-01 a       180     0     8     1     5
  9.5522578999722732E-02 a       181     0     8     1     6
 -4.9715858539565311E-02 a       182     0     8     1     7
 -7.9321756190401049E-02 a       183     0     8     1     8
  1.9747237484397637E-01 a       184     0     8     1     9
  4.4381996002638729E-02 a       185     0     8     1    10
  1.3142582845540612E-01 a       186     0     8     1    11
 -1.2234826178715195E-01 a       187     0     8     1    12
  1.9528535079163654E-02 a       188     0     8     1    13
 -8.4977381761311199E-02 a       189     0     8     1    14
  9.2150384064931770E-02 a       190     0     8     1    15
  8.7896688837906370E-02 a       191     0     8     1    16
 -5.6737707261558634E-02 a       192     0     8     1    17
 -2.1588627738584202E-03 a       193     0     8     1    18
 -3.7934052658046884E-02 a       194     0     8     1    19
  9.5340364706452588E-02 a       195     0     8     1    20
 -1.3819785312193489E-01 a       196     0     8     1    21
 -4.9594083111441825E-02 a       197     0     8     1    22
 -9.9635500515806025E-02 a       198     0     8     1    23
  1.7120836510041610E-02 a       199     0     8     1    24
 -2.1360250426128078E-02 a       200     0     8     1    25
 -8.1252203394269390E-02 a       201     0     9     1     1
 -5.7505619140188813E-02 a       202     0     9     1     2
  1.2873710327139376E-01 a       203     0     9     1     3
 -1.0408533840948694E-02 a       204     0     9     1     4
 -2.9035920709229859E-02 a       205     0     9     1     5
 -9.4807830185829306E-02 a       206     0     9     1     6
  1.5318131873177640E-02 a       207     0     9     1     7
 -2.0144574272880550E-02 a       208     0     9     1     8
  1.2468714884173858E-01 a       209     0     9     1     9
