################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.0611231096067963E-02 a         1     0     1     1     1
  1.5093377369644650E-01 a         2     0     1     1     2
  2.1874130609938716E-01 a         3     0     1     1     3
  4.5499931502600219E-02 a         4     0     1     1     4
  3.8575275898935107E-01 a         5     0     1     1     5
  4.6838201241771932E-02 a         6     0     1     1     6
 -9.1929511994292210E-02 a         7     0     1     1     7
 -1.1095868293006658E-01 a         8     0     1     1     8
  1.2819869740479520E-01 a         9     0     1     1     9
  2.5406313816129550E-01 a        10     0     1     1    10
  5.6169708782210372E-02 a        11     0     1     1    11
 -1.1508950675958110E-01 a        12     0     1     1    12
 -2.7800265953452530E-01 a        13     0     1     1    13
 -5.7633211558456604E-02 a        14     0     1     1    14
  2.1223153379921639E-01 a        15     0     1     1    15
 -2.4859088731608417E-01 a        16     0     1     1    16
  2.7965902223750899E-01 a        17     0     1     1    17
 -2.6872869812673944E-01 a        18     0     1     1    18
  4.7629098434132690E-02 a        19     0     1     1    19
  1.5331252462032002E-01 a        20     0     1     1    20
  1.6664725871640762E-01 a        21     0     1     1    21
 -1.2940990763425600E-02 a        22     0     1     1    22
  1.7196993550188822E-03 a        23     0     1     1    23
 -9.1460037760191376E-02 a        24     0     1     1    24
  1.0421516570632944E-01 a        25     0     1     1    25
 -2.8174916606707334E-01 a        26     0     2     1     1
 -1.1003144878979806E-01 a        27     0     2     1     2
 -2.2441213532819987E-01 a        28     0     2     1     3
  1.2837034681744933E-01 a        29     0     2     1     4
  1.8480545226726394E-01 a        30     0     2     1     5
  2.1192881832625129E-01 a        31     0     2     1     6
  3.5532623102933272E-02 a        32     0     2     1     7
  2.7468392062291119E-01 a        33     0     2     1     8
 -3.1204683333055477E-01 a        34     0     2     1     9
 -6.9849799789602623E-02 a        35     0     2     1    10
  2.6318493218969893E-02 a        36     0     2     1    11
 -3.1795659435144041E-01 a        37     0     2     1    12
  1.2114233265358629E-02 a        38     0     2     1    13
 -8.9032562013615438E-02 a        39     0     2     1    14
  4.4826484819281177E-02 a        40     0     2     1    15
  1.1665569316548658E-02 a        41     0     2     1    16
  1.4687376571331439E-02 a        42     0     2     1    17
  3.1348162822487834E-02 a        43     0     2     1    18
 -1.0739652383561284E-01 a        44     0     2     1    19
 -5.2039001801407664E-02 a        45     0     2     1    20
  1.0502528398321435E-04 a        46     0     2     1    21
  1.4492332342227549E-01 a        47     0     2     1    22
  2.6945503736425752E-01 a        48     0     2     1    23
 -1.6173002590701774E-01 a        49     0     2     1    24
 -2.6482838723061514E-01 a        50     0     2     1    25
 -8.7793668024880103E-02 a        51     0     3     1     1
 -3.3778079092254587E-01 a        52     0     3     1     2
  2.0548062116868384E-03 a        53     0     3     1     3
  7.2899232405931311E-02 a        54     0     3     1     4
 -9.9289901389111632E-02 a        55     0     3     1     5
  1.2598067593314724E-01 a        56     0     3     1     6
 -1.8430014665375816E-01 a        57     0     3     1     7
  2.2152022569091037E-01 a        58     0     3     1     8
  8.2317543551953601E-02 a        59     0     3     1     9
 -2.2233625723779814E-02 a        60     0     3     1    10
 -2.5301526178030161E-02 a        61     0     3     1    11
 -6.7234780795286844E-02 a        62     0     3     1    12
  6.8449591647537000E-02 a        63     0     3     1    13
  1.2573529098554434E-01 a        64     0     3     1    14
 -4.6222179093918722E-02 a        65     0     3     1    15
  2.7666702919661307E-01 a        66     0     3     1    16
  2.0051497704951088E-01 a        67     0     3     1    17
  9.4915087192499276E-02 a        68     0     3     1    18
 -1.9539150173427203E-01 a        69     0     3     1    19
  1.7729913023790199E-02 a        70     0     3     1    20
 -2.0099580847181006E-01 a        71     0     3     1    21
 -6.6382926745589002E-02 a        72     0     3     1    22
  1.5504780574845903E-01 a        73     0     3     1    23
 -1.4624147010196956E-01 a        74     0     3     1    24
 -2.7984482888122220E-01 a        75     0     3     1    25
  1.5683837810240110E-02 a        76     0     4     1     1
 -3.1263800302537159E-01 a        77     0     4     1     2
 -1.3581237819106532E-02 a        78     0     4     1     3
 -1.3731574537421906E-01 a        79     0     4     1     4
  5.9913260805471991E-02 a        80     0     4     1     5
  1.9976048299415444E-01 a        81     0     4     1     6
 -1.1235553623820538E-01 a        82     0     4     1     7
  2.0234052051443063E-01 a        83     0     4     1     8
  9.7689056698859342E-02 a        84     0     4     1     9
  2.6408544075498891E-01 a        85     0     4     1    10
 -8.7700803931607119E-02 a        86     0     4     1    11
  5.2684163605053382E-02 a        87     0     4     1    12
 -8.8274881182522746E-02 a        88     0     4     1    13
  2.1021995941332838E-01 a        89     0     4     1    14
  2.0653375093011146E-02 a        90     0     4     1    15
  3.2097628683761581E-01 a        91     0     4     1    16
  2.4586660490449264E-01 a        92     0     4     1    17
 -1.0395266627573180E-01 a        93     0     4     1    18
  9.3037206087371954E-02 a        94     0     4     1    19
 -8.5607826935990058E-03 a        95     0     4     1    20
 -7.2459060725576632E-02 a        96     0     4     1    21
 -1.5661388878943028E-02 a        97     0     4     1    22
  1.0907885741017946E-02 a        98     0     4     1    23
 -9.3441360240467272E-02 a        99     0     4     1    24
 -1.4998673432973034E-01 a       100     0     4     1    25
 -2.2519641312646299E-01 a       101     0     5     1     1
 -2.0010511098532954E-01 a       102     0     5     1     2
 -9.4559769328066826E-02 a       103     0     5     1     3
 -1.6369346422977704E-01 a       104     0     5     1     4
  4.2036672980288875E-02 a       105     0     5     1     5
 -7.9575940746838436E-02 a       106     0     5     1     6
  7.8163331871982156E-02 a       107     0     5     1     7
  3.9781308369617178E-02 a       108     0     5     1     8
 -1.4806547344311666E-01 a       109     0     5     1     9
  6.8799477397321257E-02 a       110     0     5     1    10
  6.6468717431006547E-02 a       111     0     5     1    11
 -6.1173504869747909E-02 a       112     0     5     1    12
  9.8801891173023355E-03 a       113     0     5     1    13
  2.1390619542824785E-01 a       114     0     5     1    14
 -5.8487867076301762E-02 a       115     0     5     1    15
  1.3610783940724064E-01 a       116     0     5     1    16
 -1.0450003448293146E-01 a       117     0     5     1    17
 -1.6684447506455136E-01 a       118     0     5     1    18
  4.7233182207748496E-03 a       119     0     5     1    19
  1.0721093808690947E-01 a       120     0     5     1    20
 -1.7827026434842608E-01 a       121     0     5     1    21
  3.5133850555956872E-02 a       122     0     5     1    22
 -1.6725957084184884E-01 a       123     0     5     1    23
 -1.3168153184732539E-01 a       124     0     5     1    24
  1.5779675846618591E-02 a       125     0     5     1    25
 -1.6705155361264373E-01 a       126     0     6     1     1
  2.8487426339694286E-02 a       127     0     6     1     2
 -5.9029287220615734E-02 a       128     0     6     1     3
  1.1783303580602106E-01 a       129     0     6     1     4
 -9.6188550257900005E-02 a       130     0     6     1     5
 -9.4774734298721547E-02 a       131     0     6     1     6
 -2.0536247498794888E-01 a       132     0     6     1     7
 -1.6347484697922438E-01 a       133     0     6     1     8
 -1.3498981468342861E-01 a       134     0     6     1     9
  1.2792396576243675E-01 a       135     0     6     1    10
  6.8645621427118664E-02 a       136     0     6     1    11
  1.2566801449386687E-02 a       137     0     6     1    12
  2.9275140512001144E-02 a       138     0     6     1    13
  1.3767312209179966E-01 a       139     0     6     1    14
  3.0874054397376820E-02 a       140     0     6     1    15
  6.4438251896535422E-03 a       141     0     6     1    16
 -4.3700230052471159E-02 a       142     0     6     1    17
  4.8525856371894778E-02 a       143     0     6     1    18
 -7.7828950526399349E-02 a       144     0     6     1    19
 -1.5814652014308400E-01 a       145     0     6     1    20
  2.2521889405081718E-02 a       146     0     6     1    21
  9.8149331571952325E-02 a       147     0     6     1    22
  2.4281743119979599E-01 a       148     0     6     1    23
  8.9266529960941976E-02 a       149     0     6     1    24
 -9.9392736236848758E-02 a       150     0     6     1    25
  6.3472884284978520E-02 a       151     0     7     1     1
 -1.4908633379319433E-01 a       152     0     7     1     2
  5.5288913002944001E-02 a       153     0     7     1     3
 -3.4818670873221408E-01 a       154     0     7     1     4
  1.3622976639403078E-01 a       155     0     7     1     5
  3.9033610791304740E-02 a       156     0     7     1     6
  1.1718009631250335E-01 a       157     0     7     1     7
 -7.8442580931857381E-02 a       158     0     7     1     8
  5.4079999817565741E-02 a       159     0     7     1     9
 -2.6983868722110793E-01 a       160     0     7     1    10
 -4.2448642586176016E-01 a       161     0     7     1    11
  1.3904142003186024E-01 a       162     0     7     1    12
 -2.9162293488307350E-01 a       163     0     7     1    13
  1.5999194942156617E-01 a       164     0     7     1    14
  2.6361866708978759E-01 a       165     0     7     1    15
  8.9438606176038035E-02 a       166     0     7     1    16
  3.3245220378261137E-01 a       167     0     7     1    17
 -2.8705063901651245E-01 a       168     0     7     1    18
  1.3501167435486539E-01 a       169     0     7     1    19
  1.7531837234051292E-01 a       170     0     7     1    20
 -1.3482945152960771E-01 a       171     0     7     1    21
  2.6672969500569543E-01 a       172     0     7     1    22
  1.0474489826566072E-01 a       173     0     7     1    23
 -1.1995119262901896E-01 a       174     0     7     1    24
  5.2209221047409171E-01 a       175     0     7     1    25
 -1.0868106915884687E-01 a       176     0     8     1     1
 -5.8221487274584691E-02 a       177     0     8     1     2
 -9.6194012268070062E-02 a       178     0     8     1     3
  2.9194480808030582E-02 a       179     0     8     1     4
  1.0740213209255313E-01 a       180     0     8     1     5
  2.6067037865123194E-01 a       181     0     8     1     6
  1.4237507116391293E-01 a       182     0     8     1     7
 -1.8009755659967683E-01 a       183     0     8     1     8
 -8.4274661754634633E-02 a       184     0     8     1     9
  9.5087112124680004E-02 a       185     0     8     1    10
  8.3897102425987274E-04 a       186     0     8     1    11
 -1.1792546986287691E-02 a       187     0     8     1    12
  2.7626927516874261E-01 a       188     0     8     1    13
 -3.8291474241864486E-02 a       189     0     8     1    14
 -3.0023055739654861E-03 a       190     0     8     1    15
 -4.1809044315962801E-02 a       191     0     8     1    16
 -1.9016109031479156E-01 a       192     0     8     1    17
  2.9832965251973742E-01 a       193     0     8     1    18
  2.4857070743492932E-01 a       194     0     8     1    19
  3.4804375299966293E-02 a       195     0     8     1    20
 -7.6668092581264030E-02 a       196     0     8     1    21
  3.8858133552551750E-02 a       197     0     8     1    22
 -1.0948342546690321E-01 a       198     0     8     1    23
  4.2477979066175231E-02 a       199     0     8     1    24
 -1.1413782656901413E-01 a       200     0     8     1    25
  5.2156829047120351E-02 a       201     0     9     1     1
  4.5685888508180388E-02 a       202     0     9     1     2
 -8.3758242957500811E-02 a       203     0     9     1     3
 -6.2524817911328676E-02 a       204     0     9     1     4
  1.0032987376031863E-01 a       205     0     9     1     5
 -8.8465711686742540E-02 a       206     0     9     1     6
 -4.5150935699925648E-02 a       207     0     9     1     7
  7.5558256804922855E-02 a       208     0     9     1     8
 -2.5017782612425915E-01 a       209     0     9     1     9
  1.6511687764310523E-01 a       210     0     9     1    10
  1.9887343823966078E-02 a       211     0     9     1    11
 -6.0301604352245568E-02 a       212     0     9     1    12
  1.0921795658212244E-01 a       213     0     9     1    13
 -1.6457512492001961E-02 a       214     0     9     1    14
 -1.0007010939660724E-01 a       215     0     9     1    15
 -1.3412163789808304E-01 a       216     0     9     1    16
  4.8696053357890581E-02 a       217     0     9     1    17
 -2.8454603892143502E-03 a       218     0     9     1    18
  1.8216375918274558E-03 a       219     0     9     1    19
  1.9283856054000641E-06 a       220     0     9     1    20
 -2.9283196968045582E-02 a       221     0     9     1    21
