################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.3721460819577230E-02 a         1     0     1     1     1
 -8.1157409205407493E-03 a         2     0     1     1     2
 -9.7289698882973064E-02 a         3     0     1     1     3
  2.6608856926540703E-01 a         4     0     1     1     4
 -3.7165004749481152E-02 a         5     0     1     1     5
 -1.7489435439689661E-02 a         6     0     1     1     6
  2.2104450972659895E-01 a         7     0     1     1     7
 -2.0329910581137403E-01 a         8     0     1     1     8
  1.5155473336345693E-01 a         9     0     1     1     9
  1.5510939995393763E-01 a        10     0     1     1    10
 -2.8227357731571028E-02 a        11     0     1     1    11
 -4.6084486641545369E-01 a        12     0     1     1    12
  1.2977214199736753E-01 a        13     0     1     1    13
  1.5633194576343268E-01 a        14     0     1     1    14
  1.5910444421901887E-01 a        15     0     1     1    15
  8.9763889598704197E-02 a        16     0     1     1    16
  1.5925661909284866E-01 a        17     0     1     1    17
 -1.4305156702356317E-01 a        18     0     1     1    18
  4.3943005886117759E-01 a        19     0     1     1    19
  5.3155899042310495E-02 a        20     0     1     1    20
  1.1571270322299877E-01 a        21     0     1     1    21
 -2.5001049213588139E-01 a        22     0     1     1    22
  2.0646635023511392E-01 a        23     0     1     1    23
  2.9224578051526090E-01 a        24     0     1     1    24
 -7.3017917173811037E-02 a        25     0     1     1    25
 -7.7669593943803739E-02 a        26     0     2     1     1
  1.0886641780929318E-01 a        27     0     2     1     2
  9.5009498062843659E-02 a        28     0     2     1     3
 -1.2699035528240352E-01 a        29     0     2     1     4
  2.4309007265754013E-02 a        30     0     2     1     5
  4.9376360436879946E-01 a        31     0     2     1     6
 -9.8635162394474438E-02 a        32     0     2     1     7
 -2.0857033921223203E-01 a        33     0     2     1     8
 -8.1362246115530557E-02 a        34     0     2     1     9
  3.9709553514945060E-02 a        35     0     2     1    10
 -4.4575687176737669E-02 a        36     0     2     1    11
  1.3274495038709555E-01 a        37     0     2     1    12
 -9.7340754036413166E-02 a        38     0     2     1    13
 -2.2395745209432419E-01 a        39     0     2     1    14
  3.8742223867725661E-02 a        40     0     2     1    15
 -1.8762627474656396E-01 a        41     0     2     1    16
  3.7588068386765656E-03 a        42     0     2     1    17
 -3.0236375498185652E-02 a        43     0     2     1    18
  4.1006151595074009E-02 a        44     0     2     1    19
  1.5028662975761939E-01 a        45     0     2     1    20
 -2.4220641210373056E-01 a        46     0     2     1    21
 -1.7364555918062646E-01 a        47     0     2     1    22
  1.0368258129604968E-01 a        48     0     2     1    23
 -4.3103197472119881E-02 a        49     0     2     1    24
  5.3118855719701062E-02 a        50     0     2     1    25
  1.5163523689894520E-01 a        51     0     3     1     1
 -1.0810426609690813E-02 a        52     0     3     1     2
 -4.9862038814728632E-01 a        53     0     3     1     3
 -1.0430040163020300E-03 a        54     0     3     1     4
 -3.1046452592738188E-01 a        55     0     3     1     5
 -3.4880161338677745E-02 a        56     0     3     1     6
  2.3239685976400016E-02 a        57     0     3     1     7
  1.9090965812767796E-01 a        58     0     3     1     8
  2.9794782681659354E-01 a        59     0     3     1     9
  2.4681175606844416E-01 a        60     0     3     1    10
 -7.7226712746197232E-02 a        61     0     3     1    11
 -3.5619797107312157E-01 a        62     0     3     1    12
  1.7277178372534341E-01 a        63     0     3     1    13
  3.0813537372577193E-01 a        64     0     3     1    14
  3.9551617050151019E-02 a        65     0     3     1    15
  4.8211714664764266E-01 a        66     0     3     1    16
  2.0294674098271553E-01 a        67     0     3     1    17
 -2.1425824970419230E-01 a        68     0     3     1    18
  1.7008045338545691E-01 a        69     0     3     1    19
 -1.0152180938075547E-01 a        70     0     3     1    20
 -1.0028161679226118E-01 a        71     0     3     1    21
  5.6338261600383469E-03 a        72     0     3     1    22
  6.9298330932425671E-03 a        73     0     3     1    23
  2.3767293993391481E-01 a        74     0     3     1    24
 -3.7349145935843925E-01 a        75     0     3     1    25
  1.8829187351110341E-01 a        76     0     4     1     1
 -3.7633822539058094E-02 a        77     0     4     1     2
 -2.5153092327427856E-01 a        78     0     4     1     3
  5.1520557565196870E-02 a        79     0     4     1     4
  1.1973273708118089E-01 a        80     0     4     1     5
  2.2373381690443299E-03 a        81     0     4     1     6
  2.6091116175909285E-01 a        82     0     4     1     7
  1.2578613523865903E-01 a        83     0     4     1     8
  2.5786996447926612E-02 a        84     0     4     1     9
  3.4490428204254277E-02 a        85     0     4     1    10
 -1.0809045963760423E-01 a        86     0     4     1    11
 -4.2274372963538587E-02 a        87     0     4     1    12
  1.3288048929340068E-01 a        88     0     4     1    13
  1.3499481851423284E-01 a        89     0     4     1    14
  1.2324207163792814E-01 a        90     0     4     1    15
  1.8900120940325482E-01 a        91     0     4     1    16
 -9.5708492482800833E-02 a        92     0     4     1    17
 -1.9203960691316566E-01 a        93     0     4     1    18
  1.2757458961680129E-01 a        94     0     4     1    19
  2.3219922512568109E-01 a        95     0     4     1    20
 -1.3142599410488806E-01 a        96     0     4     1    21
 -8.7424455498304569E-03 a        97     0     4     1    22
  2.7654405514475493E-02 a        98     0     4     1    23
 -3.7333948063566325E-02 a        99     0     4     1    24
 -1.8305622244419265E-01 a       100     0     4     1    25
  6.6081005929080033E-02 a       101     0     5     1     1
 -1.1190407298075104E-01 a       102     0     5     1     2
 -3.6131583658371436E-01 a       103     0     5     1     3
 -7.4458106450582304E-02 a       104     0     5     1     4
 -1.3682715784357571E-01 a       105     0     5     1     5
 -1.6969305808643453E-01 a       106     0     5     1     6
  1.3531629960799826E-01 a       107     0     5     1     7
  8.8630371551132223E-02 a       108     0     5     1     8
 -3.2255755155463961E-01 a       109     0     5     1     9
 -4.8797132562836396E-02 a       110     0     5     1    10
  1.5973253003574509E-01 a       111     0     5     1    11
 -7.3968916797972168E-03 a       112     0     5     1    12
  1.3575138123893504E-01 a       113     0     5     1    13
 -2.2739294013622460E-01 a       114     0     5     1    14
  1.3952309344318667E-01 a       115     0     5     1    15
 -4.6471933696805683E-02 a       116     0     5     1    16
 -2.6069200955682010E-02 a       117     0     5     1    17
