################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.4650804812888949E-02 a         1     0     1     1     1
  4.5563208355715756E-02 a         2     0     1     1     2
  4.7793649733535754E-02 a         3     0     1     1     3
  8.7150479119778551E-02 a         4     0     1     1     4
 -1.2539959239810185E-02 a         5     0     1     1     5
 -4.7112686251668319E-02 a         6     0     1     1     6
  1.1756798496535313E-01 a         7     0     1     1     7
  1.3208869690198266E-02 a         8     0     1     1     8
  1.2959904731317523E-01 a         9     0     1     1     9
 -1.0276834850637076E-01 a        10     0     1     1    10
 -1.1188511243899403E-01 a        11     0     1     1    11
 -3.0782768631072023E-02 a        12     0     1     1    12
 -5.8324179607620222E-02 a        13     0     1     1    13
 -1.1367012375990758E-01 a        14     0     1     1    14
  2.1043573561274412E-02 a        15     0     1     1    15
 -5.2806318454179844E-02 a        16     0     1     1    16
 -1.8641273234701907E-02 a        17     0     1     1    17
  8.2465781695430382E-02 a        18     0     1     1    18
 -1.0464120139341203E-01 a        19     0     1     1    19
 -2.0197517599409246E-02 a        20     0     1     1    20
 -9.6212560408340253E-02 a        21     0     1     1    21
  7.7294419769674022E-02 a        22     0     1     1    22
 -1.2050187168705031E-02 a        23     0     1     1    23
 -6.1769835062085408E-02 a        24     0     1     1    24
  1.1838664374098154E-01 a        25     0     1     1    25
 -1.6070031353277678E-01 a        26     0     2     1     1
  4.4465210936416706E-02 a        27     0     2     1     2
  6.6094177680454960E-02 a        28     0     2     1     3
  7.5289037406318336E-03 a        29     0     2     1     4
  2.3305232176413751E-01 a        30     0     2     1     5
  2.0565531332861200E-01 a        31     0     2     1     6
  1.5118534339632508E-01 a        32     0     2     1     7
 -8.1427032993149864E-02 a        33     0     2     1     8
 -1.7095204198728198E-01 a        34     0     2     1     9
 -1.5234854375108833E-01 a        35     0     2     1    10
 -3.1658708684868780E-02 a        36     0     2     1    11
  9.1339268895236858E-02 a        37     0     2     1    12
 -2.9783239081255580E-01 a        38     0     2     1    13
 -1.8504824219657046E-02 a        39     0     2     1    14
  4.1424897871985097E-02 a        40     0     2     1    15
