################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.2783151915846211E-01 a         1     0     1     1     1
  5.5209662111796759E-02 a         2     0     1     1     2
 -1.3536435026953747E-01 a         3     0     1     1     3
  1.1474551545006843E-01 a         4     0     1     1     4
 -1.7315185824355778E-02 a         5     0     1     1     5
 -6.5484030771234408E-02 a         6     0     1     1     6
 -7.6655616661929410E-02 a         7     0     1     1     7
 -5.3372903573696076E-02 a         8     0     1     1     8
 -3.7917986575700488E-02 a         9     0     1     1     9
  6.8549814344156079E-02 a        10     0     1     1    10
 -2.4261219365466137E-02 a        11     0     1     1    11
 -2.8367394567188713E-02 a        12     0     1     1    12
 -6.7180732825943876E-02 a        13     0     1     1    13
 -6.1858821832107853E-03 a        14     0     1     1    14
  7.9552008469834470E-02 a        15     0     1     1    15
  1.6754573347108934E-02 a        16     0     1     1    16
 -1.0584950256934027E-01 a        17     0     1     1    17
  1.2326283597411482E-01 a        18     0     1     1    18
 -7.7010028296659497E-02 a        19     0     1     1    19
  6.9069733813703377E-02 a        20     0     1     1    20
  8.1651890953109263E-02 a        21     0     1     1    21
  6.2795743876425100E-02 a        22     0     1     1    22
 -9.4992889369618930E-02 a        23     0     1     1    23
  1.1056376123118641E-01 a        24     0     1     1    24
 -9.7845798698038083E-02 a        25     0     1     1    25
 -6.0770108623964973E-02 a        26     0     2     1     1
  4.2146765231331956E-02 a        27     0     2     1     2
  2.4465294959763028E-02 a        28     0     2     1     3
  1.3060714525641060E-01 a        29     0     2     1     4
 -7.4560180933305548E-02 a        30     0     2     1     5
 -1.1900933469999285E-01 a        31     0     2     1     6
  1.0838994485525671E-01 a        32     0     2     1     7
 -5.5794777204251605E-02 a        33     0     2     1     8
  4.0926625064509226E-02 a        34     0     2     1     9
 -1.3166612691669397E-01 a        35     0     2     1    10
  3.6422955674898658E-02 a        36     0     2     1    11
  1.8682036449729055E-02 a        37     0     2     1    12
 -1.0689235303896813E-01 a        38     0     2     1    13
  2.2992102454054343E-02 a        39     0     2     1    14
 -3.9481422938582741E-02 a        40     0     2     1    15
 -7.4141307942143464E-02 a        41     0     2     1    16
  1.2036822199627251E-01 a        42     0     2     1    17
  9.5260328263547397E-02 a        43     0     2     1    18
  9.0739893884825784E-02 a        44     0     2     1    19
 -2.7485737641143686E-02 a        45     0     2     1    20
 -6.8689822628619751E-02 a        46     0     2     1    21
 -3.2623846562686035E-02 a        47     0     2     1    22
  7.9682268630622846E-02 a        48     0     2     1    23
  1.0472917874915026E-01 a        49     0     2     1    24
 -2.8260718299091803E-01 a        50     0     2     1    25
  5.6901919059837297E-02 a        51     0     3     1     1
  3.1907344462577342E-02 a        52     0     3     1     2
 -6.5249706683864442E-02 a        53     0     3     1     3
  1.6935162622632505E-01 a        54     0     3     1     4
  6.4947880541179198E-02 a        55     0     3     1     5
 -5.3915988158468632E-02 a        56     0     3     1     6
 -1.6199135638058579E-01 a        57     0     3     1     7
  3.0252830930772572E-02 a        58     0     3     1     8
 -4.9994211435648356E-04 a        59     0     3     1     9
  9.9995536140360469E-02 a        60     0     3     1    10
 -1.2654901773084479E-01 a        61     0     3     1    11
  4.1793522914287014E-03 a        62     0     3     1    12
  2.1351084853669319E-02 a        63     0     3     1    13
  9.6550322865961755E-02 a        64     0     3     1    14
  1.0493687584831032E-01 a        65     0     3     1    15
  4.7045144025182256E-02 a        66     0     3     1    16
 -1.9139176515294770E-01 a        67     0     3     1    17
  4.0206800654580890E-02 a        68     0     3     1    18
 -6.5171423715530349E-02 a        69     0     3     1    19
 -7.8008403472497545E-02 a        70     0     3     1    20
  1.8948119853121678E-01 a        71     0     3     1    21
  1.4896854132169471E-01 a        72     0     3     1    22
 -1.1445989230864473E-01 a        73     0     3     1    23
  4.6748422654831881E-02 a        74     0     3     1    24
  9.4138802327103727E-02 a        75     0     3     1    25
  1.2973640435433731E-01 a        76     0     4     1     1
 -8.9430118549972154E-02 a        77     0     4     1     2
 -1.0312723037543904E-01 a        78     0     4     1     3
 -7.5379976985284244E-02 a        79     0     4     1     4
 -1.1727678722976503E-02 a        80     0     4     1     5
 -5.4170476560483377E-02 a        81     0     4     1     6
 -9.3027108902224612E-02 a        82     0     4     1     7
  1.8976317943844662E-02 a        83     0     4     1     8
  5.9904417986847688E-02 a        84     0     4     1     9
  3.0127764805139325E-02 a        85     0     4     1    10
 -3.9115965656943080E-01 a        86     0     4     1    11
 -4.0174106651706669E-02 a        87     0     4     1    12
 -1.1579717200611785E-01 a        88     0     4     1    13
  5.9635845235437640E-03 a        89     0     4     1    14
  2.3240716950398681E-02 a        90     0     4     1    15
 -3.9368352167850298E-02 a        91     0     4     1    16
 -6.3179671961275899E-02 a        92     0     4     1    17
 -1.2411191132195611E-01 a        93     0     4     1    18
  1.1796977998787517E-01 a        94     0     4     1    19
 -6.9971046858927105E-02 a        95     0     4     1    20
  1.8466390280928022E-01 a        96     0     4     1    21
 -5.5625741705711398E-02 a        97     0     4     1    22
 -2.9216004636201726E-01 a        98     0     4     1    23
  8.0597700044421516E-02 a        99     0     4     1    24
  2.5248526129394166E-02 a       100     0     4     1    25
  1.5591833096335037E-01 a       101     0     5     1     1
 -5.1196600481031695E-02 a       102     0     5     1     2
 -1.2404047403957853E-01 a       103     0     5     1     3
 -2.7060873005251444E-02 a       104     0     5     1     4
 -1.1356616713794919E-01 a       105     0     5     1     5
  2.5356662207176084E-01 a       106     0     5     1     6
  8.8910399672644136E-02 a       107     0     5     1     7
  1.9023982120050093E-02 a       108     0     5     1     8
 -8.7160552551436898E-02 a       109     0     5     1     9
  2.0617970896869170E-01 a       110     0     5     1    10
 -2.9001083762184332E-01 a       111     0     5     1    11
  3.8873397390894300E-02 a       112     0     5     1    12
  1.5060821689395121E-01 a       113     0     5     1    13
  1.2942641697239526E-01 a       114     0     5     1    14
  3.7292853347508953E-02 a       115     0     5     1    15
  1.4327435167639177E-01 a       116     0     5     1    16
 -2.9381374609658745E-02 a       117     0     5     1    17
 -4.5921783731599046E-02 a       118     0     5     1    18
 -6.7811998398381087E-03 a       119     0     5     1    19
 -7.3442163657039650E-02 a       120     0     5     1    20
 -9.1939211432137111E-02 a       121     0     5     1    21
 -1.0767466677750764E-01 a       122     0     5     1    22
 -1.5747207352373109E-02 a       123     0     5     1    23
  1.7141860081227717E-02 a       124     0     5     1    24
  1.1100205550148151E-01 a       125     0     5     1    25
  8.9904006671127648E-02 a       126     0     6     1     1
 -3.2695244998230052E-02 a       127     0     6     1     2
  2.7907456283116125E-02 a       128     0     6     1     3
 -4.5955215369774177E-02 a       129     0     6     1     4
 -7.3970387571821394E-02 a       130     0     6     1     5
 -1.2406198354822612E-01 a       131     0     6     1     6
 -1.0806167275522857E-01 a       132     0     6     1     7
  1.0950937424568619E-02 a       133     0     6     1     8
  8.8587483275105974E-02 a       134     0     6     1     9
  1.8669264291225951E-02 a       135     0     6     1    10
  1.0977147640870182E-01 a       136     0     6     1    11
  7.0787809285961470E-02 a       137     0     6     1    12
  7.3058921671225699E-02 a       138     0     6     1    13
 -5.2786886943145990E-02 a       139     0     6     1    14
  2.0057353283176631E-02 a       140     0     6     1    15
 -4.9628874868624349E-03 a       141     0     6     1    16
