################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.0780069510136649E-01 a         1     0     1     1     1
 -6.7640252693019917E-02 a         2     0     1     1     2
  1.1547408915176373E-01 a         3     0     1     1     3
 -3.3272786228520973E-01 a         4     0     1     1     4
 -1.0502231242554452E-01 a         5     0     1     1     5
 -1.4641484544792025E-02 a         6     0     1     1     6
  5.1960867031132563E-01 a         7     0     1     1     7
 -2.4586650637338203E-01 a         8     0     1     1     8
 -1.3773097120017716E-01 a         9     0     1     1     9
  5.9263372581225063E-02 a        10     0     1     1    10
 -1.0647014191036008E-01 a        11     0     1     1    11
  1.7619583968386887E-01 a        12     0     1     1    12
 -6.0403576773525473E-02 a        13     0     1     1    13
  1.7694600830547186E-01 a        14     0     1     1    14
  1.7921289426728421E-01 a        15     0     1     1    15
 -2.0218641998422185E-01 a        16     0     1     1    16
  1.1049171447969605E-01 a        17     0     1     1    17
 -6.3212543125613307E-02 a        18     0     1     1    18
 -7.9521822938871375E-02 a        19     0     1     1    19
 -2.4230999228750613E-01 a        20     0     1     1    20
  5.1252917459119911E-02 a        21     0     1     1    21
 -4.6361868053371336E-02 a        22     0     1     1    22
  1.7786894033078682E-01 a        23     0     1     1    23
 -3.5778910444450313E-01 a        24     0     1     1    24
  3.6563665912628435E-01 a        25     0     1     1    25
  6.7527993403162928E-02 a        26     0     2     1     1
 -4.3581028711630626E-01 a        27     0     2     1     2
 -6.6169124838760107E-01 a        28     0     2     1     3
 -6.1165756292505413E-01 a        29     0     2     1     4
 -1.2466924447069377E-01 a        30     0     2     1     5
  4.6024692178806353E-01 a        31     0     2     1     6
  2.4659698780565170E-01 a        32     0     2     1     7
 -4.2765012993147189E-01 a        33     0     2     1     8
  2.4268894978237355E-02 a        34     0     2     1     9
  9.0494914520195230E-02 a        35     0     2     1    10
 -1.5477764192269935E-01 a        36     0     2     1    11
 -2.5585839423138512E-01 a        37     0     2     1    12
  4.2579068869598768E-01 a        38     0     2     1    13
  2.8506508070037423E-01 a        39     0     2     1    14
 -5.1142269262797357E-01 a        40     0     2     1    15
  4.1137643292385356E-01 a        41     0     2     1    16
 -3.9224195045621968E-01 a        42     0     2     1    17
  2.6375118517602503E-01 a        43     0     2     1    18
 -1.1566956528125373E-01 a        44     0     2     1    19
 -5.7339096526123901E-04 a        45     0     2     1    20
  5.3095903882982809E-01 a        46     0     2     1    21
 -1.3622628309495344E-03 a        47     0     2     1    22
  3.1630823413701192E-01 a        48     0     2     1    23
 -5.4386876690019681E-01 a        49     0     2     1    24
 -5.4716775760888436E-01 a        50     0     2     1    25
 -7.5014617699804909E-01 a        51     0     3     1     1
  4.6666954507723263E-01 a        52     0     3     1     2
  2.7244651324924523E-02 a        53     0     3     1     3
 -3.3532637236339466E-03 a        54     0     3     1     4
 -2.3958816515735679E-01 a        55     0     3     1     5
 -6.9061009380262911E-02 a        56     0     3     1     6
  5.4195187140730305E-01 a        57     0     3     1     7
 -3.6804366011971079E-01 a        58     0     3     1     8
 -5.7371317132195998E-01 a        59     0     3     1     9
 -1.0279774176364954E-01 a        60     0     3     1    10
 -5.3110243910817506E-02 a        61     0     3     1    11
  3.0519268273231520E-01 a        62     0     3     1    12
 -4.6148147668703854E-01 a        63     0     3     1    13
  2.4749132640444088E-01 a        64     0     3     1    14
  4.5152716202613286E-01 a        65     0     3     1    15
 -3.7526214938867225E-01 a        66     0     3     1    16
  1.7023251492368668E-01 a        67     0     3     1    17
 -1.2436546410810938E-01 a        68     0     3     1    18
  6.9960307221520815E-02 a        69     0     3     1    19
 -4.6219619695736852E-01 a        70     0     3     1    20
 -4.3526791858729236E-02 a        71     0     3     1    21
  4.9797427330257782E-01 a        72     0     3     1    22
 -2.0950544138810048E-02 a        73     0     3     1    23
 -2.6421705966010711E-01 a        74     0     3     1    24
  5.8601132484786633E-01 a        75     0     3     1    25
 -5.2075124666430009E-02 a        76     0     4     1     1
  3.7778079512447982E-01 a        77     0     4     1     2
  2.6972949007002722E-01 a        78     0     4     1     3
  2.1580006351321113E-01 a        79     0     4     1     4
  7.9981711056303084E-02 a        80     0     4     1     5
 -2.3422786465334997E-01 a        81     0     4     1     6
  1.2521216929799328E-01 a        82     0     4     1     7
  2.6320107271544729E-01 a        83     0     4     1     8
 -6.1993812653824393E-02 a        84     0     4     1     9
  2.6714115721134674E-01 a        85     0     4     1    10
 -1.0670738151715002E-02 a        86     0     4     1    11
  1.7222648954632283E-01 a        87     0     4     1    12
  1.2052399303777452E-01 a        88     0     4     1    13
 -4.7339505536816193E-02 a        89     0     4     1    14
  1.5049196921261007E-01 a        90     0     4     1    15
  2.3521512634296590E-01 a        91     0     4     1    16
  6.9614306300912712E-02 a        92     0     4     1    17
 -7.1001607866814339E-03 a        93     0     4     1    18
  2.0370147107265618E-01 a        94     0     4     1    19
 -1.6800332150423641E-01 a        95     0     4     1    20
  3.2573714093823399E-03 a        96     0     4     1    21
 -1.5921729370563437E-01 a        97     0     4     1    22
 -1.2686783038574348E-01 a        98     0     4     1    23
 -1.6148042381967742E-01 a        99     0     4     1    24
  1.4996841000470081E-02 a       100     0     4     1    25
 -6.4747331054707369E-01 a       101     0     5     1     1
 -3.6304074933759457E-02 a       102     0     5     1     2
  7.1415067185287473E-01 a       103     0     5     1     3
  1.4502507009068866E-01 a       104     0     5     1     4
  3.6444862201941269E-01 a       105     0     5     1     5
 -1.9149531250450816E-01 a       106     0     5     1     6
