################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.5405676045835470E-03 a         1     0     1     1     1
 -1.1565510588563030E-01 a         2     0     1     1     2
 -1.0357322755530315E-01 a         3     0     1     1     3
  7.2613710242573307E-02 a         4     0     1     1     4
 -8.5562257103496756E-02 a         5     0     1     1     5
 -1.3753958346180350E-03 a         6     0     1     1     6
 -2.8291699036994168E-04 a         7     0     1     1     7
  3.7069001323547145E-02 a         8     0     1     1     8
  1.3424576868586843E-01 a         9     0     1     1     9
 -6.4174415075705288E-02 a        10     0     1     1    10
 -1.0441025465912829E-01 a        11     0     1     1    11
  1.4316948628550505E-01 a        12     0     1     1    12
 -1.1177294407689528E-01 a        13     0     1     1    13
 -1.6047546051455711E-01 a        14     0     1     1    14
  2.1968918078968280E-01 a        15     0     1     1    15
  2.2257883578084316E-02 a        16     0     1     1    16
  1.6011943025095180E-02 a        17     0     1     1    17
  9.8356746208129384E-02 a        18     0     1     1    18
 -5.4272541758581754E-02 a        19     0     1     1    19
  1.1084510340511501E-02 a        20     0     1     1    20
  4.3767844883288408E-02 a        21     0     1     1    21
  1.3696887525729026E-01 a        22     0     1     1    22
 -2.0031778072128500E-01 a        23     0     1     1    23
  1.0799709136598045E-02 a        24     0     1     1    24
  1.3019276803335547E-01 a        25     0     1     1    25
  6.2365443657850059E-02 a        26     0     2     1     1
  6.2216067788816137E-02 a        27     0     2     1     2
  3.0182208860457214E-02 a        28     0     2     1     3
  1.2096819760376801E-01 a        29     0     2     1     4
  6.4442405288585483E-02 a        30     0     2     1     5
 -7.5518289372087710E-02 a        31     0     2     1     6
  1.3833469547729432E-02 a        32     0     2     1     7
  3.1113594405562509E-02 a        33     0     2     1     8
 -1.3762789705605671E-01 a        34     0     2     1     9
 -1.7084218229367515E-01 a        35     0     2     1    10
 -5.1137335160555811E-02 a        36     0     2     1    11
 -7.1924607530186993E-02 a        37     0     2     1    12
  7.8780680746734624E-02 a        38     0     2     1    13
  7.2996395664906025E-02 a        39     0     2     1    14
 -3.0705705220973674E-03 a        40     0     2     1    15
 -7.4181906254799493E-02 a        41     0     2     1    16
 -1.1328365824004133E-01 a        42     0     2     1    17
 -7.5368551086024485E-02 a        43     0     2     1    18
 -6.0963066788501656E-02 a        44     0     2     1    19
 -2.5746539327304203E-02 a        45     0     2     1    20
  6.2021214655055813E-02 a        46     0     2     1    21
  1.5061152308230076E-02 a        47     0     2     1    22
  1.1743713695590817E-01 a        48     0     2     1    23
 -1.2012748825784170E-01 a        49     0     2     1    24
 -5.4287206680010844E-02 a        50     0     2     1    25
  6.1260284227203754E-02 a        51     0     3     1     1
 -1.2552303684770937E-02 a        52     0     3     1     2
  8.9054022801044949E-02 a        53     0     3     1     3
  1.2354462114411691E-01 a        54     0     3     1     4
 -1.2059105760058210E-01 a        55     0     3     1     5
  1.2244219064378423E-01 a        56     0     3     1     6
 -8.1630900276554216E-02 a        57     0     3     1     7
 -5.3111177266438887E-02 a        58     0     3     1     8
 -5.2991188289205252E-02 a        59     0     3     1     9
 -2.9787003151697074E-02 a        60     0     3     1    10
  1.0503587907462208E-01 a        61     0     3     1    11
  1.3337694290703977E-01 a        62     0     3     1    12
  8.3899510618421352E-02 a        63     0     3     1    13
 -5.7927826639874364E-02 a        64     0     3     1    14
  1.2998877924900415E-01 a        65     0     3     1    15
  2.3086697157526984E-01 a        66     0     3     1    16
  1.3269053037287470E-01 a        67     0     3     1    17
  1.0054478384990663E-01 a        68     0     3     1    18
 -4.0723274077731443E-02 a        69     0     3     1    19
  1.4275753102315472E-01 a        70     0     3     1    20
 -3.1332614866898700E-01 a        71     0     3     1    21
  1.8748063973112541E-01 a        72     0     3     1    22
  3.8180668802328357E-02 a        73     0     3     1    23
  1.0976477511468871E-01 a        74     0     3     1    24
 -1.2922849836797476E-01 a        75     0     3     1    25
  1.8450619971921091E-03 a        76     0     4     1     1
  5.9753657345004478E-02 a        77     0     4     1     2
 -3.6451329884771240E-02 a        78     0     4     1     3
  1.4865489255790224E-01 a        79     0     4     1     4
  6.0575845548718886E-02 a        80     0     4     1     5
 -5.4320296596331301E-02 a        81     0     4     1     6
  1.5978518861222257E-02 a        82     0     4     1     7
  2.9362436187921261E-02 a        83     0     4     1     8
 -7.2216161306998594E-02 a        84     0     4     1     9
 -2.9132312511959374E-01 a        85     0     4     1    10
 -1.3015311492736592E-01 a        86     0     4     1    11
 -1.0990385143262700E-01 a        87     0     4     1    12
 -9.9364404985169630E-02 a        88     0     4     1    13
 -4.4916709014402215E-02 a        89     0     4     1    14
  1.0595861764945322E-01 a        90     0     4     1    15
  1.6839783850351928E-01 a        91     0     4     1    16
 -8.4658547949458735E-02 a        92     0     4     1    17
  9.7787625677804954E-02 a        93     0     4     1    18
  1.3439063575294508E-01 a        94     0     4     1    19
  1.4742440713531282E-01 a        95     0     4     1    20
  1.2425469620870006E-01 a        96     0     4     1    21
 -1.8272637225816159E-02 a        97     0     4     1    22
 -4.5524028922140185E-02 a        98     0     4     1    23
  1.1246319091624114E-02 a        99     0     4     1    24
  7.6019215091106072E-03 a       100     0     4     1    25
 -3.7873474425003856E-02 a       101     0     5     1     1
 -5.3278472151980109E-02 a       102     0     5     1     2
 -3.5428805805939129E-02 a       103     0     5     1     3
 -1.2867577560625442E-02 a       104     0     5     1     4
 -8.2115771021321060E-02 a       105     0     5     1     5
 -1.1577278661849748E-01 a       106     0     5     1     6
 -1.6003615802413348E-01 a       107     0     5     1     7
 -1.0625253548917321E-01 a       108     0     5     1     8
