################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  8.7986588093179982E-02 a         1     0     1     1     1
  1.0610176601140331E-02 a         2     0     1     1     2
 -6.5921229919748511E-02 a         3     0     1     1     3
  4.9719862186283256E-02 a         4     0     1     1     4
  2.5483052514271225E-02 a         5     0     1     1     5
 -2.0876261357729475E-02 a         6     0     1     1     6
  9.2290300553784562E-03 a         7     0     1     1     7
  8.0636166279802107E-02 a         8     0     1     1     8
  9.5650763534717423E-02 a         9     0     1     1     9
  1.2328379131520580E-01 a        10     0     1     1    10
  1.2545844185826216E-01 a        11     0     1     1    11
 -1.9336099954060998E-03 a        12     0     1     1    12
  6.9767606727242609E-02 a        13     0     1     1    13
  3.9743927732699948E-02 a        14     0     1     1    14
  1.4082669715692336E-01 a        15     0     1     1    15
  5.5330177983012201E-02 a        16     0     1     1    16
  9.5426093923347541E-02 a        17     0     1     1    17
  6.4670095091110519E-02 a        18     0     1     1    18
 -9.0167102523825760E-02 a        19     0     1     1    19
  5.4948860247704165E-02 a        20     0     1     1    20
  2.5033565998891585E-02 a        21     0     1     1    21
 -2.2983869168310092E-02 a        22     0     1     1    22
 -5.0311671924394528E-02 a        23     0     1     1    23
  8.3470370183103659E-02 a        24     0     1     1    24
  3.3349333719598265E-02 a        25     0     1     1    25
  5.9883178632429875E-03 a        26     0     2     1     1
  4.5497794773547200E-02 a        27     0     2     1     2
 -3.8376942242970787E-02 a        28     0     2     1     3
  1.1941116575967682E-01 a        29     0     2     1     4
  2.1722974331053566E-02 a        30     0     2     1     5
 -1.8668257970149545E-02 a        31     0     2     1     6
  5.2697707072116184E-02 a        32     0     2     1     7
 -1.6915872050221135E-03 a        33     0     2     1     8
  6.4388949517761682E-02 a        34     0     2     1     9
  1.6063977891296288E-01 a        35     0     2     1    10
  9.3334678114608965E-02 a        36     0     2     1    11
  6.7395364965407850E-02 a        37     0     2     1    12
 -7.1396911371052960E-02 a        38     0     2     1    13
  6.5778834833792418E-02 a        39     0     2     1    14
  1.4914965937726843E-01 a        40     0     2     1    15
  7.8671001759332865E-02 a        41     0     2     1    16
  3.3025006618377747E-02 a        42     0     2     1    17
  6.3421132504714959E-03 a        43     0     2     1    18
 -5.5512128186065143E-02 a        44     0     2     1    19
 -1.5290289105961996E-02 a        45     0     2     1    20
