################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.0481773673814106E-01 a         1     0     1     1     1
 -2.4767981276493983E-01 a         2     0     1     1     2
  2.4221951684637905E-01 a         3     0     1     1     3
 -9.9665788987003914E-02 a         4     0     1     1     4
  6.4021342174377577E-02 a         5     0     1     1     5
 -4.0121000278372433E-02 a         6     0     1     1     6
 -1.6327574524958310E-01 a         7     0     1     1     7
  7.5916758132520468E-02 a         8     0     1     1     8
  2.0906872180268971E-01 a         9     0     1     1     9
 -4.5041862618299802E-02 a        10     0     1     1    10
 -7.0866554114277364E-02 a        11     0     1     1    11
 -8.1391873688740193E-02 a        12     0     1     1    12
 -2.8530716287642482E-01 a        13     0     1     1    13
 -1.3020503728375302E-01 a        14     0     1     1    14
  1.0217469675329900E-01 a        15     0     1     1    15
  2.2633143056497243E-01 a        16     0     1     1    16
 -1.6562118027945588E-01 a        17     0     1     1    17
  2.7297629471352858E-01 a        18     0     1     1    18
  7.0275339330912248E-02 a        19     0     1     1    19
  5.5319026743681887E-02 a        20     0     1     1    20
  6.6979664365047528E-02 a        21     0     1     1    21
 -2.6288050031225435E-01 a        22     0     1     1    22
  2.0010027400285419E-04 a        23     0     1     1    23
  1.6412927537317656E-01 a        24     0     1     1    24
  2.2076756673315820E-01 a        25     0     1     1    25
  6.1947362220016795E-02 a        26     0     2     1     1
 -2.1327334894044592E-02 a        27     0     2     1     2
 -1.0559279156300275E-01 a        28     0     2     1     3
  2.0524193023292686E-01 a        29     0     2     1     4
  3.2369427394760525E-01 a        30     0     2     1     5
 -1.0631920404920718E-02 a        31     0     2     1     6
 -1.7056464416285812E-02 a        32     0     2     1     7
 -1.6557745079223801E-01 a        33     0     2     1     8
  5.4589681245335794E-02 a        34     0     2     1     9
 -8.8902959761876399E-02 a        35     0     2     1    10
 -1.9503343341798454E-01 a        36     0     2     1    11
  1.5348918751030141E-01 a        37     0     2     1    12
  1.9189963353481752E-02 a        38     0     2     1    13
 -4.4869283027803145E-02 a        39     0     2     1    14
  1.3736802161971873E-01 a        40     0     2     1    15
  2.2291169767848926E-01 a        41     0     2     1    16
 -2.7746029111332399E-01 a        42     0     2     1    17
 -3.3618555694959740E-01 a        43     0     2     1    18
 -7.5115440762093130E-02 a        44     0     2     1    19
 -3.4015542926910719E-01 a        45     0     2     1    20
 -1.4984659791321717E-01 a        46     0     2     1    21
 -2.0984210198034901E-02 a        47     0     2     1    22
 -1.9370968386276777E-01 a        48     0     2     1    23
  2.4456945881894388E-02 a        49     0     2     1    24
 -6.4604535170706051E-02 a        50     0     2     1    25
 -1.7801135288251338E-01 a        51     0     3     1     1
  3.1901999640906864E-01 a        52     0     3     1     2
 -9.7666711962771692E-03 a        53     0     3     1     3
  2.8903914029847755E-01 a        54     0     3     1     4
  2.0072327469261594E-01 a        55     0     3     1     5
  4.8794572783260118E-02 a        56     0     3     1     6
 -4.5935819096881200E-02 a        57     0     3     1     7
  1.3622333092119496E-01 a        58     0     3     1     8
 -4.7902378983797587E-02 a        59     0     3     1     9
 -1.5252762025131031E-01 a        60     0     3     1    10
  5.4096158658495097E-02 a        61     0     3     1    11
 -4.0224903449436150E-01 a        62     0     3     1    12
 -2.9184289980038552E-02 a        63     0     3     1    13
  7.9446436587474065E-02 a        64     0     3     1    14
  1.4091312129345346E-01 a        65     0     3     1    15
 -3.2797066860851272E-02 a        66     0     3     1    16
 -4.5612115256781265E-02 a        67     0     3     1    17
  3.0257439671672870E-01 a        68     0     3     1    18
  6.6439868087486115E-02 a        69     0     3     1    19
  4.2405159292454364E-02 a        70     0     3     1    20
 -4.9847102725127185E-02 a        71     0     3     1    21
  1.5812761742882325E-01 a        72     0     3     1    22
  9.3030110319846038E-02 a        73     0     3     1    23
 -1.1979682164824873E-01 a        74     0     3     1    24
  8.5195377145571988E-02 a        75     0     3     1    25
  1.1335762997471961E-01 a        76     0     4     1     1
 -7.3942183531186631E-02 a        77     0     4     1     2
 -1.9000814786418598E-02 a        78     0     4     1     3
 -5.8171519321309512E-02 a        79     0     4     1     4
 -1.5637611385925843E-01 a        80     0     4     1     5
  1.8443080324567340E-01 a        81     0     4     1     6
 -2.2929564371176138E-02 a        82     0     4     1     7
  1.1829184073772077E-01 a        83     0     4     1     8
  1.5693628991392247E-01 a        84     0     4     1     9
 -2.7507234417845070E-02 a        85     0     4     1    10
 -9.7698364503330512E-02 a        86     0     4     1    11
  1.6124036182726798E-01 a        87     0     4     1    12
 -1.4486754503379798E-01 a        88     0     4     1    13
  5.0973570331050815E-03 a        89     0     4     1    14
  1.3323997509278238E-02 a        90     0     4     1    15
 -1.1773862879655508E-01 a        91     0     4     1    16
  2.3957154375838560E-01 a        92     0     4     1    17
 -1.7270853028353320E-01 a        93     0     4     1    18
  2.6703310107811760E-02 a        94     0     4     1    19
 -1.1231931274185095E-02 a        95     0     4     1    20
 -9.3081732069961023E-02 a        96     0     4     1    21
 -1.1416449800592501E-01 a        97     0     4     1    22
  8.3798171911742686E-02 a        98     0     4     1    23
  1.5805339369249979E-01 a        99     0     4     1    24
 -5.2114281669806917E-02 a       100     0     4     1    25
  1.8321398937047390E-01 a       101     0     5     1     1
 -1.1044785135063553E-01 a       102     0     5     1     2
 -5.4497546562676191E-02 a       103     0     5     1     3
  9.0967718755183849E-02 a       104     0     5     1     4
  3.5222524904800295E-02 a       105     0     5     1     5
