################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.7452806247360728E-01 a         1     0     1     1     1
 -1.9657523165623617E-01 a         2     0     1     1     2
  2.3616331692796835E-01 a         3     0     1     1     3
 -1.4918327756703714E-01 a         4     0     1     1     4
  1.4485456681744674E-01 a         5     0     1     1     5
  9.8107283515241311E-02 a         6     0     1     1     6
 -1.5314525687122504E-01 a         7     0     1     1     7
 -1.3993522767730969E-02 a         8     0     1     1     8
  1.3322055656928117E-01 a         9     0     1     1     9
 -7.6317437629505699E-02 a        10     0     1     1    10
 -1.4955290506988334E-01 a        11     0     1     1    11
 -9.6111063737204083E-03 a        12     0     1     1    12
 -2.2306375512399773E-01 a        13     0     1     1    13
 -1.5610898144480570E-01 a        14     0     1     1    14
 -1.1081143100701735E-01 a        15     0     1     1    15
 -4.5678031482665332E-02 a        16     0     1     1    16
 -1.9545681539427551E-01 a        17     0     1     1    17
  8.9879516450044786E-02 a        18     0     1     1    18
 -8.1819136532435013E-02 a        19     0     1     1    19
  5.9710282721462039E-02 a        20     0     1     1    20
 -1.4853715077765042E-01 a        21     0     1     1    21
  1.3536902102508103E-01 a        22     0     1     1    22
  5.8387359629523106E-01 a        23     0     1     1    23
 -2.7635345538856559E-01 a        24     0     1     1    24
 -1.7937609385707284E-01 a        25     0     1     1    25
  5.3725466274233613E-01 a        26     0     2     1     1
 -1.6805779926613870E-01 a        27     0     2     1     2
 -5.9181579210203436E-02 a        28     0     2     1     3
 -1.3428150457052699E+00 a        29     0     2     1     4
 -2.5176625261613927E-01 a        30     0     2     1     5
 -4.2442820662425390E-01 a        31     0     2     1     6
 -9.7724428385413155E-03 a        32     0     2     1     7
 -2.6361266067561029E-01 a        33     0     2     1     8
 -3.1879292264171882E-01 a        34     0     2     1     9
 -3.5835607259567848E-01 a        35     0     2     1    10
  7.8766544000663363E-01 a        36     0     2     1    11
  5.2716657351078799E-01 a        37     0     2     1    12
 -9.9028891535164004E-02 a        38     0     2     1    13
  1.9965712964988286E-01 a        39     0     2     1    14
  1.3676009417427951E-01 a        40     0     2     1    15
 -1.4232864059340046E-02 a        41     0     2     1    16
 -3.1820325701531282E-01 a        42     0     2     1    17
  6.4125378294372515E-01 a        43     0     2     1    18
  5.2835966921568756E-01 a        44     0     2     1    19
 -5.9056235457042798E-02 a        45     0     2     1    20
  3.0981357841836904E-01 a        46     0     2     1    21
  3.7685999054920483E-01 a        47     0     2     1    22
 -2.6247978787686066E-01 a        48     0     2     1    23
 -3.9104034819708616E-01 a        49     0     2     1    24
 -1.1454604208159624E+00 a        50     0     2     1    25
 -7.4494516641491904E-01 a        51     0     3     1     1
 -4.4022979782514243E-01 a        52     0     3     1     2
  7.2228493815811068E-01 a        53     0     3     1     3
  3.5352061572510785E-01 a        54     0     3     1     4
  3.2645065112384103E-01 a        55     0     3     1     5
  4.4993429746836272E-01 a        56     0     3     1     6
 -9.2079212853635420E-02 a        57     0     3     1     7
  4.8977220620030176E-01 a        58     0     3     1     8
  5.6015545362682884E-01 a        59     0     3     1     9
 -2.5572039451839285E-01 a        60     0     3     1    10
 -7.9851552182521368E-01 a        61     0     3     1    11
 -2.1831394899223230E-01 a        62     0     3     1    12
 -1.8529031610852389E-01 a        63     0     3     1    13
 -1.5601280287868297E-01 a        64     0     3     1    14
 -9.3828329040127362E-02 a        65     0     3     1    15
 -1.0437231845159822E-01 a        66     0     3     1    16
  4.1095035207746150E-01 a        67     0     3     1    17
 -3.1997059910009606E-01 a        68     0     3     1    18
 -4.9930356344569093E-01 a        69     0     3     1    19
 -2.2437871436597678E-01 a        70     0     3     1    20
 -2.3509477844255125E-02 a        71     0     3     1    21
 -5.0665601097253532E-01 a        72     0     3     1    22
  1.0314042769102727E+00 a        73     0     3     1    23
 -1.6202073953632135E-01 a        74     0     3     1    24
  2.2874880421600966E-02 a        75     0     3     1    25
  1.6162355724532776E-01 a        76     0     4     1     1
  4.4783239242249218E-01 a        77     0     4     1     2
  5.3972560320575860E-02 a        78     0     4     1     3
  3.3383740921462912E-01 a        79     0     4     1     4
  1.2344000620086525E-02 a        80     0     4     1     5
  1.5470715116854064E-02 a        81     0     4     1     6
  1.4536162007049688E-01 a        82     0     4     1     7
  2.2918835545464489E-01 a        83     0     4     1     8
 -2.4965337187828862E-01 a        84     0     4     1     9
 -3.4303016622237302E-02 a        85     0     4     1    10
 -3.8955105832513848E-01 a        86     0     4     1    11
  1.1373189858688365E-01 a        87     0     4     1    12
  2.1797279955334184E-01 a        88     0     4     1    13
  1.9655337959641164E-01 a        89     0     4     1    14
 -3.1620646579907777E-02 a        90     0     4     1    15
  1.2997432591242629E-02 a        91     0     4     1    16
 -1.2368604315949709E-01 a        92     0     4     1    17
  2.8567267087517528E-01 a        93     0     4     1    18
 -1.6435973145763053E-01 a        94     0     4     1    19
 -1.6068383956596041E-01 a        95     0     4     1    20
  7.2838935840176616E-02 a        96     0     4     1    21
  1.2935494583463752E-02 a        97     0     4     1    22
 -1.1922148091019025E-01 a        98     0     4     1    23
