################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.5982874660560218E-03 a         1     0     1     1     1
  3.0481813381178102E-01 a         2     0     1     1     2
  1.5495736197532406E-01 a         3     0     1     1     3
 -4.6252655368059233E-02 a         4     0     1     1     4
  7.8708021759464855E-02 a         5     0     1     1     5
 -2.0151058162339213E-03 a         6     0     1     1     6
 -2.9736892430567666E-02 a         7     0     1     1     7
 -4.9213021033534574E-02 a         8     0     1     1     8
 -1.5859774148601968E-01 a         9     0     1     1     9
 -1.9570246321831494E-01 a        10     0     1     1    10
 -9.2615393882051214E-02 a        11     0     1     1    11
  7.4923838692224035E-02 a        12     0     1     1    12
 -1.1139234201597353E-01 a        13     0     1     1    13
  2.9993850430861613E-01 a        14     0     1     1    14
 -8.8489273533571666E-02 a        15     0     1     1    15
 -7.5992758264595162E-01 a        16     0     1     1    16
  2.0742866724215311E-02 a        17     0     1     1    17
  2.7863991357613122E-01 a        18     0     1     1    18
  2.4088906569146726E-01 a        19     0     1     1    19
  2.7383033968173293E-01 a        20     0     1     1    20
 -2.4701239429972510E-01 a        21     0     1     1    21
  9.9411290758724707E-02 a        22     0     1     1    22
 -3.6294830503464659E-01 a        23     0     1     1    23
  4.7270914824321986E-01 a        24     0     1     1    24
  3.9666624343039511E-02 a        25     0     1     1    25
  1.2861860729706270E-01 a        26     0     2     1     1
 -2.6167637461016341E-01 a        27     0     2     1     2
 -6.5471005579802555E-01 a        28     0     2     1     3
 -7.2998288200255032E-04 a        29     0     2     1     4
 -7.0836315615259424E-02 a        30     0     2     1     5
  2.7309840698969956E-01 a        31     0     2     1     6
  8.4413447064042912E-02 a        32     0     2     1     7
 -2.8922520858660983E-01 a        33     0     2     1     8
 -7.3149108660345274E-01 a        34     0     2     1     9
  3.2158128969164607E-01 a        35     0     2     1    10
 -3.5504598837165294E-02 a        36     0     2     1    11
 -5.6986549685085452E-01 a        37     0     2     1    12
 -5.7259434120269437E-01 a        38     0     2     1    13
  3.7478763436216589E-01 a        39     0     2     1    14
 -1.4502119076255041E-01 a        40     0     2     1    15
 -3.6544653921401181E-02 a        41     0     2     1    16
 -1.9340008273554582E-01 a        42     0     2     1    17
  2.4284360926492546E-01 a        43     0     2     1    18
 -2.9842539407175550E-01 a        44     0     2     1    19
  1.3145267861993837E-01 a        45     0     2     1    20
  3.1220231477778476E-01 a        46     0     2     1    21
 -7.4211622563448099E-01 a        47     0     2     1    22
 -2.5612032205249202E-01 a        48     0     2     1    23
  1.7784636569906087E-01 a        49     0     2     1    24
  2.9883185787799488E-01 a        50     0     2     1    25
  5.3160322152954936E-02 a        51     0     3     1     1
 -2.5472700424192046E-01 a        52     0     3     1     2
 -2.3612835389520984E-01 a        53     0     3     1     3
 -2.2779672710346688E-01 a        54     0     3     1     4
  8.3627957720573021E-02 a        55     0     3     1     5
  6.5107392484851312E-01 a        56     0     3     1     6
  4.8413800160694503E-01 a        57     0     3     1     7
 -9.9556296020824834E-03 a        58     0     3     1     8
 -7.3746375615272017E-02 a        59     0     3     1     9
  5.9769529090303297E-01 a        60     0     3     1    10
 -2.9094314055143544E-01 a        61     0     3     1    11
  3.5245645446308305E-01 a        62     0     3     1    12
 -2.1516841406334725E-01 a        63     0     3     1    13
 -1.2692777944706793E-01 a        64     0     3     1    14
 -2.3133810490384921E-01 a        65     0     3     1    15
 -3.3474631639320440E-01 a        66     0     3     1    16
 -4.2140434894439659E-02 a        67     0     3     1    17
 -1.7127203032776436E-01 a        68     0     3     1    18
  2.7779320461058993E-01 a        69     0     3     1    19
 -2.0463531585209790E-01 a        70     0     3     1    20
 -1.0870031742292702E-01 a        71     0     3     1    21
 -1.5554198329248863E-02 a        72     0     3     1    22
 -1.2294447886455329E-01 a        73     0     3     1    23
  1.2727797765750806E-01 a        74     0     3     1    24
 -4.2173467756771449E-01 a        75     0     3     1    25
 -2.2042860973450526E-02 a        76     0     4     1     1
 -5.9813330194409375E-01 a        77     0     4     1     2
 -3.8710371374357094E-01 a        78     0     4     1     3
  2.1720130795362497E-01 a        79     0     4     1     4
 -6.8514107209501907E-01 a        80     0     4     1     5
  5.7660114758705583E-01 a        81     0     4     1     6
 -7.9361498241711437E-01 a        82     0     4     1     7
 -6.6215132449885461E-01 a        83     0     4     1     8
 -1.7036873862536245E-01 a        84     0     4     1     9
  2.5645735070221948E-01 a        85     0     4     1    10
 -5.2371248728042541E-01 a        86     0     4     1    11
  4.3808011129739011E-01 a        87     0     4     1    12
  2.2064221483075055E-01 a        88     0     4     1    13
  7.9201463301301553E-02 a        89     0     4     1    14
 -8.4997137156803959E-02 a        90     0     4     1    15
  7.1189398095781398E-01 a        91     0     4     1    16
  4.8885202817962554E-02 a        92     0     4     1    17
  3.4604003298411838E-02 a        93     0     4     1    18
 -5.6199640175037265E-02 a        94     0     4     1    19
  2.2282329063913855E-01 a        95     0     4     1    20
 -1.8902809655903707E-01 a        96     0     4     1    21
 -1.3235098451056959E-01 a        97     0     4     1    22
 -1.0058662160579794E-01 a        98     0     4     1    23
 -4.4246944174220798E-01 a        99     0     4     1    24
  1.1996740676459804E-01 a       100     0     4     1    25
 -1.3605591463435543E-01 a       101     0     5     1     1
  3.0110330976911581E-01 a       102     0     5     1     2
  2.7334388250285657E-01 a       103     0     5     1     3
  1.7444179281018252E-01 a       104     0     5     1     4
 -1.4791323139952300E-01 a       105     0     5     1     5
  1.3924992810332873E-01 a       106     0     5     1     6
 -1.0968167932928691E-01 a       107     0     5     1     7
 -4.5487486807353839E-01 a       108     0     5     1     8
  9.4964937569831973E-02 a       109     0     5     1     9
